"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"2016-02-04",2016-02-04,0.0769774011299435,361600,0,30.5,0,0,0,0,1,0.844270712429447
"2016-02-05",2016-02-05,0.111803278688524,376500,0,33.91,0.10056030669419,30.5,33.91,1,0,1.45216332606412
"2016-02-08",2016-02-08,-0.0704806841639634,102700,-0.0704806841639634,31.52,0.0323604060913706,30.5,33.91,3,0,0.613831523928367
"2016-02-09",2016-02-09,-0.12246192893401,360900,-0.184311412562666,27.66,0,27.66,31.52,4,-2.61506276150628,-0.269901966519734
"2016-02-10",2016-02-10,-0.0281996023138105,469800,-0.207313506340312,26.879999,0,26.879999,27.66,5,-1.12480016,-0.40895089512022
"2016-02-11",2016-02-11,-0.103422585692805,497000,-0.28929519315836,24.1,0,24.1,26.879999,6,-1.39544788115962,-0.904534724449188
"2016-02-12",2016-02-12,-0.00497925311203324,128000,-0.292833972279563,23.98,0,23.98,24.1,7,-1.01223241590214,-0.925926839885012
"2016-02-16",2016-02-16,0.0479565888240201,228000,-0.258920701857859,25.129999,0.0457619994334262,23.98,25.129999,7,-0.884189425981873,-0.444285428611538
"2016-02-17",2016-02-17,0.0370075621570856,244800,-0.231495163668534,26.059999,0.0798157743597765,0,26.059999,0,1.7441496295609,-0.0726395818262361
"2016-02-18",2016-02-18,0.0226401006385302,283300,-0.214096136832793,26.65,0.100187617260788,0,26.65,0,1.25523579849246,0.155687413966986
"2016-02-19",2016-02-19,0.0142589493433396,159500,-0.202889973459157,27.030001,0.112837620686732,0,27.030001,0,1.12626314280952,0.299899261204119
"2016-02-22",2016-02-22,0.0162781348028808,106300,-0.189914508994397,27.469999,0.127047656608943,0,27.469999,0,1.12593349483734,0.464237114045576
"2016-02-23",2016-02-23,-0.0116490357353127,269400,-0.199351223827779,27.15,0.116758747697974,23.98,27.469999,13,-1.04968927799856,0.344994627942254
"2016-02-24",2016-02-24,0.025414364640884,76400,-0.179003243880861,27.84,0.0247844827586208,27.15,27.84,13,-0.89792899408284,-0.0879902248327497
"2016-02-25",2016-02-25,0.0398707255747127,206100,-0.146269507519906,28.950001,0.0621761981977135,0,28.950001,0,2.50867443162947,0.33592200831785
