"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1970-01-05",1970-01-05,0.0122448979591837,17600,0,31,0,0,0,0,1,1.37080782279197
"1970-01-06",1970-01-06,-0.00806451612903226,14000,-0.00806451612903236,30.75,0,30.75,31,2,0,1.31742909445731
"1970-01-07",1970-01-07,0.0040650406504065,7700,-0.0040322580645159,30.875,0.00404858299595146,30.75,30.875,2,-0.499999999999966,1.37091587689791
"1970-01-08",1970-01-08,-0.0121457489878543,16300,-0.0161290322580645,30.5,0,0,30.875,4,-4.00000000000022,1.26405036612266
"1970-01-09",1970-01-09,0.00819672131147541,16800,-0.00806451612903236,30.75,0.00813008130081305,30.5,30.75,4,-0.500000000000007,1.37124179619306
"1970-01-12",1970-01-12,-0.00813008130081301,11700,-0.0161290322580646,30.5,0,0,30.75,6,-1.99999999999999,1.26405036612266
"1970-01-13",1970-01-13,-0.0286885245901639,15900,-0.0443548387096774,29.625,0,29.625,30.5,7,-2.74999999999998,1.07722481695137
"1970-01-14",1970-01-14,0,37800,-0.0443548387096774,29.625,0,29.625,29.625,7,-1,1.07722481695137
"1970-01-15",1970-01-15,-0.00421940928270042,23500,-0.0483870967741936,29.5,0,0,29.625,9,-1.09090909090909,1.05053545278404
"1970-01-16",1970-01-16,-0.00423728813559322,23300,-0.0524193548387096,29.375,0,29.375,29.5,10,-1.08333333333333,1.02384608861672
"1970-01-19",1970-01-19,0.0170212765957447,12600,-0.0362903225806451,29.875,0.0167364016736402,29.375,29.875,10,-0.692307692307692,1.2413811572274
"1970-01-20",1970-01-20,-0.0209205020920502,19800,-0.0564516129032258,29.25,0,0,29.875,12,-1.55555555555556,0.997156724449389
"1970-01-21",1970-01-21,0.0128205128205128,22400,-0.0443548387096774,29.625,0.0126582278481012,29.25,29.625,12,-0.785714285714286,1.16100915003361
"1970-01-22",1970-01-22,0.029535864978903,25300,-0.0161290322580644,30.5,0.0409836065573771,0,30.5,0,3.2377049180328,1.53531931339713
"1970-01-23",1970-01-23,-0.040983606557377,11900,-0.0564516129032258,29.25,0,0,30.5,15,-3.50000000000002,0.997156724449389
"1970-01-26",1970-01-26,-0.00427350427350427,12000,-0.0604838709677419,29.125,0,29.125,29.25,16,-1.07142857142857,0.970467360282061
"1970-01-27",1970-01-27,-0.00858369098712446,12700,-0.0685483870967741,28.875,0,28.875,29.125,17,-1.13333333333333,0.917088631947407
"1970-01-28",1970-01-28,-0.0173160173160173,26700,-0.0846774193548386,28.375,0,28.375,28.875,18,-1.23529411764706,0.810331175278098
"1970-01-29",1970-01-29,-0.00881057268722467,26100,-0.0927419354838708,28.125,0,28.125,28.375,19,-1.09523809523809,0.756952446943445
"1970-01-30",1970-01-30,-0.0133333333333333,15200,-0.104838709677419,27.75,0,27.75,28.125,20,-1.1304347826087,0.676884354441463
"1970-02-02",1970-02-02,0.018018018018018,27200,-0.0887096774193545,28.25,0.0176991150442478,27.75,28.25,20,-0.846153846153845,0.900791586570899
"1970-02-03",1970-02-03,0.00442477876106195,23600,-0.0846774193548386,28.375,0.0220264317180616,0,28.375,0,1.24449339207048,0.956123296720766
"1970-02-04",1970-02-04,-0.00440528634361234,21300,-0.0887096774193546,28.25,0.0176991150442478,27.75,28.375,23,-1.04761904761905,0.900791586570899
"1970-02-05",1970-02-05,-0.00884955752212389,13100,-0.096774193548387,28,0.0089285714285714,27.75,28.375,0,-1.09090909090909,0.789360960575198
"1970-02-06",1970-02-06,0.00892857142857143,15200,-0.0887096774193548,28.25,0.0176991150442478,27.75,28.375,0,1.98230088495576,0.900791586570898
"1970-02-09",1970-02-09,-0.00442477876106195,15300,-0.0927419354838709,28.125,0.0133333333333333,27.75,28.375,0,-1.04545454545455,0.845205277790072
