"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1999-10-04",1999-10-04,-0.00884955752212389,533400,-0.00884955752212391,14,0,0,0,0,1,0.684472613355966
"1999-10-05",1999-10-05,0.00892857142857143,270600,0,14.125,0.00884955752212391,14,14.125,1,0,0.829543915049293
"1999-10-06",1999-10-06,0.0530973451327434,205400,0,14.875,0.0588235294117647,0,14.875,0,6.6470588235294,1.23915700218339
"1999-10-07",1999-10-07,-0.0504201680672269,214200,-0.0504201680672269,14.125,0.00884955752212391,14,14.875,4,0,0.416273568208639
"1999-10-08",1999-10-08,-0.00442477876106195,65600,-0.0546218487394958,14.0625,0.00444444444444447,14,14.875,0,-1.08333333333333,0.345727737550468
"1999-10-11",1999-10-11,0,77500,-0.0546218487394958,14.0625,0.00444444444444447,14,14.875,0,-1,0.345727737550468
"1999-10-12",1999-10-12,0.00444444444444444,49200,-0.0504201680672269,14.125,0.00884955752212391,14,14.875,0,1.99115044247787,0.416273568208639
"1999-10-13",1999-10-13,-0.00442477876106195,49900,-0.0546218487394958,14.0625,0.00444444444444447,14,14.875,0,-1.08333333333333,0.345727737550468
"1999-10-14",1999-10-14,-0.0311111111111111,430900,-0.0840336134453782,13.625,0,13.625,14.125,9,-1.53846153846154,0.0682243528015406
"1999-10-15",1999-10-15,-0.0412844036697248,158200,-0.121848739495798,13.0625,0,13.0625,13.625,10,-1.45,-0.24172840732895
"1999-10-18",1999-10-18,-0.0191387559808612,83800,-0.138655462184874,12.8125,0,12.8125,13.0625,11,-1.13793103448276,-0.379485189609167
"1999-10-19",1999-10-19,0.0341463414634146,58200,-0.109243697478992,13.25,0.0330188679245284,12.8125,13.25,11,-0.787878787878788,0.132229272870416
"1999-10-20",1999-10-20,-0.00943396226415094,62600,-0.117647058823529,13.125,0.0238095238095238,12.8125,13.25,13,-1.07692307692308,-0.0121337701952519
"1999-10-21",1999-10-21,0.0238095238095238,98200,-0.0966386554621849,13.4375,0.0232558139534884,13.125,13.4375,13,-0.821428571428572,0.155523709014005
"1999-10-22",1999-10-22,0.00465116279069767,191200,-0.0924369747899159,13.5,0.0277777777777778,0,13.5,0,1.19444444444444,0.227027310152348
