"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1998-08-19",1998-08-19,0,388700,0,13,0,0,0,0,1,0.776938850434891
"1998-08-20",1998-08-20,0,348500,0,13,0,13,13,1,0,0.776938850434891
"1998-08-21",1998-08-21,0,804000,0,13,0,0,13,0,0,0.776938850434891
"1998-08-24",1998-08-24,0,119700,0,13,0,0,13,0,0,0.776938850434891
"1998-08-25",1998-08-25,0,294100,0,13,0,0,13,0,0,0.776938850434891
"1998-08-26",1998-08-26,-0.0576923076923077,383800,-0.0576923076923077,12.25,0,0,13,6,0,0.562875125392166
"1998-08-27",1998-08-27,-0.0918367346938776,435300,-0.144230769230769,11.125,0,11.125,12.25,7,-2.5,0.241779537828078
"1998-08-28",1998-08-28,-0.101123595505618,192400,-0.230769230769231,10,0,10,11.125,8,-1.6,-0.0793160497360108
"1998-08-31",1998-08-31,-0.1875,150800,-0.375,8.125,0,8.125,10,9,-1.625,-0.614475362342824
"1998-09-01",1998-09-01,0.0461538461538462,440700,-0.346153846153846,8.5,0.0441176470588235,8.125,8.5,9,-0.923076923076923,-0.343747710082907
"1998-09-02",1998-09-02,0.125,509200,-0.264423076923077,9.5625,0.150326797385621,0,9.5625,0,3.40740740740741,0.353591690505624
"1998-09-03",1998-09-03,-0.0849673202614379,165900,-0.326923076923077,8.75,0.0714285714285714,8.125,9.5625,12,-1.23636363636364,-0.171057646182893
"1998-09-04",1998-09-04,-0.0428571428571429,155700,-0.355769230769231,8.375,0.0298507462686567,8.125,9.5625,0,-1.08823529411765,-0.432361447007968
"1998-09-08",1998-09-08,0.17910447761194,149300,-0.240384615384615,9.875,0.151898734177215,8.375,9.875,12,5.08860759493671,0.448617483122526
"1998-09-09",1998-09-09,-0.0379746835443038,116900,-0.269230769230769,9.5,0.118421052631579,8.375,9.875,15,-1.12,0.217368762165311
"1998-09-10",1998-09-10,-0.0263157894736842,80700,-0.288461538461538,9.25,0.0945945945945946,8.375,9.875,0,-1.07142857142857,0.0576075942102379
"1998-09-11",1998-09-11,-0.027027027027027,84800,-0.307692307692308,9,0.0694444444444444,8.375,9.875,0,-1.06666666666667,-0.107065051130438
"1998-09-14",1998-09-14,0,90800,-0.307692307692308,9,0.0694444444444444,8.375,9.875,0,-1,-0.107065051130438
"1998-09-15",1998-09-15,-0.0277777777777778,200400,-0.326923076923077,8.75,0.0428571428571428,8.375,9.875,0,-1.0625,-0.277070157632623
"1998-09-16",1998-09-16,-0.1,221300,-0.394230769230769,7.875,0,7.875,9.5,20,-1.20588235294118,-0.685829937357065
"1998-09-17",1998-09-17,0.0515873015873016,87300,-0.362980769230769,8.28125,0.0490566037735849,7.875,8.28125,20,-0.920731707317073,-0.3878572710358
"1998-09-18",1998-09-18,-0.00377358490566038,147300,-0.365384615384615,8.25,0.0454545454545454,7.875,8.28125,22,-1.00662251655629,-0.410141806620222
"1998-09-21",1998-09-21,-0.151515151515152,472900,-0.461538461538461,7,0,7,8.25,23,-1.26315789473684,-0.935570949906912
"1998-09-22",1998-09-22,0.142857142857143,728300,-0.384615384615384,8,0.125,7,8,23,-0.833333333333333,-0.186347912257373
"1998-09-23",1998-09-23,0.046875,382500,-0.355769230769231,8.375,0.164179104477612,0,8.375,0,1.3134328358209,0.0660555844347963
"1998-09-24",1998-09-24,0.082089552238806,280800,-0.302884615384615,9.0625,0.227586206896552,0,9.0625,0,1.38620689655172,0.497548781715334
"1998-09-25",1998-09-25,0.0344827586206897,44400,-0.278846153846154,9.375,0.253333333333333,0,9.375,0,1.11313131313131,0.682275114249331
"1998-09-28",1998-09-28,0,26500,-0.278846153846154,9.375,0.253333333333333,0,9.375,0,-1,0.682275114249331
"1998-09-29",1998-09-29,0.0166666666666667,88300,-0.266826923076923,9.53125,0.265573770491803,0,9.53125,0,1.04831751509922,0.772289105587652
"1998-09-30",1998-09-30,0.00983606557377049,172300,-0.259615384615384,9.625,0.272727272727273,0,9.625,0,1.02693602693603,0.825589697035511
"1998-10-01",1998-10-01,-0.0779220779220779,85500,-0.317307692307692,8.875,0.211267605633803,7,9.625,31,-1.22222222222222,0.383483693842277
"1998-10-02",1998-10-02,0,58700,-0.317307692307692,8.875,0.211267605633803,7,9.625,0,-1,0.383483693842277
"1998-10-05",1998-10-05,-0.0985915492957746,63000,-0.384615384615384,8,0.125,7,9.625,0,-1.21212121212121,-0.186347912257373
"1998-10-06",1998-10-06,0.046875,129500,-0.355769230769231,8.375,0.164179104477612,7,9.625,0,1.3134328358209,0.0660555844347963
"1998-10-07",1998-10-07,-0.0671641791044776,340400,-0.399038461538461,7.8125,0.104,7,9.625,0,-1.12162162162162,-0.317783039433606
"1998-10-08",1998-10-08,-0.192,346800,-0.514423076923077,6.3125,0,6.3125,8.875,36,-1.28915662650602,-1.13179603119608
"1998-10-09",1998-10-09,-0.0099009900990099,271500,-0.519230769230769,6.25,0,6.25,6.3125,37,-1.00934579439252,-1.14963467494964
"1998-10-12",1998-10-12,0,660400,-0.519230769230769,6.25,0,6.25,6.25,37,-1,-1.14963467494964
"1998-10-13",1998-10-13,0.12,228600,-0.461538461538461,7,0.107142857142857,0,7,0,-0.888888888888889,-0.538024031970422
"1998-10-14",1998-10-14,0.0892857142857143,46400,-0.413461538461538,7.625,0.180327868852459,0,7.625,0,1.68306010928962,-0.0880891532213677
