"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1986-02-07",1986-02-07,0,0,0,16.5375,0,0,0,0,1,1.30597242042656
"1986-02-10",1986-02-10,0,0,0,16.5375,0,16.5375,16.5375,1,0,1.30597242042656
"1986-02-11",1986-02-11,0,0,0,16.5375,0,0,16.5375,0,0,1.30597242042656
"1986-02-12",1986-02-12,0,0,0,16.5375,0,0,16.5375,0,0,1.30597242042656
"1986-02-13",1986-02-13,0,0,0,16.5375,0,0,16.5375,0,0,1.30597242042656
"1986-02-14",1986-02-14,0,0,0,16.5375,0,0,16.5375,0,0,1.30597242042656
"1986-02-18",1986-02-18,0,0,0,16.5375,0,0,16.5375,0,0,1.30597242042656
"1986-02-19",1986-02-19,0,0,0,16.5375,0,0,16.5375,0,0,1.30597242042656
"1986-02-20",1986-02-20,0,0,0,16.5375,0,0,16.5375,0,0,1.30597242042656
"1986-02-21",1986-02-21,0,0,0,16.5375,0,0,16.5375,0,0,1.30597242042656
"1986-02-24",1986-02-24,0,0,0,16.5375,0,0,16.5375,0,0,1.30597242042656
"1986-02-25",1986-02-25,0,0,0,16.5375,0,0,16.5375,0,0,1.30597242042656
"1986-02-26",1986-02-26,0,0,0,16.5375,0,0,16.5375,0,0,1.30597242042656
"1986-02-27",1986-02-27,0,400,0,16.5375,0,0,16.5375,0,0,1.30597242042656
"1986-02-28",1986-02-28,0,400,0,16.5375,0,0,16.5375,0,0,1.30597242042656
"1986-03-03",1986-03-03,-0.015873015873016,4200,-0.015873015873016,16.275,0,0,16.5375,16,0,1.24090035316169
"1986-03-04",1986-03-04,0,12400,-0.015873015873016,16.275,0,16.275,16.275,16,-1,1.24090035316169
"1986-03-05",1986-03-05,0.0161290322580647,9000,0,16.5375,0.015873015873016,0,16.5375,0,0,1.37104448769143
"1986-03-06",1986-03-06,0,2000,0,16.5375,0.015873015873016,0,16.5375,0,0,1.37104448769143
"1986-03-07",1986-03-07,-0.015873015873016,3600,-0.015873015873016,16.275,0,0,16.5375,20,0,1.24090035316169
"1986-03-10",1986-03-10,0.0161290322580647,3000,0,16.5375,0.015873015873016,16.275,16.5375,20,0,1.37104448769143
"1986-03-11",1986-03-11,-0.015873015873016,5800,-0.0158730158730159,16.275,0,0,16.5375,22,0,1.24090035316169
"1986-03-12",1986-03-12,0,33200,-0.0158730158730159,16.275,0,16.275,16.275,22,-1,1.24090035316169
"1986-03-13",1986-03-13,0,3800,-0.0158730158730159,16.275,0,0,16.275,0,-1,1.24090035316169
"1986-03-14",1986-03-14,0.0161290322580647,3000,0,16.5375,0.015873015873016,0,16.5375,0,0,1.37104448769143
"1986-03-17",1986-03-17,0,3800,0,16.5375,0.015873015873016,0,16.5375,0,0,1.37104448769143
"1986-03-18",1986-03-18,-0.015873015873016,5000,-0.0158730158730159,16.275,0,0,16.5375,27,0,1.24090035316169
"1986-03-19",1986-03-19,0,1800,-0.0158730158730159,16.275,0,16.275,16.275,27,-1,1.24090035316169
"1986-03-20",1986-03-20,0,5200,-0.0158730158730159,16.275,0,0,16.275,0,-1,1.24090035316169
"1986-03-21",1986-03-21,0.0161290322580647,9000,0,16.5375,0.015873015873016,0,16.5375,0,0,1.37104448769143
"1986-03-24",1986-03-24,-0.015873015873016,4200,-0.0158730158730161,16.275,0,0,16.5375,31,0,1.24090035316168
"1986-03-25",1986-03-25,0,4400,-0.0158730158730161,16.275,0,16.275,16.275,31,-1,1.24090035316168
"1986-03-26",1986-03-26,0.0161290322580647,3200,0,16.5375,0.015873015873016,0,16.5375,0,0,1.37104448769143
"1986-03-27",1986-03-27,-0.015873015873016,8200,-0.015873015873016,16.275,0,0,16.5375,34,0,1.24090035316169
"1986-03-31",1986-03-31,0,6600,-0.015873015873016,16.275,0,16.275,16.275,34,-1,1.24090035316169
"1986-04-01",1986-04-01,0,6800,-0.015873015873016,16.275,0,0,16.275,0,-1,1.24090035316169
"1986-04-02",1986-04-02,0,5600,-0.015873015873016,16.275,0,0,16.275,0,-1,1.24090035316169
"1986-04-03",1986-04-03,0,2800,-0.015873015873016,16.275,0,0,16.275,0,-1,1.24090035316169
"1986-04-04",1986-04-04,0,5800,-0.015873015873016,16.275,0,0,16.275,0,-1,1.24090035316169
"1986-04-07",1986-04-07,-0.016128970814132,4000,-0.0317459712774,16.012501,0,0,16.275,40,-1.99999619047618,1.1758285337904
"1986-04-08",1986-04-08,0,3000,-0.0317459712774,16.012501,0,16.012501,16.012501,40,-1,1.1758285337904
"1986-04-09",1986-04-09,0,1800,-0.0317459712774,16.012501,0,0,16.012501,0,-1,1.1758285337904
"1986-04-10",1986-04-10,0.0163933791479544,7200,-0.0158730158730161,16.275,0.016128970814132,0,16.275,0,-0.500000952382773,1.3070217180067
"1986-04-11",1986-04-11,-0.016128970814132,3600,-0.0317459712774001,16.012501,0,0,16.275,44,-1.99999619047617,1.1758285337904
"1986-04-14",1986-04-14,0,9800,-0.0317459712774001,16.012501,0,16.012501,16.012501,44,-1,1.1758285337904
"1986-04-15",1986-04-15,0,4800,-0.0317459712774001,16.012501,0,0,16.012501,0,-1,1.1758285337904
"1986-04-16",1986-04-16,0,3200,-0.0317459712774001,16.012501,0,0,16.012501,0,-1,1.1758285337904
"1986-04-17",1986-04-17,-0.0163935040503667,14400,-0.0476190476190479,15.75,0,0,16.012501,48,-1.5000028571483,1.11075621863194
"1986-04-18",1986-04-18,-0.0166666666666666,8000,-0.0634920634920637,15.4875,0,15.4875,15.75,49,-1.33333333333333,1.04568415136706
"1986-04-21",1986-04-21,-0.016949152542373,12200,-0.0793650793650796,15.225,0,15.225,15.4875,50,-1.25,0.980612084102191
"1986-04-22",1986-04-22,0.0172413793103449,2200,-0.0634920634920636,15.4875,0.0169491525423729,15.225,15.4875,50,-0.799999999999999,1.11516788420922
"1986-04-23",1986-04-23,-0.016949152542373,2200,-0.0793650793650795,15.225,0,0,15.4875,52,-1.25,0.980612084102192
