"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1962-01-03",1962-01-03,-0.00823045267489712,4400,-0.00823045267489708,30.125,0,0,0,0,1,1.18328397635039
"1962-01-04",1962-01-04,-0.00829875518672199,6600,-0.0164609053497942,29.875,0,29.875,30.125,2,-2,1.14784485861727
"1962-01-05",1962-01-05,-0.0209205020920502,9000,-0.037037037037037,29.25,0,29.25,29.875,3,-2.25000000000001,1.05924706428446
"1962-01-08",1962-01-08,0.00213675213675214,5800,-0.0349794238683127,29.3125,0.00213219616204696,29.25,29.3125,3,-0.944444444444443,1.07728776654199
"1962-01-09",1962-01-09,0.00213219616204691,4400,-0.0329218106995884,29.375,0.00425531914893618,0,29.375,0,1.99574468085102,1.09528940104282
"1962-01-10",1962-01-10,0.00425531914893617,4000,-0.02880658436214,29.5,0.00847457627118642,0,29.5,0,1.99152542372881,1.13117646002245
"1962-01-11",1962-01-11,0.00423728813559322,3600,-0.0246913580246915,29.625,0.0126582278481012,0,29.625,0,1.49367088607595,1.16691020676483
"1962-01-12",1962-01-12,0.0105485232067511,3000,-0.0144032921810701,29.9375,0.0229645093945721,0,29.9375,0,1.8141962421712,1.25558643523284
"1962-01-15",1962-01-15,-0.0146137787056367,3000,-0.02880658436214,29.5,0.00847457627118642,29.25,29.9375,9,-1.99999999999999,1.13117646002245
"1962-01-16",1962-01-16,0,3800,-0.02880658436214,29.5,0.00847457627118642,29.25,29.9375,0,-1,1.13117646002245
"1962-01-17",1962-01-17,0,1000,-0.02880658436214,29.5,0.00847457627118642,29.25,29.9375,0,-1,1.13117646002245
"1962-01-18",1962-01-18,-0.00635593220338983,3400,-0.0349794238683129,29.3125,0.00213219616204696,29.25,29.9375,0,-1.21428571428571,1.07728776654199
"1962-01-19",1962-01-19,-0.00426439232409382,800,-0.0390946502057614,29.1875,0,29.1875,29.5,13,-1.11764705882353,1.05038728485117
"1962-01-22",1962-01-22,0.00856531049250535,5400,-0.0308641975308642,29.4375,0.00849256900212314,29.1875,29.4375,13,-0.789473684210525,1.12239415464013
"1962-01-23",1962-01-23,-0.00424628450106157,5800,-0.0349794238683128,29.3125,0.00426439232409381,29.1875,29.4375,15,-1.13333333333333,1.08646868936624
"1962-01-24",1962-01-24,-0.00852878464818763,4400,-0.04320987654321,29.0625,0,29.0625,29.3125,16,-1.23529411764706,1.03266772598461
"1962-01-25",1962-01-25,-0.0021505376344086,3400,-0.0452674897119342,29,0,29,29.0625,17,-1.04761904761905,1.02380794655133
"1962-01-26",1962-01-26,0.0021551724137931,2200,-0.04320987654321,29.0625,0.00215053763440864,29,29.0625,17,-0.954545454545456,1.04192762448907
"1962-01-29",1962-01-29,-0.0150537634408602,2000,-0.0576131687242798,28.625,0,0,29.0625,19,-1.33333333333333,0.970649269951647
"1962-01-30",1962-01-30,-0.00436681222707424,3600,-0.0617283950617284,28.5,0,28.5,28.625,20,-1.07142857142857,0.952929711085085
"1962-01-31",1962-01-31,-0.0109649122807018,5400,-0.0720164609053497,28.1875,0,28.1875,28.5,21,-1.16666666666666,0.908630813918681
"1962-02-01",1962-02-01,0.00665188470066519,4600,-0.065843621399177,28.375,0.00660792951541855,28.1875,28.375,21,-0.914285714285715,0.963662924054919
"1962-02-02",1962-02-02,0.00440528634361234,2200,-0.0617283950617284,28.5,0.0109649122807017,0,28.5,0,1.65935672514618,1.00014300938086
"1962-02-05",1962-02-05,0.0043859649122807,8800,-0.0576131687242799,28.625,0.0152838427947598,0,28.625,0,1.3938864628821,1.03645924731414
"1962-02-06",1962-02-06,0,4400,-0.0576131687242799,28.625,0.0152838427947598,0,28.625,0,-1,1.03645924731414
