"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"2005-04-15",2005-04-15,-0.126916524701874,282300,-0.126916524701874,10.25,0,0,0,0,1,0.668187636511199
"2005-04-18",2005-04-18,0.024390243902439,53400,-0.105621805792164,10.5,0.0238095238095238,10.25,10.5,1,-0.832214765100671,0.836116097227893
"2005-04-19",2005-04-19,0.00761904761904763,137400,-0.0988074957410562,10.58,0.0311909262759924,0,10.58,0,1.31001890359168,0.888968423486696
"2005-04-20",2005-04-20,0.00189035916824193,8600,-0.0971039182282794,10.6,0.0330188679245282,0,10.6,0,1.05860491709548,0.902116689392463
"2005-04-21",2005-04-21,-0.00943396226415091,34000,-0.105621805792164,10.5,0.0238095238095238,10.25,10.6,5,-1.08771929824561,0.836116097227893
"2005-04-22",2005-04-22,0.00190476190476186,23100,-0.103918228279387,10.52,0.0256653992395437,10.25,10.6,0,1.07794676806083,0.8493683639248
"2005-04-25",2005-04-25,0.00285171102661608,69300,-0.101362862010221,10.55,0.028436018957346,10.25,10.6,0,1.10795155344919,0.869197643271259
"2005-04-26",2005-04-26,-0.00473933649289106,33200,-0.105621805792163,10.5,0.0238095238095238,10.25,10.6,0,-1.04201680672269,0.836116097227893
"2005-04-27",2005-04-27,-0.0676190476190477,68000,-0.166098807495741,9.79,0,9.79,10.55,9,-1.57258064516129,0.522307337003712
"2005-04-28",2005-04-28,0.0112359550561799,37600,-0.156729131175468,9.9,0.0111111111111112,9.79,9.9,9,-0.943589743589743,0.598559744765597
"2005-04-29",2005-04-29,0.0101010101010101,20400,-0.148211243611584,10,0.0210000000000001,0,10,0,1.89,0.667090362954035
"2005-05-02",2005-05-02,-0.00899999999999999,15700,-0.15587734241908,9.91,0.0121089808274472,9.79,10,12,-1.05172413793103,0.60544624327328
"2005-05-03",2005-05-03,0.00908173562058525,21400,-0.148211243611584,10,0.00900000000000001,9.91,10,12,-0.950819672131148,0.622412935574437
"2005-05-04",2005-05-04,0.00999999999999996,15800,-0.1396933560477,10.1,0.0188118811881187,0,10.1,0,2.09020902090208,0.690656844932972
"2005-05-05",2005-05-05,-0.0198019801980197,15200,-0.156729131175468,9.9,0,0,10.1,15,-1.12195121951219,0.557191756451155
"2005-05-06",2005-05-06,0.0101010101010101,18100,-0.148211243611584,10,0.01,9.9,10,15,-0.945652173913043,0.626136054522737
"2005-05-09",2005-05-09,-0.00999999999999996,43100,-0.156729131175468,9.9,0,0,10,17,-1.05747126436782,0.557191756451155
"2005-05-10",2005-05-10,0.150505050505051,129300,-0.0298126064735943,11.39,0.13081650570676,9.9,11.39,17,-0.190217391304346,1.51676248556827
"2005-05-11",2005-05-11,0.00702370500438982,64700,-0.0229982964224871,11.47,0.136878814298169,0,11.47,0,1.04634207708466,1.56470366842625
"2005-05-12",2005-05-12,-0.013949433304272,56400,-0.0366269165247017,11.31,0.124668435013263,9.9,11.47,20,-1.5925925925926,1.46850200020295
"2005-05-13",2005-05-13,0.0282935455349249,29100,-0.0093696763202723,11.63,0.0275150472914876,11.31,11.63,20,-0.255813953488366,1.20827032896796
"2005-05-16",2005-05-16,0.0808254514187446,303100,0,12.57,0.100238663484487,0,12.57,0,3.64304892601431,1.51391342185244
"2005-05-17",2005-05-17,0.109785202863962,197700,0,13.95,0.189247311827957,0,13.95,0,1.88796722990271,1.84530320706257
"2005-05-18",2005-05-18,0.00286738351254487,235700,0,13.99,0.1915654038599,0,13.99,0,1.01224900903243,1.8539337394306
"2005-05-19",2005-05-19,0,31400,0,13.99,0.1915654038599,0,13.99,0,0,1.8539337394306
"2005-05-20",2005-05-20,-0.00786275911365257,41200,-0.00786275911365264,13.88,0.185158501440922,11.31,13.99,26,0,1.80080609219264
"2005-05-23",2005-05-23,0.00864553314121032,99200,0,14,0.00857142857142856,13.88,14,26,0,1.17262540260939
"2005-05-24",2005-05-24,0,85000,0,14,0.00857142857142856,0,14,0,0,1.17262540260939
"2005-05-25",2005-05-25,0.00357142857142862,56400,0,14.05,0.0120996441281138,0,14.05,0,1.41162514827995,1.18576136880217
"2005-05-26",2005-05-26,-0.00284697508896804,57000,-0.00284697508896803,14.01,0.00927908636688068,13.88,14.05,30,0,1.16466046985747
"2005-05-27",2005-05-27,0.0135617416131334,17700,0,14.2,0.0133802816901408,14.01,14.2,30,1.44198266522212,1.19052933477526
"2005-05-31",2005-05-31,-0.0140845070422535,828000,-0.0140845070422535,14,0,0,14.2,32,0,1.08827465943463
"2005-06-01",2005-06-01,-0.00642857142857142,22200,-0.0204225352112678,13.91,0,13.91,14,33,-1.45000000000002,1.06467742666371
"2005-06-02",2005-06-02,-0.0251617541337167,51400,-0.0450704225352113,13.56,0,13.56,13.91,34,-2.20689655172412,0.972910410332381
"2005-06-03",2005-06-03,0.0132743362831858,26000,-0.0323943661971832,13.74,0.0131004366812227,13.56,13.74,34,-0.718750000000001,1.06887935991307
"2005-06-06",2005-06-06,0.0189228529839883,39500,-0.0140845070422535,14,0.0314285714285714,0,14,0,2.39904761904761,1.20528696923834
"2005-06-07",2005-06-07,0.0421428571428571,43500,0,14.59,0.0705962988348183,0,14.59,0,2.24624587201695,1.40355137235285
"2005-06-08",2005-06-08,0.0212474297464017,76000,0,14.9,0.0899328859060402,0,14.9,0,1.27390369453313,1.47554378607317
"2005-06-09",2005-06-09,-0.000671140939597301,102000,-0.000671140939597303,14.89,0.0893216924110141,13.56,14.9,39,0,1.47076950244156
"2005-06-10",2005-06-10,0.012760241773002,31500,0,15.08,0.0125994694960212,14.89,15.08,39,0,1.18762227810027
"2005-06-13",2005-06-13,0.0212201591511937,49600,0,15.4,0.0331168831168831,0,15.4,0,2.62843472317157,1.2640110495222
"2005-06-14",2005-06-14,-0.0207792207792208,54000,-0.0207792207792208,15.08,0.0125994694960212,14.89,15.4,42,0,1.11025876748624
"2005-06-15",2005-06-15,0.0205570291777189,31700,-0.000649350649350566,15.39,0.032488628979857,14.89,15.4,0,2.57857118429603,1.2592543749336
"2005-06-16",2005-06-16,-0.00909681611436001,32300,-0.00974025974025983,15.25,0.0236065573770492,14.89,15.4,0,-15.0000000000021,1.1923388299554
"2005-06-17",2005-06-17,-0.00327868852459021,38500,-0.012987012987013,15.2,0.0203947368421051,14.89,15.4,0,-1.33333333333332,1.16829279152977
"2005-06-20",2005-06-20,-0.0125,33000,-0.0253246753246754,15.01,0.00799467021985334,14.89,15.4,0,-1.95000000000001,1.07619128410121
"2005-06-21",2005-06-21,-0.0379746835443038,47500,-0.0623376623376624,14.44,0,14.44,15.39,47,-2.46153846153845,0.908622422639039
"2005-06-22",2005-06-22,-0.0630193905817175,43500,-0.121428571428571,13.53,0,13.53,14.44,48,-1.94791666666667,0.688619939330415
"2005-06-23",2005-06-23,-0.0591278640059127,22000,-0.173376623376623,12.73,0,12.73,13.53,49,-1.42780748663102,0.495211162795361
"2005-06-24",2005-06-24,-0.0573448546739985,216900,-0.220779220779221,12,0,12,12.73,50,-1.27340823970037,0.318725654207125
"2005-06-27",2005-06-27,-0.00416666666666673,33500,-0.224025974025974,11.95,0,11.95,12,51,-1.01470588235294,0.306637605673684
"2005-06-28",2005-06-28,0.0460251046025105,17400,-0.188311688311688,12.5,0.044,11.95,12.5,51,-0.840579710144928,0.603423373266724
"2005-06-29",2005-06-29,-0.0104000000000001,58700,-0.196753246753247,12.37,0.0339531123686337,11.95,12.5,53,-1.0448275862069,0.534588689367999
"2005-06-30",2005-06-30,0.00242522231204536,25100,-0.194805194805195,12.4,0.0362903225806452,11.95,12.5,0,1.06883640552996,0.550543230114563
"2005-07-01",2005-07-01,0.00322580645161283,72600,-0.192207792207792,12.44,0.0393890675241158,11.95,12.5,0,1.0853876384423,0.571750664956299
"2005-07-05",2005-07-05,0.00643086816720258,10700,-0.187012987012987,12.52,0.0119808306709266,12.37,12.52,53,-0.972972972972973,0.489047416642207
"2005-07-06",2005-07-06,-0.0271565495207668,85300,-0.209090909090909,12.18,0,0,12.52,57,-1.11805555555556,0.362242628927511
"2005-07-07",2005-07-07,-0.0320197044334976,11200,-0.234415584415585,11.79,0,11.79,12.18,58,-1.12111801242236,0.267955850366672
"2005-07-08",2005-07-08,0.0212044105173876,25800,-0.218181818181818,12.04,0.020764119601329,11.79,12.04,58,-0.930747922437673,0.405703380166348
"2005-07-11",2005-07-11,0.0257475083056479,42200,-0.198051948051948,12.35,0.0453441295546559,0,12.35,0,2.18377327935222,0.572163581880311
"2005-07-12",2005-07-12,-0.0299595141700404,13900,-0.222077922077922,11.98,0.0158597662771287,11.79,12.35,61,-1.12131147540984,0.372938231135732
"2005-07-13",2005-07-13,-0.021702838063439,15700,-0.238961038961039,11.72,0,11.72,11.98,62,-1.07602339181287,0.251032582419856
"2005-07-14",2005-07-14,-0.0145051194539249,22300,-0.25,11.55,0,11.55,11.72,63,-1.04619565217391,0.209933217406157
"2005-07-15",2005-07-15,-0.000865800865801001,37600,-0.250649350649351,11.54,0,11.54,11.55,64,-1.0025974025974,0.207515607699468
"2005-07-18",2005-07-18,0.00693240901213172,92600,-0.245454545454546,11.62,0.00688468158347677,11.54,11.62,64,-0.979274611398964,0.252488973809426
"2005-07-19",2005-07-19,-0.00860585197934592,20600,-0.251948051948052,11.52,0,0,11.62,66,-1.02645502645503,0.202680388286092
"2005-07-20",2005-07-20,-0.0277777777777778,47800,-0.272727272727273,11.2,0,11.2,11.52,67,-1.08247422680412,0.12531687767207
"2005-07-21",2005-07-21,0.00446428571428578,17500,-0.26948051948052,11.25,0.00444444444444447,11.2,11.25,67,-0.988095238095238,0.153952121531288
"2005-07-22",2005-07-22,0.0204444444444445,23600,-0.254545454545455,11.48,0.0243902439024392,0,11.48,0,5.48780487804877,0.283817728686164
"2005-07-25",2005-07-25,-0.0914634146341464,46900,-0.322727272727273,10.43,0,0,11.48,70,-1.26785714285714,-0.0608390697429192
"2005-07-26",2005-07-26,0.0546500479386386,82400,-0.285714285714286,11,0.0518181818181819,10.43,11,70,-0.885311871227364,0.269889938132023
"2005-07-27",2005-07-27,0,20900,-0.285714285714286,11,0.0518181818181819,0,11,0,-1,0.269889938132023
"2005-07-28",2005-07-28,0,39100,-0.285714285714286,11,0.0518181818181819,0,11,0,-1,0.269889938132023
"2005-07-29",2005-07-29,0.00181818181818178,62000,-0.284415584415585,11.02,0.0535390199637024,0,11.02,0,1.03320915719425,0.281132042651944
"2005-08-01",2005-08-01,0.0526315789473684,32200,-0.246753246753247,11.6,0.100862068965517,0,11.6,0,1.88389830508474,0.597542746069834
"2005-08-02",2005-08-02,0.0112068965517242,11800,-0.238311688311688,11.73,0.110826939471441,0,11.73,0,1.0987970067254,0.666072070454738
"2005-08-03",2005-08-03,-0.0110826939471441,48300,-0.246753246753247,11.6,0.100862068965517,10.43,11.73,77,-1.03542234332425,0.597542746069834
"2005-08-04",2005-08-04,-0.0448275862068965,12800,-0.280519480519481,11.08,0.0586642599277979,10.43,11.73,0,-1.13684210526316,0.31471957891698
"2005-08-05",2005-08-05,-0.0207581227436823,17800,-0.295454545454546,10.85,0.0387096774193548,10.43,11.73,0,-1.05324074074074,0.184821271420556
"2005-08-08",2005-08-08,-0.0423963133640552,39400,-0.325324675324676,10.39,0,10.39,11.6,80,-1.1010989010989,-0.0705095085696724
"2005-08-09",2005-08-09,-0.0134744947064486,28900,-0.334415584415585,10.25,0,10.25,10.39,81,-1.02794411177645,-0.104356044463307
"2005-08-10",2005-08-10,-0.00487804878048787,25800,-0.337662337662338,10.2,0,10.2,10.25,82,-1.00970873786408,-0.116444092996748
"2005-08-11",2005-08-11,-0.0196078431372548,26900,-0.350649350649351,10,0,10,10.2,83,-1.03846153846154,-0.164796287130511
"2005-08-12",2005-08-12,0.0119999999999999,43200,-0.342857142857143,10.12,0.0118577075098814,10,10.12,83,-0.977777777777778,-0.091637315136817
"2005-08-15",2005-08-15,0.0128458498023716,50700,-0.334415584415585,10.25,0.024390243902439,0,10.25,0,2.0569105691057,-0.0135482652364828
"2005-08-16",2005-08-16,0,140400,-0.334415584415585,10.25,0.024390243902439,0,10.25,0,-1,-0.0135482652364828
"2005-08-17",2005-08-17,-0.0107317073170731,51900,-0.341558441558442,10.14,0.0138067061143985,10,10.25,87,-1.02135922330097,-0.0795457420887529
"2005-08-18",2005-08-18,0.13905325443787,70100,-0.25,11.55,0.122077922077922,10.14,11.55,87,8.84192949907231,0.664443842263532
"2005-08-19",2005-08-19,0.0173160173160173,69500,-0.237012987012987,11.75,0.137021276595745,0,11.75,0,1.12240832956089,0.768431922753762
"2005-08-22",2005-08-22,0.0289361702127659,25000,-0.214935064935065,12.09,0.161290322580645,0,12.09,0,1.17711881386496,0.940987197744702
"2005-08-23",2005-08-23,0.0239867659222499,34500,-0.196103896103896,12.38,0.180936995153473,0,12.38,0,1.12180936995154,1.0842447781656
"2005-08-24",2005-08-24,-0.00484652665589665,98900,-0.2,12.32,0.176948051948052,10.14,12.38,92,-1.01986754966887,1.05488780989367
"2005-08-25",2005-08-25,0.00162337662337659,86500,-0.198701298701299,12.34,0.178282009724473,10.14,12.38,0,1.00753869715849,1.06468951278068
"2005-08-26",2005-08-26,-0.0526742301458671,49400,-0.240909090909091,11.69,0.132591958939264,10.14,12.38,0,-1.2124183006536,0.737435388018752
"2005-08-29",2005-08-29,0.0179640718562875,25600,-0.227272727272728,11.9,0.147899159663866,10.14,12.38,0,1.11544592030361,0.845195720922395
"2005-08-30",2005-08-30,0.0168067226890756,50300,-0.214285714285715,12.1,0.16198347107438,10.14,12.38,0,1.09522915101427,0.9459854817424
"2005-08-31",2005-08-31,0.028099173553719,33700,-0.192207792207793,12.44,0.0602893890675241,11.69,12.44,92,-0.896969696969697,0.64956504812012
"2005-09-01",2005-09-01,-0.0273311897106109,8200,-0.214285714285715,12.1,0.0338842975206611,11.69,12.44,98,-1.11486486486486,0.469057021423006
"2005-09-02",2005-09-02,0.0264462809917356,23600,-0.193506493506494,12.42,0.0587761674718197,11.69,12.44,0,1.73461372294883,0.639095924710801
"2005-09-06",2005-09-06,0.0128824476650564,17900,-0.183116883116883,12.58,0.0381558028616853,12.1,12.58,98,-0.946308724832215,0.60100560981697
"2005-09-07",2005-09-07,-0.00635930047694754,35300,-0.188311688311689,12.5,0.032,12.1,12.58,101,-1.02836879432624,0.558745945887126
"2005-09-08",2005-09-08,-0.012,6800,-0.198051948051948,12.35,0.0202429149797571,12.1,12.58,0,-1.05172413793103,0.478708774271165
"2005-09-09",2005-09-09,0.00809716599190281,7600,-0.191558441558442,12.45,0.0281124497991968,12.1,12.58,0,1.38875502008032,0.532184085538608
"2005-09-12",2005-09-12,-0.0160642570281124,52300,-0.204545454545455,12.25,0.0122448979591837,12.1,12.58,0,-1.06779661016949,0.424755108486163
"2005-09-13",2005-09-13,0.00489795918367351,202800,-0.200649350649351,12.31,0.0170593013809911,12.1,12.58,0,1.3931762794476,0.457185363330782
"2005-09-14",2005-09-14,0.0138099106417547,190800,-0.18961038961039,12.48,0.0304487179487181,12.1,12.58,0,1.78487484737485,0.548135118874464
"2005-09-15",2005-09-15,-0.00641025641025642,34900,-0.194805194805195,12.4,0.0241935483870969,12.1,12.58,0,-1.02739726027397,0.505505500901259
"2005-09-16",2005-09-16,0.00241935483870963,93200,-0.192857142857143,12.43,0.0265486725663717,12.1,12.58,0,1.09734513274336,0.521526737478781
"2005-09-19",2005-09-19,-0.0241351568785196,8800,-0.212337662337662,12.13,0.00247320692497943,12.1,12.58,0,-1.1010101010101,0.359362623959528
"2005-09-20",2005-09-20,-0.0140148392415499,19200,-0.223376623376623,11.96,0,11.96,12.5,110,-1.0519877675841,0.309055215380372
"2005-09-21",2005-09-21,0.0292642140468227,24300,-0.200649350649351,12.31,0.0284321689683185,11.96,12.31,110,-0.898255813953489,0.499527902141665
