"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1989-06-05",1989-06-05,-0.00854723044049112,438300,-0.0085472304404911,2.864197,0,0,0,0,1,0.698456759758069
"1989-06-06",1989-06-06,0,546900,-0.0085472304404911,2.864197,0,2.864197,2.864197,1,-1,0.698456759758069
"1989-06-07",1989-06-07,0.0086209153909455,177000,0,2.888889,0.0085472304404911,0,2.888889,0,0,0.846427397582656
"1989-06-08",1989-06-08,0,743400,0,2.888889,0.0085472304404911,0,2.888889,0,0,0.846427397582656
"1989-06-09",1989-06-09,0.00854688428665838,414000,0,2.91358,0.0169492514363773,0,2.91358,0,1.98301093604344,0.919155775180102
"1989-06-12",1989-06-12,-0.00847445410800467,939600,-0.00847445410800463,2.888889,0.0085472304404911,2.864197,2.91358,6,0,0.773072034795421
"1989-06-13",1989-06-13,-0.0170941147271493,492000,-0.0254237055443818,2.839506,0,2.839506,2.888889,7,-3.00004050058724,0.552373019373389
"1989-06-14",1989-06-14,-0.00869552661624953,135900,-0.0338981596523863,2.814815,0,2.814815,2.839506,8,-1.33332883332883,0.479017656586156
"1989-06-15",1989-06-15,-0.00877215731762121,118300,-0.0423729569807589,2.790123,0,2.790123,2.814815,9,-1.25000759378322,0.405659322863651
"1989-06-16",1989-06-16,0.00884978905947872,99400,-0.0338981596523863,2.814815,0.00877215731762115,2.790123,2.814815,9,-0.799995140008262,0.554949955500015
"1989-06-19",1989-06-19,0.0175436041089734,309100,-0.0169492514363772,2.864197,0.0258620478968451,0,2.864197,0,2.9481970010837,0.849591758103855
"1989-06-20",1989-06-20,0,205300,-0.0169492514363772,2.864197,0.0258620478968451,0,2.864197,0,-1,0.849591758103855
"1989-06-21",1989-06-21,0.0086209153909455,198400,-0.00847445410800463,2.888889,0.0341882294542989,0,2.888889,0,1.32194594916319,0.99502199887728
"1989-06-22",1989-06-22,0,218700,-0.00847445410800463,2.888889,0.0341882294542989,0,2.888889,0,-1,0.99502199887728
"1989-06-23",1989-06-23,-0.00854723044049112,118300,-0.016949251436377,2.864197,0.0258620478968451,2.790123,2.888889,15,-2.00004050058723,0.849591758103856
"1989-06-26",1989-06-26,0,212800,-0.016949251436377,2.864197,0.0258620478968451,2.790123,2.888889,0,-1,0.849591758103856
"1989-06-27",1989-06-27,0.0086209153909455,322800,-0.0084744541080044,2.888889,0.0085472304404911,2.864197,2.888889,15,-0.499989875058213,0.773072034795423
"1989-06-28",1989-06-28,-0.0170941147271493,146700,-0.0254237055443817,2.839506,0,0,2.888889,18,-3.0000405005873,0.55237301937339
"1989-06-29",1989-06-29,0,139000,-0.0254237055443817,2.839506,0,2.839506,2.839506,18,-1,0.55237301937339
"1989-06-30",1989-06-30,-0.00869552661624953,214800,-0.0338981596523862,2.814815,0,0,2.839506,20,-1.33332883332883,0.479017656586157
"1989-07-03",1989-07-03,0.00877180205448679,17100,-0.0254237055443817,2.839506,0.0086955266162495,2.814815,2.839506,20,-0.750002531261075,0.627641998523155
"1989-07-05",1989-07-05,0.00869552661624937,157900,-0.0169492514363772,2.864197,0.0172411325058995,0,2.864197,0,1.98275886749408,0.774968618017046
"1989-07-06",1989-07-06,-0.0258620478968451,17500,-0.0423729569807589,2.790123,0,0,2.864197,23,-2.49998987505822,0.405659322863651
"1989-07-07",1989-07-07,0.0176992197118192,31600,-0.0254237055443817,2.839506,0.0173914054064335,2.790123,2.839506,23,-0.599998380002752,0.702914026110777
"1989-07-10",1989-07-10,0.0260869320226828,401800,0,2.91358,0.0423729569807592,0,2.91358,0,2.43643086861079,1.13922483447708
"1989-07-11",1989-07-11,-0.00847445410800467,125500,-0.00847445410800463,2.888889,0.0341882294542989,2.790123,2.91358,26,0,0.99502199887728
"1989-07-12",1989-07-12,0,59500,-0.00847445410800463,2.888889,0.0341882294542989,2.790123,2.91358,0,-1,0.99502199887728
"1989-07-13",1989-07-13,0,60000,-0.00847445410800463,2.888889,0.0341882294542989,2.790123,2.91358,0,-1,0.99502199887728
"1989-07-14",1989-07-14,0,132400,-0.00847445410800463,2.888889,0.0341882294542989,2.790123,2.91358,0,-1,0.99502199887728
"1989-07-17",1989-07-17,0.00854688428665838,127800,0,2.91358,0.00847445410800463,2.888889,2.91358,26,0,0.845797441457597
"1989-07-18",1989-07-18,0,63000,0,2.91358,0.00847445410800463,0,2.91358,0,0,0.845797441457597
"1989-07-19",1989-07-19,0.0169492514363771,117400,0,2.962963,0.0249999746875003,0,2.962963,0,2.95003953869858,0.988843299268282
"1989-07-20",1989-07-20,0,126900,0,2.962963,0.0249999746875003,0,2.962963,0,0,0.988843299268282
"1989-07-21",1989-07-21,0,54600,0,2.962963,0.0249999746875003,0,2.962963,0,0,0.988843299268282
"1989-07-24",1989-07-24,0.0499999493750008,165300,0,3.111111,0.0714285025510181,0,3.111111,0,2.85714299489798,1.39073131018908
"1989-07-25",1989-07-25,-0.0158731077097539,97200,-0.0158731077097539,3.061728,0.0564514548647039,2.888889,3.111111,36,0,1.12369058847657
"1989-07-26",1989-07-26,0.0161291270811777,62700,0,3.111111,0.0158731077097539,3.061728,3.111111,36,0,0.909840613109297
"1989-07-27",1989-07-27,0.00793671456916836,207400,0,3.135803,0.0236223385206278,0,3.135803,0,1.48819871650666,0.976918401272281
"1989-07-28",1989-07-28,0,130900,0,3.135803,0.0236223385206278,0,3.135803,0,0,0.976918401272281
"1989-07-31",1989-07-31,0.0157478004836401,432100,0,3.185185,0.0387597580674278,0,3.185185,0,1.64080952584697,1.10794877660575
"1989-08-01",1989-08-01,0.00775213998558951,321900,0,3.209877,0.0461541049703774,0,3.209877,0,1.19077381468909,1.17195466922462
"1989-08-02",1989-08-02,0,156100,0,3.209877,0.0461541049703774,0,3.209877,0,0,1.17195466922462
