"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1993-11-05",1993-11-05,0.05,802000,0,1.96875,0,0,0,0,1,1.63267898927912
"1993-11-08",1993-11-08,0,430400,0,1.96875,0,1.96875,1.96875,1,0,1.63267898927912
"1993-11-09",1993-11-09,0,142000,0,1.96875,0,0,1.96875,0,0,1.63267898927912
"1993-11-10",1993-11-10,0.0158730158730159,90800,0,2,0.015625,0,2,0,0,1.67841214485405
"1993-11-11",1993-11-11,0.015625,408800,0,2.03125,0.0307692307692308,0,2.03125,0,1.96923076923077,1.72273812641129
"1993-11-12",1993-11-12,0.0307692307692308,393200,0,2.09375,0.0597014925373134,0,2.09375,0,1.94029850746268,1.80742059864004
"1993-11-15",1993-11-15,0.104477611940299,602800,0,2.3125,0.148648648648649,0,2.3125,0,2.48986486486487,2.06776198285683
"1993-11-16",1993-11-16,0.0540540540540541,455200,0,2.4375,0.192307692307692,0,2.4375,0,1.29370629370629,2.19554859635517
"1993-11-17",1993-11-17,-0.0256410256410256,165600,-0.0256410256410258,2.375,0.171052631578947,1.96875,2.4375,9,0,2.05828741147171
"1993-11-18",1993-11-18,-0.0263157894736842,299200,-0.0512820512820513,2.3125,0.148648648648649,1.96875,2.4375,0,-1.99999999999999,1.91766342096988
"1993-11-19",1993-11-19,0.0135135135135135,58800,-0.0384615384615383,2.34375,0.16,1.96875,2.4375,0,1.07636363636364,1.98841258095119
"1993-11-22",1993-11-22,-0.04,244400,-0.0769230769230769,2.25,0.125,1.96875,2.4375,0,-2.00000000000001,1.77339639104813
"1993-11-23",1993-11-23,0.0694444444444444,259200,-0.0128205128205128,2.40625,0.181818181818182,1.96875,2.4375,0,1.45454545454545,2.12732197731565
"1993-11-24",1993-11-24,-0.025974025974026,48400,-0.0384615384615385,2.34375,0.16,1.96875,2.4375,0,-3.00000000000002,1.98841258095119
"1993-11-26",1993-11-26,0.0133333333333333,16800,-0.0256410256410255,2.375,0.171052631578947,1.96875,2.4375,0,1.06907894736842,2.05828741147171
"1993-11-29",1993-11-29,-0.0526315789473684,92000,-0.0769230769230769,2.25,0.125,1.96875,2.4375,0,-3.00000000000001,1.77339639104813
"1993-11-30",1993-11-30,0,89200,-0.0769230769230769,2.25,0.125,1.96875,2.4375,0,-1,1.77339639104813
"1993-12-01",1993-12-01,-0.0277777777777778,98400,-0.102564102564102,2.1875,0.1,1.96875,2.4375,0,-1.33333333333333,1.62517406118477
"1993-12-02",1993-12-02,0.185714285714286,612400,0,2.59375,0.156626506024096,2.1875,2.59375,9,1.56626506024096,2.09111254877721
"1993-12-03",1993-12-03,-0.0120481927710843,494800,-0.0120481927710843,2.5625,0.146341463414634,2.1875,2.59375,20,0,2.0257449117756
"1993-12-06",1993-12-06,-0.0609756097560976,74400,-0.072289156626506,2.40625,0.0909090909090909,2.1875,2.59375,0,-6.00000000000004,1.68717808376491
"1993-12-07",1993-12-07,-0.025974025974026,88000,-0.0963855421686748,2.34375,0.0666666666666667,2.1875,2.59375,0,-1.33333333333333,1.54569416004102
"1993-12-08",1993-12-08,0.0133333333333333,64800,-0.0843373493975904,2.375,0.0789473684210527,2.1875,2.59375,0,1.18421052631579,1.61690293561218
"1993-12-09",1993-12-09,-0.0131578947368421,10800,-0.0963855421686747,2.34375,0.0666666666666667,2.1875,2.59375,0,-1.14285714285714,1.54569416004102
"1993-12-10",1993-12-10,-0.0133333333333333,16000,-0.108433734939759,2.3125,0.0540540540540541,2.1875,2.59375,0,-1.125,1.47351390729122
"1993-12-13",1993-12-13,-0.0405405405405405,96400,-0.144578313253012,2.21875,0.0140845070422535,2.1875,2.59375,0,-1.33333333333333,1.25073380265504
"1993-12-14",1993-12-14,-0.0140845070422535,236000,-0.156626506024096,2.1875,0,2.1875,2.5625,27,-1.08333333333333,1.17424542978104
"1993-12-15",1993-12-15,0.0142857142857143,60800,-0.144578313253012,2.21875,0.0140845070422535,2.1875,2.21875,27,-0.923076923076924,1.25073380265504
"1993-12-16",1993-12-16,0,52000,-0.144578313253012,2.21875,0.0140845070422535,0,2.21875,0,-1,1.25073380265504
"1993-12-17",1993-12-17,-0.028169014084507,23200,-0.168674698795181,2.15625,0,0,2.21875,30,-1.16666666666667,1.13898130981964
"1993-12-20",1993-12-20,0.0289855072463768,29600,-0.144578313253012,2.21875,0.028169014084507,2.15625,2.21875,30,-0.857142857142857,1.29195805556765
"1993-12-21",1993-12-21,-0.0140845070422535,20800,-0.156626506024096,2.1875,0.0142857142857142,2.15625,2.21875,32,-1.08333333333333,1.2160586005924
