"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1973-02-22",1973-02-22,0,8400,0,5.03125,0,0,0,0,1,1.19998067983542
"1973-02-23",1973-02-23,0,73200,0,5.03125,0,5.03125,5.03125,1,0,1.19998067983542
"1973-02-26",1973-02-26,-0.0062111801242236,16400,-0.00621118012422361,5,0,0,5.03125,3,0,1.14505867258651
"1973-02-27",1973-02-27,-0.0125,26000,-0.0186335403726707,4.9375,0,4.9375,5,4,-2.99999999999998,1.03521465808869
"1973-02-28",1973-02-28,0.00632911392405063,26000,-0.0124223602484471,4.96875,0.00628930817610063,4.9375,4.96875,4,-0.666666666666665,1.14574951544499
"1973-03-01",1973-03-01,0,36800,-0.0124223602484471,4.96875,0.00628930817610063,0,4.96875,0,-1,1.14574951544499
"1973-03-02",1973-03-02,0,10400,-0.0124223602484471,4.96875,0.00628930817610063,0,4.96875,0,-1,1.14574951544499
"1973-03-05",1973-03-05,0,26800,-0.0124223602484471,4.96875,0.00628930817610063,0,4.96875,0,-1,1.14574951544499
"1973-03-06",1973-03-06,0,9200,-0.0124223602484471,4.96875,0.00628930817610063,0,4.96875,0,-1,1.14574951544499
"1973-03-07",1973-03-07,0,23600,-0.0124223602484471,4.96875,0.00628930817610063,0,4.96875,0,-1,1.14574951544499
"1973-03-08",1973-03-08,0,8800,-0.0124223602484471,4.96875,0.00628930817610063,0,4.96875,0,-1,1.14574951544499
"1973-03-09",1973-03-09,0,23200,-0.0124223602484471,4.96875,0.00628930817610063,0,4.96875,0,-1,1.14574951544499
"1973-03-12",1973-03-12,0,26400,-0.0124223602484471,4.96875,0.00628930817610063,0,4.96875,0,-1,1.14574951544499
"1973-03-13",1973-03-13,0,41200,-0.0124223602484471,4.96875,0.00628930817610063,0,4.96875,0,-1,1.14574951544499
"1973-03-14",1973-03-14,0,14000,-0.0124223602484471,4.96875,0.00628930817610063,0,4.96875,0,-1,1.14574951544499
"1973-03-15",1973-03-15,-0.00628930817610063,20000,-0.0186335403726707,4.9375,0,0,4.96875,16,-1.5,1.03521465808869
"1973-03-16",1973-03-16,-0.00632911392405063,9200,-0.0248447204968943,4.90625,0,4.90625,4.9375,17,-1.33333333333334,0.98029265083978
"1973-03-19",1973-03-19,0,7600,-0.0248447204968943,4.90625,0,4.90625,4.90625,17,-1,0.98029265083978
"1973-03-20",1973-03-20,-0.00636942675159236,23200,-0.031055900621118,4.875,0,0,4.90625,19,-1.25,0.92537064359087
"1973-03-21",1973-03-21,-0.00641025641025641,21200,-0.0372670807453416,4.84375,0,4.84375,4.875,20,-1.2,0.87044863634196
