"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1984-05-07",1984-05-07,-0.0125001012500102,102600,-0.0125001012500101,2.194444,0,0,0,0,1,1.12170507877759
"1984-05-08",1984-05-08,0,137100,-0.0125001012500101,2.194444,0,2.194444,2.194444,1,-1,1.12170507877759
"1984-05-09",1984-05-09,0,741600,-0.0125001012500101,2.194444,0,0,2.194444,0,-1,1.12170507877759
"1984-05-10",1984-05-10,-0.0253162076589788,303600,-0.0374998537499854,2.138889,0,0,2.194444,4,-2.99996400028801,1.01309266116392
"1984-05-11",1984-05-11,-0.0129871162084613,228000,-0.0499999549999954,2.111111,0,2.111111,2.138889,5,-1.33333733334933,0.958785474835552
"1984-05-14",1984-05-14,0,49800,-0.0499999549999954,2.111111,0,2.111111,2.111111,5,-1,0.958785474835552
"1984-05-15",1984-05-15,0.0263160013850526,43500,-0.0249997524999753,2.166667,0.0256412268244265,0,2.166667,0,-0.499995499995502,1.17879917578501
"1984-05-16",1984-05-16,0,35100,-0.0249997524999753,2.166667,0.0256412268244265,0,2.166667,0,-1,1.17879917578501
"1984-05-17",1984-05-17,0,65100,-0.0249997524999753,2.166667,0.0256412268244265,0,2.166667,0,-1,1.17879917578501
"1984-05-18",1984-05-18,-0.128205211045352,384600,-0.149999864999987,1.888889,0,0,2.166667,10,-6.00005400053999,0.524331894294733
"1984-05-21",1984-05-21,0,225300,-0.149999864999987,1.888889,0,1.888889,1.888889,10,-1,0.524331894294733
"1984-05-22",1984-05-22,0,12000,-0.149999864999987,1.888889,0,0,1.888889,0,-1,0.524331894294733
"1984-05-23",1984-05-23,0.0147059991349412,14700,-0.137499763749976,1.916667,0.0144928670447187,0,1.916667,0,-0.916665916665917,0.641603917090261
"1984-05-24",1984-05-24,0,23400,-0.137499763749976,1.916667,0.0144928670447187,0,1.916667,0,-1,0.641603917090261
"1984-05-25",1984-05-25,0,158400,-0.137499763749976,1.916667,0.0144928670447187,0,1.916667,0,-1,0.641603917090261
"1984-05-29",1984-05-29,0,19200,-0.137499763749976,1.916667,0.0144928670447187,0,1.916667,0,-1,0.641603917090261
"1984-05-30",1984-05-30,0,33300,-0.137499763749976,1.916667,0.0144928670447187,0,1.916667,0,-1,0.641603917090261
"1984-05-31",1984-05-31,0,300,-0.137499763749976,1.916667,0.0144928670447187,0,1.916667,0,-1,0.641603917090261
"1984-06-01",1984-06-01,0.0289852123503979,102900,-0.112500011250001,1.972222,0.0422533568736176,0,1.972222,0,2.91545880764944,0.87082288528716
"1984-06-04",1984-06-04,0.0140846213053095,7200,-0.099999909999991,2,0.0555555,0,2,0,1.31481861112645,0.982921760729287
"1984-06-05",1984-06-05,0.013889,103500,-0.0874998087499808,2.027778,0.0684931979733482,0,2.027778,0,1.23287879639906,1.09343728972994
"1984-06-06",1984-06-06,0,148800,-0.0874998087499808,2.027778,0.0684931979733482,0,2.027778,0,-1,1.09343728972994
"1984-06-07",1984-06-07,0.0273969832989607,41400,-0.0625000562500057,2.083333,0.0933331349333016,0,2.083333,0,1.36266282922896,1.3099677999965
"1984-06-08",1984-06-08,0,117300,-0.0625000562500057,2.083333,0.0933331349333016,0,2.083333,0,-1,1.3099677999965
"1984-06-11",1984-06-11,0,120000,-0.0625000562500057,2.083333,0.0933331349333016,0,2.083333,0,-1,1.3099677999965
"1984-06-12",1984-06-12,0.0133334421333508,126300,-0.0499999549999953,2.111111,0.10526305817174,0,2.111111,0,1.12782087783683,1.41610501163707
"1984-06-13",1984-06-13,0,72900,-0.0499999549999953,2.111111,0.10526305817174,0,2.111111,0,-1,1.41610501163707
"1984-06-14",1984-06-14,0,10200,-0.0499999549999953,2.111111,0.10526305817174,0,2.111111,0,-1,1.41610501163707
"1984-06-15",1984-06-15,0,1200,-0.0499999549999953,2.111111,0.10526305817174,0,2.111111,0,-1,1.41610501163707
"1984-06-18",1984-06-18,0,4500,-0.0499999549999953,2.111111,0.10526305817174,0,2.111111,0,-1,1.41610501163707
"1984-06-19",1984-06-19,0.0131580006925262,5700,-0.0374998537499853,2.138889,0.116883110811267,0,2.138889,0,1.11039060465608,1.52089597815399
"1984-06-20",1984-06-20,0,20700,-0.0374998537499853,2.138889,0.116883110811267,0,2.138889,0,-1,1.52089597815399
"1984-06-21",1984-06-21,0,10800,-0.0374998537499853,2.138889,0.116883110811267,0,2.138889,0,-1,1.52089597815399
"1984-06-22",1984-06-22,0,14700,-0.0374998537499853,2.138889,0.116883110811267,0,2.138889,0,-1,1.52089597815399
"1984-06-25",1984-06-25,-0.0129871162084613,10800,-0.0499999549999953,2.111111,0.10526305817174,1.888889,2.138889,35,-1.33333733334933,1.41610501163707
"1984-06-26",1984-06-26,-0.0263155277008173,15300,-0.0749997074999706,2.055556,0.0810812257121675,1.888889,2.138889,0,-1.4999954999955,1.20243366250935
"1984-06-27",1984-06-27,0,2700,-0.0749997074999706,2.055556,0.0810812257121675,1.888889,2.138889,0,-1,1.20243366250935
"1984-06-28",1984-06-28,-0.0270272373995163,60300,-0.0999999099999909,2,0.0555555,1.888889,2.138889,0,-1.33333733334933,0.982921760729287
"1984-06-29",1984-06-29,0,3600,-0.0999999099999909,2,0.0555555,1.888889,2.138889,0,-1,0.982921760729287
"1984-07-02",1984-07-02,0,3600,-0.0999999099999909,2,0.0555555,1.888889,2.138889,0,-1,0.982921760729287
"1984-07-03",1984-07-03,-0.0555555,9000,-0.149999864999986,1.888889,0,1.888889,2.111111,41,-1.5,0.524331894294733
"1984-07-05",1984-07-05,0,3900,-0.149999864999986,1.888889,0,1.888889,1.888889,41,-1,0.524331894294733
"1984-07-06",1984-07-06,0,4500,-0.149999864999986,1.888889,0,0,1.888889,0,-1,0.524331894294733
"1984-07-09",1984-07-09,-0.0294119982698824,6600,-0.175000067500007,1.833333,0,0,1.888889,44,-1.16666816666817,0.415717521637995
"1984-07-10",1984-07-10,0,900,-0.175000067500007,1.833333,0,1.833333,1.833333,44,-1,0.415717521637995
"1984-07-11",1984-07-11,0.0151516391184798,48000,-0.162499966249997,1.861111,0.0149254934283876,0,1.861111,0,-0.928570877551178,0.534869106939344
"1984-07-12",1984-07-12,0,382800,-0.162499966249997,1.861111,0.0149254934283876,0,1.861111,0,-1,0.534869106939344
"1984-07-13",1984-07-13,0,45000,-0.162499966249997,1.861111,0.0149254934283876,0,1.861111,0,-1,0.534869106939344
"1984-07-16",1984-07-16,0,44400,-0.162499966249997,1.861111,0.0149254934283876,0,1.861111,0,-1,0.534869106939344
"1984-07-17",1984-07-17,0,1200,-0.162499966249997,1.861111,0.0149254934283876,0,1.861111,0,-1,0.534869106939344
"1984-07-18",1984-07-18,0.0149254934283877,2700,-0.149999864999986,1.888889,0.0294119982698824,0,1.888889,0,1.97058800173013,0.652113488890289
"1984-07-19",1984-07-19,0.0147059991349412,74700,-0.137499763749976,1.916667,0.0434786011341562,0,1.916667,0,1.47826069943292,0.767533590024581
"1984-07-20",1984-07-20,0,13500,-0.137499763749976,1.916667,0.0434786011341562,0,1.916667,0,-1,0.767533590024581
"1984-07-23",1984-07-23,0,11700,-0.137499763749976,1.916667,0.0434786011341562,0,1.916667,0,-1,0.767533590024581
"1984-07-24",1984-07-24,0,4800,-0.137499763749976,1.916667,0.0434786011341562,0,1.916667,0,-1,0.767533590024581
"1984-07-25",1984-07-25,0,9000,-0.137499763749976,1.916667,0.0434786011341562,0,1.916667,0,-1,0.767533590024581
"1984-07-26",1984-07-26,0,1200,-0.137499763749976,1.916667,0.0434786011341562,0,1.916667,0,-1,0.767533590024581
"1984-07-27",1984-07-27,0,12900,-0.137499763749976,1.916667,0.0434786011341562,0,1.916667,0,-1,0.767533590024581
"1984-07-30",1984-07-30,-0.0144928670447187,26100,-0.149999864999986,1.888889,0.0294119982698824,1.833333,1.916667,59,-1.0909099834727,0.652113488890288
"1984-07-31",1984-07-31,0,2100,-0.149999864999986,1.888889,0.0294119982698824,1.833333,1.916667,0,-1,0.652113488890288
"1984-08-01",1984-08-01,0,13500,-0.149999864999986,1.888889,0.0294119982698824,1.833333,1.916667,0,-1,0.652113488890288
"1984-08-02",1984-08-02,0.0147059991349412,112800,-0.137499763749976,1.916667,0.0144928670447187,1.888889,1.916667,59,-0.916665916665917,0.641603917090262
"1984-08-03",1984-08-03,0.0579709464398355,177600,-0.0874998087499805,2.027778,0.0684931979733482,0,2.027778,0,4.72599367413002,1.09343728972994
"1984-08-06",1984-08-06,0.0547944597485522,56100,-0.0374998537499853,2.138889,0.116883110811267,0,2.138889,0,1.70649223966368,1.52089597815399
"1984-08-07",1984-08-07,-0.0129871162084613,38700,-0.0499999549999953,2.111111,0.10526305817174,1.888889,2.138889,65,-1.33333733334933,1.41610501163707
"1984-08-08",1984-08-08,0,15600,-0.0499999549999953,2.111111,0.10526305817174,1.888889,2.138889,0,-1,1.41610501163707
"1984-08-09",1984-08-09,0,111000,-0.0499999549999953,2.111111,0.10526305817174,1.888889,2.138889,0,-1,1.41610501163707
"1984-08-10",1984-08-10,0,159300,-0.0499999549999953,2.111111,0.10526305817174,1.888889,2.138889,0,-1,1.41610501163707
"1984-08-13",1984-08-13,0.0263160013850526,49500,-0.0249997524999752,2.166667,0.0256412268244265,2.111111,2.166667,65,-0.499995499995501,1.17879917578501
"1984-08-14",1984-08-14,0,10800,-0.0249997524999752,2.166667,0.0256412268244265,0,2.166667,0,-1,1.17879917578501
"1984-08-15",1984-08-15,0,79500,-0.0249997524999752,2.166667,0.0256412268244265,0,2.166667,0,-1,1.17879917578501
"1984-08-16",1984-08-16,0,106200,-0.0249997524999752,2.166667,0.0256412268244265,0,2.166667,0,-1,1.17879917578501
"1984-08-17",1984-08-17,0,40800,-0.0249997524999752,2.166667,0.0256412268244265,0,2.166667,0,-1,1.17879917578501
"1984-08-20",1984-08-20,0,29700,-0.0249997524999752,2.166667,0.0256412268244265,0,2.166667,0,-1,1.17879917578501
"1984-08-21",1984-08-21,0,57900,-0.0249997524999752,2.166667,0.0256412268244265,0,2.166667,0,-1,1.17879917578501
"1984-08-22",1984-08-22,0.0512819921104628,629400,0,2.277778,0.0731708709101588,0,2.277778,0,2.85364157538883,1.49390601979245
"1984-08-23",1984-08-23,-0.0243904366448355,37200,-0.0243904366448356,2.222222,0.0499999549999954,2.111111,2.277778,77,0,1.28727383469463
"1984-08-24",1984-08-24,0,17100,-0.0243904366448356,2.222222,0.0499999549999954,2.111111,2.277778,0,-1,1.28727383469463
"1984-08-27",1984-08-27,-0.0249997524999753,33600,-0.0487804342653236,2.166667,0.0256412268244265,2.111111,2.277778,0,-1.99998200014399,1.07548305939392
"1984-08-28",1984-08-28,0,12900,-0.0487804342653236,2.166667,0.0256412268244265,2.111111,2.277778,0,-1,1.07548305939392
"1984-08-29",1984-08-29,0,14700,-0.0487804342653236,2.166667,0.0256412268244265,2.111111,2.277778,0,-1,1.07548305939392
"1984-08-30",1984-08-30,0.0128201518738228,192000,-0.0365856549672534,2.194444,0.0379745393366154,2.111111,2.277778,0,1.48099541401193,1.18204632840888
"1984-08-31",1984-08-31,0,7500,-0.0365856549672534,2.194444,0.0379745393366154,2.111111,2.277778,0,-1,1.18204632840888
"1984-09-04",1984-09-04,0.0126583316776368,43500,-0.0243904366448358,2.222222,0.0499999549999954,2.111111,2.277778,0,1.31667048168205,1.28727383469463
"1984-09-05",1984-09-05,0,190200,-0.0243904366448358,2.222222,0.0499999549999954,2.111111,2.277778,0,-1,1.28727383469463
"1984-09-06",1984-09-06,0,11700,-0.0243904366448358,2.222222,0.0499999549999954,2.111111,2.277778,0,-1,1.28727383469463
"1984-09-07",1984-09-07,0.0625000562500058,136200,0,2.361111,0.0823527568166005,2.166667,2.361111,77,1.64705661868312,1.53379708777613
"1984-09-10",1984-09-10,0,64200,0,2.361111,0.0823527568166005,0,2.361111,0,0,1.53379708777613
"1984-09-11",1984-09-11,0.0235296011072752,209100,0,2.416667,0.103448261593343,0,2.416667,0,1.25616027431507,1.62544734609709
"1984-09-12",1984-09-12,0.0114939294491132,32700,0,2.444444,0.113636066115648,0,2.444444,0,1.09848212396602,1.66970866745793
"1984-09-13",1984-09-13,0.0340911880165797,142200,0,2.527778,0.142857086342234,0,2.527778,0,1.25714565124815,1.7966605503596
"1984-09-14",1984-09-14,0.0219778002656879,819900,0,2.583333,0.161290085327753,0,2.583333,0,1.12903104394387,1.87674344652785
"1984-09-17",1984-09-17,0.0215055511620065,207300,0,2.638889,0.178947276675904,0,2.638889,0,1.10947474739238,1.95345581560398
"1984-09-18",1984-09-18,0,156900,0,2.638889,0.178947276675904,0,2.638889,0,0,1.95345581560398
"1984-09-19",1984-09-19,0,91200,0,2.638889,0.178947276675904,0,2.638889,0,0,1.95345581560398
"1984-09-20",1984-09-20,-0.0947368381163437,410400,-0.0947368381163437,2.388889,0.0930231584640391,2.166667,2.638889,96,0,1.16856711579689
"1984-09-21",1984-09-21,0,397200,-0.0947368381163437,2.388889,0.0930231584640391,2.166667,2.638889,0,-1,1.16856711579689
"1984-09-24",1984-09-24,0,347400,-0.0947368381163437,2.388889,0.0930231584640391,2.166667,2.638889,0,-1,1.16856711579689
"1984-09-25",1984-09-25,-0.0697675781503452,98400,-0.15789485650969,2.222222,0.0249997524999752,2.166667,2.638889,0,-1.666668,0.598644207741005
"1984-09-26",1984-09-26,-0.0125001012500102,66600,-0.168421256066474,2.194444,0.0126578759813419,2.166667,2.638889,0,-1.06666714666628,0.49929207410647
"1984-09-27",1984-09-27,-0.0253162076589788,199800,-0.189473676232687,2.138889,0,2.138889,2.388889,101,-1.12499859375176,0.352836353672339
"1984-09-28",1984-09-28,-0.0649351135098642,72000,-0.242105295069251,2,0,2,2.138889,102,-1.277778,0.12417619534613
"1984-10-01",1984-10-01,-0.027778,30600,-0.263158094182817,1.944444,0,1.944444,2,103,-1.08695720226831,0.0327114734749178
"1984-10-02",1984-10-02,-0.0285711493876913,479700,-0.284210514349031,1.888889,0,1.888889,1.944444,104,-1.07999913600069,-0.0587516020444725
"1984-10-03",1984-10-03,0,3000,-0.284210514349031,1.888889,0,1.888889,1.888889,104,-1,-0.0587516020444725
"1984-10-04",1984-10-04,-0.0147059991349413,7200,-0.294736913905814,1.861111,0,0,1.888889,106,-1.03703733333333,-0.104483962980079
"1984-10-05",1984-10-05,0,33300,-0.294736913905814,1.861111,0,1.861111,1.861111,106,-1,-0.104483962980079
"1984-10-08",1984-10-08,0,4500,-0.294736913905814,1.861111,0,0,1.861111,0,-1,-0.104483962980079
"1984-10-09",1984-10-09,0,495000,-0.294736913905814,1.861111,0,0,1.861111,0,-1,-0.104483962980079
