"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1994-11-01",1994-11-01,-0.0075187969924812,2176400,-0.00751879699248126,8.25,0,0,0,0,1,0.686297407608008
"1994-11-02",1994-11-02,-0.00757575757575758,2348200,-0.0150375939849624,8.1875,0,8.1875,8.25,2,-1.99999999999999,0.650871019140056
"1994-11-03",1994-11-03,0,2060800,-0.0150375939849624,8.1875,0,8.1875,8.1875,2,-1,0.650871019140056
"1994-11-04",1994-11-04,-0.00763358778625954,2663800,-0.0225563909774437,8.125,0,0,8.1875,4,-1.5,0.615444630672104
"1994-11-07",1994-11-07,-0.00769230769230769,1049400,-0.0300751879699248,8.0625,0,8.0625,8.125,5,-1.33333333333333,0.580018242204153
"1994-11-08",1994-11-08,-0.0232558139534884,5761000,-0.0526315789473685,7.875,0,7.875,8.0625,6,-1.75,0.473739076800297
"1994-11-09",1994-11-09,0.0158730158730159,2480000,-0.0375939849624062,8,0.015625,7.875,8,6,-0.714285714285717,0.618212317271162
"1994-11-10",1994-11-10,0.0078125,1956000,-0.0300751879699249,8.0625,0.0232558139534884,0,8.0625,0,1.48837209302326,0.689592885605026
"1994-11-11",1994-11-11,-0.00775193798449612,1300200,-0.0375939849624062,8,0.015625,7.875,8.0625,9,-1.25,0.618212317271162
"1994-11-14",1994-11-14,-0.0078125,1419200,-0.0451127819548873,7.9375,0.00787401574803148,7.875,8.0625,0,-1.2,0.546265541380356
"1994-11-15",1994-11-15,-0.0078740157480315,3118800,-0.0526315789473686,7.875,0,7.875,8,11,-1.16666666666667,0.473739076800297
"1994-11-16",1994-11-16,0,813400,-0.0526315789473686,7.875,0,7.875,7.875,11,-1,0.473739076800297
"1994-11-17",1994-11-17,-0.00793650793650794,1477600,-0.0601503759398497,7.8125,0,0,7.875,13,-1.14285714285714,0.438312688332346
"1994-11-18",1994-11-18,-0.008,2452600,-0.0676691729323309,7.75,0,7.75,7.8125,14,-1.125,0.402886299864394
"1994-11-21",1994-11-21,-0.0241935483870968,3276000,-0.0902255639097745,7.5625,0,7.5625,7.75,15,-1.33333333333333,0.296607134460539
"1994-11-22",1994-11-22,-0.0165289256198347,2725000,-0.105263157894737,7.4375,0,7.4375,7.5625,16,-1.16666666666667,0.225754357524636
"1994-11-23",1994-11-23,0.00840336134453781,2634200,-0.0977443609022557,7.5,0.0083333333333333,7.4375,7.5,16,-0.928571428571429,0.300444993211234
"1994-11-25",1994-11-25,0,640800,-0.0977443609022557,7.5,0.0083333333333333,0,7.5,0,-1,0.300444993211234
"1994-11-28",1994-11-28,0.00833333333333333,1583400,-0.0902255639097745,7.5625,0.0165289256198347,0,7.5625,0,1.98347107438017,0.374486633076036
"1994-11-29",1994-11-29,-0.00826446280991736,1056400,-0.0977443609022557,7.5,0.0083333333333333,7.4375,7.5625,20,-1.08333333333333,0.300444993211234
"1994-11-30",1994-11-30,0,1086800,-0.0977443609022557,7.5,0.0083333333333333,7.4375,7.5625,0,-1,0.300444993211234
"1994-12-01",1994-12-01,-0.00833333333333333,979000,-0.105263157894737,7.4375,0,7.4375,7.5,22,-1.07692307692308,0.225754357524636
"1994-12-02",1994-12-02,0.00840336134453781,1257200,-0.0977443609022557,7.5,0.0083333333333333,7.4375,7.5,22,-0.928571428571429,0.300444993211234
"1994-12-05",1994-12-05,-0.00833333333333333,1071200,-0.105263157894737,7.4375,0,0,7.5,24,-1.07692307692308,0.225754357524636
"1994-12-06",1994-12-06,0,1819200,-0.105263157894737,7.4375,0,7.4375,7.4375,24,-1,0.225754357524636
"1994-12-07",1994-12-07,-0.00840336134453781,1223400,-0.112781954887218,7.375,0,0,7.4375,26,-1.07142857142857,0.190327969056684
"1994-12-08",1994-12-08,0,1178400,-0.112781954887218,7.375,0,7.375,7.375,26,-1,0.190327969056684
"1994-12-09",1994-12-09,0,1682000,-0.112781954887218,7.375,0,0,7.375,0,-1,0.190327969056684
"1994-12-12",1994-12-12,0,1011400,-0.112781954887218,7.375,0,0,7.375,0,-1,0.190327969056684
"1994-12-13",1994-12-13,0.00847457627118644,1555200,-0.105263157894737,7.4375,0.00840336134453779,0,7.4375,0,-0.933333333333333,0.265348556400582
"1994-12-14",1994-12-14,0.00840336134453781,1351600,-0.0977443609022557,7.5,0.0166666666666667,0,7.5,0,1.98333333333335,0.339709240429881
"1994-12-15",1994-12-15,0,2600400,-0.0977443609022557,7.5,0.0166666666666667,0,7.5,0,-1,0.339709240429881
"1994-12-16",1994-12-16,0,3428800,-0.0977443609022557,7.5,0.0166666666666667,0,7.5,0,-1,0.339709240429881
"1994-12-19",1994-12-19,0.00833333333333333,3590000,-0.0902255639097745,7.5625,0.0247933884297521,0,7.5625,0,1.48760330578512,0.413426382383785
"1994-12-20",1994-12-20,0.00826446280991736,1464200,-0.0827067669172933,7.625,0.0327868852459017,0,7.625,0,1.3224043715847,0.486515807067428
"1994-12-21",1994-12-21,0,3717600,-0.0827067669172933,7.625,0.0327868852459017,0,7.625,0,-1,0.486515807067428
"1994-12-22",1994-12-22,0.0163934426229508,1467200,-0.0676691729323309,7.75,0.0483870967741935,0,7.75,0,1.4758064516129,0.630872251456534
"1994-12-23",1994-12-23,-0.0161290322580645,1012000,-0.0827067669172933,7.625,0.0327868852459017,7.375,7.75,38,-1.22222222222222,0.486515807067428
"1994-12-27",1994-12-27,0.0163934426229508,3242800,-0.0676691729323309,7.75,0.0161290322580645,7.625,7.75,38,-0.818181818181818,0.478881617061774
"1994-12-28",1994-12-28,0,1814400,-0.0676691729323309,7.75,0.0161290322580645,0,7.75,0,-1,0.478881617061774
"1994-12-29",1994-12-29,0.00806451612903226,1436200,-0.0601503759398497,7.8125,0.024,0,7.8125,0,1.488,0.551393720322047
"1994-12-30",1994-12-30,0,1365600,-0.0601503759398497,7.8125,0.024,0,7.8125,0,-1,0.551393720322047
"1995-01-03",1995-01-03,-0.008,1064200,-0.0676691729323309,7.75,0.0161290322580645,7.625,7.8125,43,-1.125,0.478881617061774
"1995-01-04",1995-01-04,-0.00806451612903226,1751600,-0.0751879699248121,7.6875,0.00813008130081305,7.625,7.8125,0,-1.11111111111111,0.40576649404878
"1995-01-05",1995-01-05,0.00813008130081301,1600200,-0.067669172932331,7.75,0.0161290322580645,7.625,7.8125,0,1.98387096774192,0.478881617061774
"1995-01-06",1995-01-06,-0.00806451612903226,2230600,-0.0751879699248121,7.6875,0.00813008130081305,7.625,7.8125,0,-1.11111111111111,0.40576649404878
"1995-01-09",1995-01-09,0,2108800,-0.0751879699248121,7.6875,0.00813008130081305,7.625,7.8125,0,-1,0.40576649404878
"1995-01-10",1995-01-10,0,1580600,-0.0751879699248121,7.6875,0.00813008130081305,7.625,7.8125,0,-1,0.40576649404878
"1995-01-11",1995-01-11,-0.00813008130081301,3488600,-0.0827067669172934,7.625,0,7.625,7.75,49,-1.1,0.33203352292849
"1995-01-12",1995-01-12,-0.0163934426229508,1875600,-0.0977443609022558,7.5,0,7.5,7.625,50,-1.18181818181818,0.261180745992587
"1995-01-13",1995-01-13,0.00833333333333333,2206600,-0.0902255639097747,7.5625,0.00826446280991733,7.5,7.5625,50,-0.923076923076924,0.335546883768287
"1995-01-16",1995-01-16,0.00826446280991736,3502000,-0.0827067669172935,7.625,0.0163934426229508,0,7.625,0,1.98360655737706,0.409274664997958
"1995-01-17",1995-01-17,0,1322800,-0.0827067669172935,7.625,0.0163934426229508,0,7.625,0,-1,0.409274664997958
"1995-01-18",1995-01-18,-0.00819672131147541,2150400,-0.0902255639097747,7.5625,0.00826446280991733,7.5,7.625,54,-1.09090909090909,0.335546883768287
"1995-01-19",1995-01-19,-0.00826446280991736,3214600,-0.0977443609022558,7.5,0,7.5,7.5625,55,-1.08333333333333,0.261180745992587
"1995-01-20",1995-01-20,0,2263800,-0.0977443609022558,7.5,0,7.5,7.5,55,-1,0.261180745992587
"1995-01-23",1995-01-23,0.00833333333333333,4176200,-0.0902255639097747,7.5625,0.00826446280991733,0,7.5625,0,-0.923076923076924,0.335546883768287
"1995-01-24",1995-01-24,0,1362800,-0.0902255639097747,7.5625,0.00826446280991733,0,7.5625,0,-1,0.335546883768287
"1995-01-25",1995-01-25,0.00826446280991736,2840000,-0.0827067669172935,7.625,0.0163934426229508,0,7.625,0,1.98360655737706,0.409274664997958
"1995-01-26",1995-01-26,-0.0737704918032787,14524000,-0.150375939849624,7.0625,0,0,7.625,60,-1.81818181818181,0.0131960267169251
"1995-01-27",1995-01-27,-0.0176991150442478,7288800,-0.165413533834587,6.9375,0,6.9375,7.0625,61,-1.1,-0.0576567502189782
"1995-01-30",1995-01-30,0.00900900900900901,3881000,-0.157894736842106,7,0.0089285714285714,6.9375,7,61,-0.954545454545455,0.0198384745546656
"1995-01-31",1995-01-31,0.00892857142857143,2975200,-0.150375939849624,7.0625,0.0176991150442478,0,7.0625,0,1.98230088495576,0.0965891181547578
"1995-02-01",1995-02-01,-0.0176991150442478,2668000,-0.165413533834587,6.9375,0,0,7.0625,64,-1.1,-0.0576567502189788
"1995-02-02",1995-02-02,0,1846800,-0.165413533834587,6.9375,0,6.9375,6.9375,64,-1,-0.0576567502189788
"1995-02-03",1995-02-03,0.018018018018018,3790800,-0.150375939849624,7.0625,0.0176991150442478,0,7.0625,0,-0.909090909090909,0.0965891181547578
"1995-02-06",1995-02-06,0,2963200,-0.150375939849624,7.0625,0.0176991150442478,0,7.0625,0,-1,0.0965891181547578
"1995-02-07",1995-02-07,0.0176991150442478,2994800,-0.135338345864662,7.1875,0.0347826086956522,0,7.1875,0,1.96521739130435,0.247934357261091
"1995-02-08",1995-02-08,0,3764800,-0.135338345864662,7.1875,0.0347826086956522,0,7.1875,0,-1,0.247934357261091
"1995-02-09",1995-02-09,0.00869565217391304,1978400,-0.127819548872181,7.25,0.0431034482758621,0,7.25,0,1.23922413793103,0.32256612601033
"1995-02-10",1995-02-10,-0.00862068965517241,1724200,-0.135338345864662,7.1875,0.0347826086956522,6.9375,7.25,71,-1.05882352941176,0.247934357261091
"1995-02-13",1995-02-13,-0.00869565217391304,1560000,-0.142857142857143,7.125,0.0263157894736842,6.9375,7.25,0,-1.05555555555555,0.172614774822707
"1995-02-14",1995-02-14,0,1967200,-0.142857142857143,7.125,0.0263157894736842,6.9375,7.25,0,-1,0.172614774822707
"1995-02-15",1995-02-15,0.0087719298245614,1822800,-0.135338345864662,7.1875,0.0347826086956522,6.9375,7.25,0,1.32173913043478,0.247934357261092
"1995-02-16",1995-02-16,0,1477000,-0.135338345864662,7.1875,0.0347826086956522,6.9375,7.25,0,-1,0.247934357261092
"1995-02-17",1995-02-17,0.00869565217391304,3836600,-0.127819548872181,7.25,0.0172413793103449,7.125,7.25,71,-0.944444444444445,0.2007115656766
"1995-02-21",1995-02-21,-0.00862068965517241,2169400,-0.135338345864662,7.1875,0.00869565217391299,7.125,7.25,77,-1.05882352941176,0.125020192054893
"1995-02-22",1995-02-22,0,1879800,-0.135338345864662,7.1875,0.00869565217391299,7.125,7.25,0,-1,0.125020192054893
"1995-02-23",1995-02-23,0,1599600,-0.135338345864662,7.1875,0.00869565217391299,7.125,7.25,0,-1,0.125020192054893
"1995-02-24",1995-02-24,0.00869565217391304,1129800,-0.127819548872181,7.25,0.00862068965517238,7.1875,7.25,77,-0.944444444444444,0.16009337889869
"1995-02-27",1995-02-27,0,910000,-0.127819548872181,7.25,0.00862068965517238,0,7.25,0,-1,0.16009337889869
"1995-02-28",1995-02-28,0.00862068965517241,2920200,-0.1203007518797,7.3125,0.0170940170940171,0,7.3125,0,1.982905982906,0.235443626165442
"1995-03-01",1995-03-01,0.0170940170940171,8590400,-0.105263157894737,7.4375,0.0336134453781513,0,7.4375,0,1.96638655462184,0.384131153028418
"1995-03-02",1995-03-02,0.00840336134453781,2482800,-0.0977443609022561,7.5,0.0416666666666666,0,7.5,0,1.23958333333333,0.457501982085817
"1995-03-03",1995-03-03,0,3257600,-0.0977443609022561,7.5,0.0416666666666666,0,7.5,0,-1,0.457501982085817
"1995-03-06",1995-03-06,-0.00833333333333333,1734000,-0.105263157894737,7.4375,0.0336134453781513,7.1875,7.5,86,-1.07692307692308,0.384131153028418
"1995-03-07",1995-03-07,0,1985600,-0.105263157894737,7.4375,0.0336134453781513,7.1875,7.5,0,-1,0.384131153028418
"1995-03-08",1995-03-08,0,882400,-0.105263157894737,7.4375,0.0336134453781513,7.1875,7.5,0,-1,0.384131153028418
"1995-03-09",1995-03-09,0,817000,-0.105263157894737,7.4375,0.0336134453781513,7.1875,7.5,0,-1,0.384131153028418
"1995-03-10",1995-03-10,0.00840336134453781,3922600,-0.0977443609022561,7.5,0.0083333333333333,7.4375,7.5,86,-0.928571428571429,0.300444993211232
"1995-03-13",1995-03-13,0.00833333333333333,2940000,-0.0902255639097749,7.5625,0.0165289256198347,0,7.5625,0,1.98347107438017,0.374486633076034
"1995-03-14",1995-03-14,0.00826446280991736,4782600,-0.0827067669172937,7.625,0.0245901639344263,0,7.625,0,1.48770491803279,0.447895236032691
"1995-03-15",1995-03-15,-0.00819672131147541,1994000,-0.090225563909775,7.5625,0.0165289256198347,7.4375,7.625,93,-1.09090909090909,0.374486633076034
"1995-03-16",1995-03-16,0,1515600,-0.090225563909775,7.5625,0.0165289256198347,7.4375,7.625,0,-1,0.374486633076034
"1995-03-17",1995-03-17,-0.00826446280991736,3842200,-0.0977443609022561,7.5,0.0083333333333333,7.4375,7.625,0,-1.08333333333333,0.300444993211232
"1995-03-20",1995-03-20,0.00833333333333333,979000,-0.090225563909775,7.5625,0.0165289256198347,7.4375,7.625,0,1.98347107438017,0.374486633076034
"1995-03-21",1995-03-21,-0.00826446280991736,1926400,-0.0977443609022561,7.5,0.0083333333333333,7.4375,7.625,0,-1.08333333333333,0.300444993211232
"1995-03-22",1995-03-22,0,1438200,-0.0977443609022561,7.5,0.0083333333333333,7.4375,7.625,0,-1,0.300444993211232
"1995-03-23",1995-03-23,0.00833333333333333,3240000,-0.090225563909775,7.5625,0.0165289256198347,7.4375,7.625,0,1.98347107438017,0.374486633076034
"1995-03-24",1995-03-24,-0.00826446280991736,2071400,-0.0977443609022561,7.5,0.0083333333333333,7.4375,7.625,0,-1.08333333333333,0.300444993211232
"1995-03-27",1995-03-27,-0.00833333333333333,1257800,-0.105263157894737,7.4375,0,7.4375,7.5625,101,-1.07692307692308,0.225754357524634
"1995-03-28",1995-03-28,0,1196600,-0.105263157894737,7.4375,0,7.4375,7.4375,101,-1,0.225754357524634
"1995-03-29",1995-03-29,0,2455400,-0.105263157894737,7.4375,0,0,7.4375,0,-1,0.225754357524634
"1995-03-30",1995-03-30,0.00840336134453781,1952400,-0.0977443609022561,7.5,0.0083333333333333,0,7.5,0,-0.928571428571429,0.300444993211232
"1995-03-31",1995-03-31,-0.00833333333333333,1996000,-0.105263157894737,7.4375,0,0,7.5,105,-1.07692307692308,0.225754357524634
"1995-04-03",1995-04-03,0,1124800,-0.105263157894737,7.4375,0,7.4375,7.4375,105,-1,0.225754357524634
"1995-04-04",1995-04-04,0.0252100840336134,2177800,-0.0827067669172937,7.625,0.0245901639344263,0,7.625,0,-0.785714285714287,0.447895236032691
"1995-04-05",1995-04-05,-0.0163934426229508,2121400,-0.0977443609022561,7.5,0.0083333333333333,7.4375,7.625,108,-1.18181818181818,0.300444993211232
"1995-04-06",1995-04-06,0,1588200,-0.0977443609022561,7.5,0.0083333333333333,7.4375,7.625,0,-1,0.300444993211232
"1995-04-07",1995-04-07,0.0166666666666667,1843200,-0.0827067669172938,7.625,0.0163934426229508,7.5,7.625,108,1.96721311475411,0.409274664997957
"1995-04-10",1995-04-10,-0.00819672131147541,793000,-0.0902255639097751,7.5625,0.00826446280991733,7.5,7.625,111,-1.09090909090909,0.335546883768285
"1995-04-11",1995-04-11,-0.00826446280991736,2031400,-0.0977443609022562,7.5,0,7.5,7.5625,112,-1.08333333333333,0.261180745992585
"1995-04-12",1995-04-12,0,1231800,-0.0977443609022562,7.5,0,7.5,7.5,112,-1,0.261180745992585
"1995-04-13",1995-04-13,-0.00833333333333333,1084600,-0.105263157894737,7.4375,0,0,7.5,114,-1.07692307692308,0.225754357524633
"1995-04-17",1995-04-17,0,1362200,-0.105263157894737,7.4375,0,7.4375,7.4375,114,-1,0.225754357524633
"1995-04-18",1995-04-18,-0.00840336134453781,1723400,-0.112781954887219,7.375,0,0,7.4375,116,-1.07142857142857,0.190327969056682
"1995-04-19",1995-04-19,-0.0254237288135593,3671000,-0.135338345864662,7.1875,0,7.1875,7.375,117,-1.2,0.0840488036528268
"1995-04-20",1995-04-20,0,3837400,-0.135338345864662,7.1875,0,7.1875,7.1875,117,-1,0.0840488036528268
"1995-04-21",1995-04-21,0.0173913043478261,3236400,-0.1203007518797,7.3125,0.0170940170940171,0,7.3125,0,-0.88888888888889,0.235443626165441
"1995-04-24",1995-04-24,0.0170940170940171,1803800,-0.105263157894738,7.4375,0.0336134453781513,0,7.4375,0,1.96638655462184,0.384131153028417
"1995-04-25",1995-04-25,-0.00840336134453781,1702400,-0.112781954887219,7.375,0.0254237288135594,7.1875,7.4375,121,-1.07142857142857,0.310117197859331
"1995-04-26",1995-04-26,0.00847457627118644,3831000,-0.105263157894738,7.4375,0.00840336134453779,7.375,7.4375,121,-0.933333333333333,0.265348556400579
"1995-04-27",1995-04-27,-0.00840336134453781,2932200,-0.112781954887219,7.375,0,0,7.4375,123,-1.07142857142857,0.190327969056681
"1995-04-28",1995-04-28,0,2072800,-0.112781954887219,7.375,0,7.375,7.375,123,-1,0.190327969056681
"1995-05-01",1995-05-01,0,2258200,-0.112781954887219,7.375,0,0,7.375,0,-1,0.190327969056681
"1995-05-02",1995-05-02,0,2088400,-0.112781954887219,7.375,0,0,7.375,0,-1,0.190327969056681
"1995-05-03",1995-05-03,0.00847457627118644,1419200,-0.105263157894738,7.4375,0.00840336134453779,0,7.4375,0,-0.933333333333333,0.265348556400579
"1995-05-04",1995-05-04,0.00840336134453781,2292000,-0.0977443609022564,7.5,0.0166666666666667,0,7.5,0,1.98333333333335,0.339709240429877
"1995-05-05",1995-05-05,0,1889800,-0.0977443609022564,7.5,0.0166666666666667,0,7.5,0,-1,0.339709240429877
"1995-05-08",1995-05-08,0.0166666666666667,2458200,-0.0827067669172941,7.625,0.0327868852459017,0,7.625,0,1.96721311475409,0.486515807067424
"1995-05-09",1995-05-09,0,1856000,-0.0827067669172941,7.625,0.0327868852459017,0,7.625,0,-1,0.486515807067424
"1995-05-10",1995-05-10,0.00819672131147541,1803000,-0.0751879699248129,7.6875,0.040650406504065,0,7.6875,0,1.23983739837398,0.558992824658128
"1995-05-11",1995-05-11,0.016260162601626,2626400,-0.0601503759398504,7.8125,0.056,0,7.8125,0,1.3776,0.702168429641647
