"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1986-03-14",1986-03-14,0.0357120816276152,308160000,0,0.100694,0,0,0,0,1,1.02175273815041
"1986-03-17",1986-03-17,0.0172502830357319,133171200,0,0.102431,0.0169577569290545,0.100694,0.102431,1,0,1.09342515422445
"1986-03-18",1986-03-18,-0.0254317540588298,67766400,-0.0254317540588298,0.099826,0,0,0.102431,3,0,0.914264745132061
"1986-03-19",1986-03-19,-0.0173902590507483,47894400,-0.0423797483183801,0.09809,0,0.09809,0.099826,4,-1.66641074856046,0.842633591243443
"1986-03-20",1986-03-20,-0.0265470486288102,58435200,-0.0678017397077055,0.095486,0,0.095486,0.09809,5,-1.59986178299931,0.735186860410515
"1986-03-21",1986-03-21,-0.0272710135517248,59990400,-0.093223731097031,0.092882,0,0.092882,0.095486,6,-1.37494600431965,0.627740129577587
"1986-03-24",1986-03-24,-0.0280355720161066,65289600,-0.118645722486357,0.090278,0,0.090278,0.092882,7,-1.27269871190701,0.520293398744659
"1986-03-25",1986-03-25,0.0192294911274065,32083200,-0.101697728226806,0.092014,0.0188666941987089,0.090278,0.092014,7,-0.857154612029952,0.671665143456034
"1986-03-26",1986-03-26,0.0283000412980633,22752000,-0.0762757368374809,0.094618,0.0458686507852628,0,0.094618,0,2.4311970238221,0.893236370552306
"1986-03-27",1986-03-27,0.0183474603141052,16848000,-0.0593277425779305,0.096354,0.0630591361022894,0,0.096354,0,1.37477634555908,1.03752357331055
"1986-03-31",1986-03-31,-0.00900844801461272,12873600,-0.0678017397077056,0.095486,0.0545420271034498,0.090278,0.096354,11,-1.14283363501728,0.965710205946984
"1986-04-01",1986-04-01,-0.00909033785057503,11088000,-0.0762757368374809,0.094618,0.0458686507852628,0.090278,0.096354,0,-1.12498200143989,0.893236370552306
"1986-04-02",1986-04-02,0.00917373015705265,27014400,-0.0678017397077055,0.095486,0.0545420271034498,0.090278,0.096354,0,1.18909159457931,0.965710205946985
"1986-04-03",1986-04-03,0.00909033785057489,23040000,-0.0593277425779305,0.096354,0.0180168960292256,0.094618,0.096354,11,-0.875017998560117,0.847151333342174
