"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"2002-05-24",2002-05-24,0.0113429213099983,11104800,0,1.21,0,0,0,0,1,0.855868242553703
"2002-05-28",2002-05-28,-0.0436834710743801,6609400,-0.0436834710743801,1.157143,0,1.157143,1.21,2,0,0.666433154402085
"2002-05-29",2002-05-29,-0.0462967844078044,6757800,-0.0879578512396694,1.103571,0,1.103571,1.157143,3,-2.01352706358666,0.474435565767495
"2002-05-30",2002-05-30,-0.0291254482040577,10154200,-0.114521487603306,1.071429,0,1.071429,1.103571,4,-1.30200415300341,0.359241313286852
"2002-05-31",2002-05-31,0.00466666480000085,8464400,-0.110389256198347,1.076429,0.00464498819708514,1.071429,1.076429,4,-0.963917414177569,0.397304070850421
"2002-06-03",2002-06-03,0.048439794914481,3151400,-0.0672966942148761,1.128571,0.0506321711261409,0,1.128571,0,10.9003874666278,0.783601883615696
"2002-06-04",2002-06-04,-0.0094934213266156,3105200,-0.0761512396694214,1.117857,0.0415330404515069,1.071429,1.128571,7,-1.13157474609783,0.705745061881321
"2002-06-05",2002-06-05,0.0261983420061778,1531600,-0.0519479338842975,1.147143,0.0255295111420284,1.117857,1.147143,7,-0.682167934623358,0.741303714645947
"2002-06-06",2002-06-06,0.0305105815055315,2305800,-0.0230223140495869,1.182143,0.0543808997727008,0,1.182143,0,2.13011911862172,0.991855981271933
"2002-06-07",2002-06-07,-0.0537769119302825,1369200,-0.0755611570247935,1.118571,0.000638314420809971,1.117857,1.182143,10,-3.28208349786408,0.530962392716612
"2002-06-10",2002-06-10,0.0338449682675485,484400,-0.0442735537190083,1.156429,0.0333544039452486,1.117857,1.182143,0,52.2538781168761,0.808516920667882
"2002-06-11",2002-06-11,-0.00247140118416265,1003800,-0.0466355371900826,1.153571,0.0309595161459501,1.117857,1.182143,0,-1.05334976013141,0.787888561559362
"2002-06-12",2002-06-12,-0.0526313508227928,1799000,-0.0968123966942148,1.092857,0,1.092857,1.156429,13,-2.07593613213064,0.436037481607281
"2002-06-13",2002-06-13,-0.00915032799350694,2567600,-0.105076859504132,1.082857,0,1.082857,1.092857,14,-1.08536574955396,0.400198314013278
"2002-06-14",2002-06-14,-0.0890496159696063,4783800,-0.184769421487603,0.986429,0,0.986429,1.082857,15,-1.75842161975099,0.0546083887378315
"2002-06-17",2002-06-17,-0.0651704278767149,4855200,-0.237898347107438,0.922143,0,0.922143,0.986429,16,-1.28754176525578,-0.175787284056972
"2002-06-18",2002-06-18,-0.0123939562519046,10808000,-0.247343801652892,0.910714,0,0.910714,0.922143,17,-1.03970374178846,-0.216747868700158
"2002-06-19",2002-06-19,0.0447066806922919,5482400,-0.213695041322314,0.951429,0.0427935242671812,0.910714,0.951429,17,-0.863959557079181,0.114747101024915
"2002-06-20",2002-06-20,0.00600570300043408,6111000,-0.208972727272727,0.957143,0.0485079032077755,0,0.957143,0,1.13353373059243,0.160006230118387
"2002-06-21",2002-06-21,0.0231344741590337,2346400,-0.190672727272727,0.979286,0.070022444924159,0,0.979286,0,1.44352652441458,0.332663554141863
"2002-06-24",2002-06-24,-0.000730123784063104,2567600,-0.191263636363636,0.978571,0.0693429500772044,0.910714,0.979286,21,-1.00309907504529,0.327154397565281
"2002-06-25",2002-06-25,-0.0145978166121825,3941000,-0.203069421487603,0.964286,0.0555561316870721,0.910714,0.979286,0,-1.06172519433606,0.216171067177733
"2002-06-26",2002-06-26,0.025184436982389,2924600,-0.182999173553719,0.988571,0.0245657620949836,0.964286,0.988571,21,-0.901165582750677,0.168815530676845
"2002-06-27",2002-06-27,-0.0455202509480856,3817800,-0.220189256198347,0.943571,0,0,0.988571,24,-1.2032254131121,-0.0989911157365434
"2002-06-28",2002-06-28,0.0590469609600125,9234400,-0.174143801652892,0.999286,0.0557548089335785,0.943571,0.999286,24,-0.790882373915752,0.342469725440036
"2002-07-01",2002-07-01,0.0285914142697886,4585000,-0.150531404958677,1.027857,0.082001679221915,0,1.027857,0,1.47075527278023,0.558686395125751
"2002-07-02",2002-07-02,0.141070207236999,9020200,-0.0306966942148755,1.172857,0.195493568269619,0,1.172857,0,2.38401908503079,1.5705163599278
"2002-07-03",2002-07-03,0.0353231468115891,4957400,0,1.214286,0.222941712249009,0,1.214286,0,1.14040433259438,1.82266373462102
"2002-07-05",2002-07-05,0.0511765761937468,2003400,0,1.276429,0.26077282794421,0,1.276429,0,1.16969061246352,1.9867198537969
"2002-07-08",2002-07-08,-0.0789037228079275,1953000,-0.0789037228079275,1.175714,0.197448529149096,0.943571,1.276429,30,0,1.36994245155873
"2002-07-09",2002-07-09,-0.0127582048015078,2935800,-0.0906552577542503,1.160714,0.187077092203592,0.943571,1.276429,0,-1.14893511393536,1.27400531498439
"2002-07-10",2002-07-10,0.0024614159905023,1554000,-0.0884169820648074,1.163571,0.189073120591696,0.943571,1.276429,0,1.01066954999456,1.29236754093537
"2002-07-11",2002-07-11,0.0908539315606869,2529800,-0.00559608094143904,1.269286,0.256612772850248,0.943571,1.276429,0,1.35721445780971,1.94441198666934
"2002-07-12",2002-07-12,-0.0483965000795723,2837800,-0.0537217502892836,1.207857,0.218805702992987,0.943571,1.276429,0,-9.59988800223983,1.57176128776514
"2002-07-15",2002-07-15,-0.0538143174233373,4239200,-0.104645068390016,1.142857,0.174375271796909,0.943571,1.276429,0,-1.94790876742694,1.15825600855159
"2002-07-16",2002-07-16,-0.0143745017968128,1941800,-0.117515349463229,1.126429,0.16233424388044,0.943571,1.276429,0,-1.12298984817177,1.05022713862966
"2002-07-17",2002-07-17,-0.0329741155456757,1261400,-0.146614500297314,1.089286,0.133771112453479,0.943571,1.276429,0,-1.24762,0.800172386695095
"2002-07-18",2002-07-18,0.0550819527653895,2899400,-0.0996083605120223,1.149286,0.178993740461469,0.943571,1.276429,0,1.33805974383085,1.20012606087284
"2002-07-19",2002-07-19,0.00932230967748662,1792000,-0.0912146308176954,1.16,0.186576724137931,0.943571,1.276429,0,1.04236451876424,1.26940970595258
"2002-07-22",2002-07-22,0.00923620689655182,1993600,-0.0828209011233684,1.170714,0.194020913732987,0.943571,1.276429,0,1.03989881175935,1.33809146504663
"2002-07-23",2002-07-23,-0.0207437512492377,1577800,-0.101846636201465,1.146429,0.176947722013313,0.943571,1.276429,0,-1.22972142080121,1.18154705106289
"2002-07-24",2002-07-24,-0.0280374973068544,3355800,-0.127028608720109,1.114286,0.153205729947249,0.943571,1.276429,0,-1.24725384615385,0.969386356963049
"2002-07-25",2002-07-25,-0.0698716487508593,4755800,-0.188024559141167,1.036429,0.0895941738411411,0.943571,1.276429,0,-1.48017490733488,0.429021010465412
"2002-07-26",2002-07-26,-0.159200485513238,7046200,-0.317291443550718,0.871429,0,0.871429,1.269286,44,-1.6875,-0.520078565254714
"2002-07-29",2002-07-29,0.00573770209621209,3260600,-0.313374265235277,0.876429,0.00570496868542691,0.871429,0.876429,44,-0.987654320987654,-0.478351746838347
"2002-07-30",2002-07-30,0.0431945999048412,3777200,-0.283715741337748,0.914286,0.0468748291016159,0,0.914286,0,8.21649191893998,-0.171201676202703
"2002-07-31",2002-07-31,0.0429679553225139,3333400,-0.252938471313328,0.953571,0.0861414619362375,0,0.953571,0,1.83769122122022,0.132546459791185
"2002-08-01",2002-08-01,-0.0651676697382784,4529000,-0.301622730288955,0.891429,0.0224358866494135,0.871429,0.953571,48,-1.19247471024413,-0.354836471034103
"2002-08-02",2002-08-02,-0.127404425927359,6655600,-0.390599085417207,0.777857,0,0.777857,0.891429,49,-1.29499220779221,-0.837980033650391
"2002-08-05",2002-08-05,-0.00367291160200397,3808000,-0.39283736110665,0.775,0,0.775,0.777857,50,-1.00573036592508,-0.84768640409461
"2002-08-06",2002-08-06,-0.0184335483870968,3217200,-0.404029522989528,0.760714,0,0.760714,0.775,51,-1.02849057393968,-0.896221653715229
"2002-08-07",2002-08-07,0.04319231669195,2758000,-0.378288177407439,0.793571,0.0414039827564263,0.760714,0.793571,51,-0.936288453894108,-0.605043299982347
"2002-08-08",2002-08-08,0.00360144208898766,2283400,-0.376049118282333,0.796429,0.0448439220570823,0,0.796429,0,1.0830823285985,-0.580416100244365
"2002-08-09",2002-08-09,-0.011659545295312,1500800,-0.38332410184977,0.787143,0.0335758559753437,0.760714,0.796429,54,-1.01934583333333,-0.660828763398131
"2002-08-12",2002-08-12,-0.0381125157690534,2130800,-0.406827171742416,0.757143,0,0.757143,0.787143,55,-1.06131383280944,-0.908353767420622
"2002-08-13",2002-08-13,0.0207543357067291,1677200,-0.394516263732648,0.772857,0.0203323512629116,0.757143,0.772857,55,-0.969739218850499,-0.76679499139417
"2002-08-14",2002-08-14,0.078557870343414,4047400,-0.346950750883911,0.833571,0.0916874507390492,0,0.833571,0,4.509436688038,-0.251091084979571
"2002-08-15",2002-08-15,0.0591263371686396,3263400,-0.308338340792947,0.882857,0.142394521423062,0,0.882857,0,1.55304264951514,0.136246351769775
"2002-08-16",2002-08-16,0.0339805880227489,1828400,-0.284835270900301,0.912857,0.170578743439553,0,0.912857,0,1.19793052243038,0.360390323352389
"2002-08-19",2002-08-19,0.0759001683724833,2074800,-0.230554147547572,0.982143,0.2290908757686,0,0.982143,0,1.34302124138804,0.84952270700852
"2002-08-20",2002-08-20,-0.0363633401653324,2539600,-0.258533768819104,0.946429,0.200000211320659,0.757143,0.982143,61,-1.12135813460375,0.602035171329448
"2002-08-21",2002-08-21,0.0233953101606143,2779000,-0.241186936367005,0.968571,0.218288592163094,0.757143,0.982143,0,1.09144180759446,0.756568673492257
