"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1980-11-19",1980-11-19,0.00884955752212389,8000,0,14.25,0,0,0,0,1,1.04288053336
"1980-11-20",1980-11-20,-0.0087719298245614,16600,-0.00877192982456143,14.125,0,14.125,14.25,2,0,0.993912963690353
"1980-11-21",1980-11-21,0.0353982300884956,18700,0,14.625,0.0341880341880342,14.125,14.625,2,0,1.2337284972007
"1980-11-24",1980-11-24,-0.0341880341880342,40900,-0.0341880341880343,14.125,0,0,14.625,4,0,0.85203256951931
"1980-11-25",1980-11-25,-0.0442477876106195,25800,-0.076923076923077,13.5,0,13.5,14.125,5,-2.25,0.613472614718443
"1980-11-26",1980-11-26,0.0462962962962963,75000,-0.0341880341880343,14.125,0.0442477876106194,13.5,14.125,5,-0.444444444444445,1.09903712449012
"1980-11-28",1980-11-28,0.0176991150442478,19300,-0.0170940170940171,14.375,0.0608695652173913,0,14.375,0,1.37565217391304,1.28724890445168
"1980-12-01",1980-12-01,-0.0260869565217391,26200,-0.0427350427350427,14,0.0357142857142857,13.5,14.375,8,-2.49999999999999,1.00368854078558
"1980-12-02",1980-12-02,-0.0714285714285714,20000,-0.111111111111111,13,0,13,14,9,-2.6,0.42262465087775
"1980-12-03",1980-12-03,0.00961538461538462,10500,-0.102564102564103,13.125,0.00952380952380949,13,13.125,9,-0.923076923076924,0.523501431764973
"1980-12-04",1980-12-04,-0.0285714285714286,13700,-0.128205128205128,12.75,0,0,13.125,11,-1.25,0.327200668957402
"1980-12-05",1980-12-05,0,11000,-0.128205128205128,12.75,0,12.75,12.75,11,-1,0.327200668957402
"1980-12-08",1980-12-08,-0.0784313725490196,8700,-0.196581196581196,11.75,0,0,12.75,13,-1.53333333333333,-0.0544952587239851
"1980-12-09",1980-12-09,0,38700,-0.196581196581196,11.75,0,11.75,11.75,13,-1,-0.0544952587239851
"1980-12-10",1980-12-10,0.0851063829787234,10800,-0.128205128205128,12.75,0.0784313725490197,0,12.75,0,-0.652173913043479,0.765028350709583
"1980-12-11",1980-12-11,-0.0196078431372549,10800,-0.145299145299145,12.5,0.0600000000000001,11.75,12.75,16,-1.13333333333333,0.566714863577473
"1980-12-12",1980-12-12,0.02,4500,-0.128205128205128,12.75,0.0196078431372549,12.5,12.75,16,-0.88235294117647,0.436657589395447
"1980-12-15",1980-12-15,-0.0588235294117647,8000,-0.179487179487179,12,0,0,12.75,18,-1.4,0.0409287231963616
"1980-12-16",1980-12-16,0,7500,-0.179487179487179,12,0,12,12,18,-1,0.0409287231963616
"1980-12-17",1980-12-17,0,7000,-0.179487179487179,12,0,0,12,0,-1,0.0409287231963616
"1980-12-18",1980-12-18,-0.0208333333333333,10600,-0.196581196581197,11.75,0,0,12,21,-1.0952380952381,-0.0544952587239857
"1980-12-19",1980-12-19,0.0212765957446809,18700,-0.17948717948718,12,0.0208333333333334,11.75,12,21,-0.91304347826087,0.157226701161784
"1980-12-22",1980-12-22,0.0208333333333333,16800,-0.162393162393162,12.25,0.0408163265306123,0,12.25,0,1.95918367346939,0.364201804804067
"1980-12-23",1980-12-23,0,8600,-0.162393162393162,12.25,0.0408163265306123,0,12.25,0,-1,0.364201804804067
"1980-12-24",1980-12-24,0,9200,-0.162393162393162,12.25,0.0408163265306123,0,12.25,0,-1,0.364201804804067
"1980-12-26",1980-12-26,0.0204081632653061,3900,-0.145299145299145,12.5,0.0600000000000001,0,12.5,0,1.47,0.566714863577472
"1980-12-29",1980-12-29,0,4400,-0.145299145299145,12.5,0.0600000000000001,0,12.5,0,-1,0.566714863577472
"1980-12-30",1980-12-30,0,13400,-0.145299145299145,12.5,0.0600000000000001,0,12.5,0,-1,0.566714863577472
"1980-12-31",1980-12-31,-0.02,7800,-0.162393162393162,12.25,0.0408163265306123,11.75,12.5,29,-1.11764705882353,0.364201804804067
"1981-01-02",1981-01-02,0.0408163265306122,8000,-0.128205128205128,12.75,0.0392156862745098,12.25,12.75,29,-0.789473684210527,0.546114509833492
"1981-01-05",1981-01-05,0.0196078431372549,9400,-0.111111111111111,13,0.0576923076923077,0,13,0,1.47115384615385,0.744680589858919
"1981-01-06",1981-01-06,0,10200,-0.111111111111111,13,0.0576923076923077,0,13,0,-1,0.744680589858919
"1981-01-07",1981-01-07,-0.0576923076923077,17100,-0.162393162393162,12.25,0,0,13,33,-1.46153846153846,0.136352705116708
"1981-01-08",1981-01-08,0.0204081632653061,7800,-0.145299145299145,12.5,0.02,12.25,12.5,33,-0.894736842105264,0.34342274588386
"1981-01-09",1981-01-09,0.04,5600,-0.111111111111111,13,0.0576923076923077,0,13,0,2.88461538461538,0.744680589858919
"1981-01-12",1981-01-12,0,11400,-0.111111111111111,13,0.0576923076923077,0,13,0,-1,0.744680589858919
"1981-01-13",1981-01-13,0.0384615384615385,5000,-0.0769230769230771,13.5,0.0925925925925926,0,13.5,0,1.60493827160494,1.13035251678699
"1981-01-14",1981-01-14,0.0185185185185185,7100,-0.0598290598290598,13.75,0.109090909090909,0,13.75,0,1.17818181818182,1.31787509943955
"1981-01-15",1981-01-15,0,3300,-0.0598290598290598,13.75,0.109090909090909,0,13.75,0,-1,1.31787509943955
"1981-01-16",1981-01-16,0,6800,-0.0598290598290598,13.75,0.109090909090909,0,13.75,0,-1,1.31787509943955
"1981-01-19",1981-01-19,0,7600,-0.0598290598290598,13.75,0.109090909090909,0,13.75,0,-1,1.31787509943955
"1981-01-20",1981-01-20,-0.0181818181818182,6800,-0.076923076923077,13.5,0.0925925925925926,12.25,13.75,42,-1.28571428571429,1.13035251678699
"1981-01-21",1981-01-21,0.0185185185185185,2600,-0.0598290598290597,13.75,0.0181818181818182,13.5,13.75,42,-0.777777777777776,0.810393013772251
"1981-01-22",1981-01-22,-0.0181818181818182,7700,-0.0769230769230769,13.5,0,0,13.75,44,-1.28571428571429,0.613472614718443
"1981-01-23",1981-01-23,0.0185185185185185,7900,-0.0598290598290597,13.75,0.0181818181818182,13.5,13.75,44,-0.777777777777777,0.810393013772251
