"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1991-12-16",1991-12-16,-0.0138880000000001,22585600,-0.0138880000000001,0.554688,0,0,0,0,1,1.46415292476977
"1991-12-17",1991-12-17,0,16176000,-0.0138880000000001,0.554688,0,0.554688,0.554688,1,-1,1.46415292476977
"1991-12-18",1991-12-18,0.0281689886927426,10899200,0,0.570313,0.0273972362544778,0,0.570313,0,0,1.6470474594214
"1991-12-19",1991-12-19,-0.0410967310932768,7299200,-0.0410967310932767,0.546875,0,0,0.570313,4,0,1.34361762781536
"1991-12-20",1991-12-20,0.0285714285714286,5235200,-0.0136994948387991,0.5625,0.0277777777777778,0.546875,0.5625,4,-0.333347555252156,1.58804419361302
"1991-12-23",1991-12-23,-0.00694399999999994,7894400,-0.0205483655466384,0.558594,0.0209794591420603,0.546875,0.5625,6,-1.49993600409574,1.52758683474246
"1991-12-24",1991-12-24,0.0769234900482281,7129600,0,0.601563,0.0714289276434886,0.558594,0.601563,6,3.40470777439088,1.84210885272139
"1991-12-26",1991-12-26,0.142856192950697,8672000,0,0.6875,0.187499636363636,0,0.6875,0,2.62498181828337,2.35630472960109
"1991-12-27",1991-12-27,-0.0340901818181819,6396800,-0.0340901818181818,0.664063,0.158823786297384,0.558594,0.6875,9,0,2.07824978224232
"1991-12-30",1991-12-30,0.0235293940484562,6627200,-0.0113629090909092,0.679688,0.178161156295241,0.558594,0.6875,0,1.12175361416992,2.26459710526788
"1991-12-31",1991-12-31,0.137930933016325,12572800,0,0.773438,0.141414049994958,0.664063,0.773438,9,0,2.15214453487451
"1992-01-02",1992-01-02,0.116160571370944,22121600,0,0.863281,0.230768428819817,0,0.863281,0,1.63186351588152,2.54798646329477
"1992-01-03",1992-01-03,0.0135749541574528,6092800,0,0.875,0.241070857142857,0,0.875,0,1.04464401120954,2.59362645484792
"1992-01-06",1992-01-06,-0.0624994285714286,15987200,-0.0624994285714287,0.820313,0.190476074376488,0.664063,0.875,14,0,2.0926165290012
"1992-01-07",1992-01-07,-0.0285720206799112,4940800,-0.0892857142857143,0.796875,0.166666039215686,0.664063,0.875,0,-1.42858448991533,1.86847367792256
"1992-01-08",1992-01-08,-0.117647058823529,36828800,-0.196428571428571,0.703125,0.0555548444444445,0.664063,0.875,0,-2.2,0.901603268979861
"1992-01-09",1992-01-09,0.100000711111111,20809600,-0.116070857142857,0.773438,0.141414049994958,0.664063,0.875,0,2.54548548212341,1.63794800047883
"1992-01-10",1992-01-10,-0.0303036571774337,7961600,-0.142857142857143,0.75,0.114582666666667,0.664063,0.875,0,-1.23077528997066,1.40042050836998
"1992-01-13",1992-01-13,0.0833333333333333,8499200,-0.0714285714285715,0.8125,0.182691692307692,0.664063,0.875,0,1.59440950034059,2.0185752338303
"1992-01-14",1992-01-14,0.00961599999999995,3628800,-0.0624994285714289,0.820313,0.190476074376488,0.664063,0.875,0,1.04260939274505,2.0926165290012
"1992-01-15",1992-01-15,0.00952319419538645,5910400,-0.0535714285714288,0.828125,0.198112603773585,0.664063,0.875,0,1.04009180377165,2.16599777059399
"1992-01-16",1992-01-16,-0.028301283018868,3654400,-0.0803565714285719,0.804688,0.174757172966417,0.664063,0.875,0,-1.49998933333333,1.94387389001415
"1992-01-17",1992-01-17,-0.0194174636629352,1574400,-0.0982137142857147,0.789063,0.158415741201907,0.664063,0.875,0,-1.22222380248037,1.79237342741239
"1992-01-20",1992-01-20,-0.00990161748808392,3350400,-0.107142857142858,0.78125,0.14999936,0.664063,0.875,0,-1.09091543805346,1.71553236172212
"1992-01-21",1992-01-21,-0.04,3724800,-0.142857142857143,0.75,0.114582666666667,0.664063,0.875,0,-1.33333333333333,1.40042050836998
"1992-01-22",1992-01-22,0.0416666666666667,5132800,-0.107142857142857,0.78125,0.14999936,0.664063,0.875,0,1.30909294017711,1.71553236172212
"1992-01-23",1992-01-23,-0.06,3248000,-0.160714285714286,0.734375,0.0957440000000001,0.664063,0.875,0,-1.5,1.23785723841184
"1992-01-24",1992-01-24,0.0106389787234042,355200,-0.151785142857143,0.742188,0.105263086980657,0.664063,0.875,0,1.0994222821342,1.31958331575662
"1992-01-27",1992-01-27,-0.0210526173961314,2675200,-0.169642285714286,0.726563,0.0860214461787897,0.664063,0.875,0,-1.11764750173177,1.15523486122354
"1992-01-28",1992-01-28,-0.0322587304886155,3673600,-0.196428571428572,0.703125,0.0555548444444445,0.664063,0.875,0,-1.15789863713225,0.90160326897986
"1992-01-29",1992-01-29,0.0222222222222222,1702400,-0.178571428571429,0.71875,0.0760862608695653,0.664063,0.875,0,1.36957022615107,1.07166545882902
"1992-01-30",1992-01-30,0.0326093913043478,2505600,-0.151785142857143,0.742188,0.105263086980657,0.664063,0.875,0,1.38347036347482,1.31958331575662
"1992-01-31",1992-01-31,0.0105256350143091,1702400,-0.142857142857143,0.75,0.114582666666667,0.664063,0.875,0,1.0885360666624,1.40042050836998
"1992-02-03",1992-02-03,0.0260413333333333,2611200,-0.120536,0.769531,0.137054907469615,0.664063,0.875,0,1.19612251535672,1.5988562157373
"1992-02-04",1992-02-04,0.0152287562164488,4233600,-0.107142857142858,0.78125,0.14999936,0.664063,0.875,0,1.09444720199644,1.71553236172212
"1992-02-05",1992-02-05,-0.00999936000000005,3280000,-0.116070857142857,0.773438,0.141414049994958,0.664063,0.875,0,-1.083328,1.63794800047883
"1992-02-06",1992-02-06,-0.0202020071421368,7232000,-0.133928,0.757813,0.123711258582262,0.664063,0.875,0,-1.15384691124633,1.48041668370407
"1992-02-07",1992-02-07,-0.0309284744389446,8979200,-0.160714285714286,0.734375,0.0957440000000001,0.664063,0.875,0,-1.20000512002184,1.23785723841184
"1992-02-10",1992-02-10,-0.0425531914893617,4940800,-0.196428571428572,0.703125,0.0555548444444445,0.664063,0.875,0,-1.22222222222222,0.90160326897986
"1992-02-11",1992-02-11,0.0111118222222222,1667200,-0.187499428571429,0.710938,0.0659340195628874,0.664063,0.875,0,1.18682754352453,0.987139556317141
"1992-02-12",1992-02-12,0.0549443130061975,3603200,-0.142857142857143,0.75,0.114582666666667,0.664063,0.875,0,1.73783833332622,1.40042050836998
"1992-02-13",1992-02-13,-0.0520826666666667,1398400,-0.187499428571429,0.710938,0.0659340195628874,0.664063,0.875,0,-1.312496,0.987139556317141
"1992-02-14",1992-02-14,0.0219780065209624,2825600,-0.169642285714286,0.726563,0.0860214461787897,0.664063,0.875,0,1.3046595179404,1.15523486122354
"1992-02-18",1992-02-18,-0.0215053615446974,1078400,-0.187499428571429,0.710938,0.0659340195628874,0.664063,0.875,0,-1.10526351246657,0.987139556317141
"1992-02-19",1992-02-19,-0.0329677130776523,1408000,-0.214285714285714,0.6875,0.0340901818181819,0.664063,0.875,0,-1.14286062586095,0.727406777255303
"1992-02-20",1992-02-20,0.056818909090909,5705600,-0.169642285714286,0.726563,0.0860214461787897,0.664063,0.875,0,2.52334958603566,1.15523486122354
"1992-02-21",1992-02-21,-0.0967748151227078,3836800,-0.25,0.65625,0,0.65625,0.828125,47,-1.47368917453196,0.418171400055029
"1992-02-24",1992-02-24,-0.0654765714285715,12384000,-0.299107428571429,0.613281,0,0.613281,0.65625,48,-1.19642971428571,0.200624375710807
"1992-02-25",1992-02-25,0.0191086956876212,3513600,-0.285714285714286,0.625,0.0187504000000001,0.613281,0.625,48,-0.955222968145224,0.343021000903292
"1992-02-26",1992-02-26,0.0375007999999999,3200000,-0.258928,0.648438,0.0542179822897486,0,0.648438,0,2.8915640354205,0.618807050634986
"1992-02-27",1992-02-27,-0.0240963669618375,1209600,-0.276785142857143,0.632813,0.0308653583286057,0.613281,0.648438,51,-1.06896566944148,0.436246847300427
"1992-02-28",1992-02-28,0.0123448791349104,3011200,-0.267857142857143,0.640625,0.0426833170731707,0.613281,0.648438,0,1.38288746298507,0.528151915909008
"1992-03-02",1992-03-02,0,1257600,-0.267857142857143,0.640625,0.0426833170731707,0.613281,0.648438,0,-1,0.528151915909008
"1992-03-03",1992-03-03,-0.0365845853658537,4022400,-0.294642285714286,0.617188,0.00633032398556033,0.613281,0.648438,0,-1.09999786666667,0.248448539108424
"1992-03-04",1992-03-04,-0.0126590277192686,5580800,-0.303571428571429,0.609375,0,0.609375,0.640625,55,-1.03030502847036,0.180848754283999
"1992-03-05",1992-03-05,-0.0256410256410256,1920000,-0.321428571428572,0.59375,0,0.59375,0.609375,56,-1.05882352941176,0.101741205693655
"1992-03-06",1992-03-06,-0.0263157894736842,6329600,-0.339285714285714,0.578125,0,0.578125,0.59375,57,-1.05555555555556,0.0226336571033116
"1992-03-09",1992-03-09,0,2809600,-0.339285714285714,0.578125,0,0.578125,0.578125,57,-1,0.0226336571033116
"1992-03-10",1992-03-10,0.0675684324324324,1900800,-0.294642285714286,0.617188,0.0632918980926395,0,0.617188,0,-0.868419368421053,0.500789606630084
"1992-03-11",1992-03-11,-0.0632918980926395,5577600,-0.339285714285714,0.578125,0,0,0.617188,60,-1.15151738476099,0.0226336571033116
"1992-03-12",1992-03-12,0.0405414054054053,1644800,-0.312499428571429,0.601563,0.0389618377460049,0.578125,0.601563,60,-0.921050947368421,0.313899337899407
"1992-03-13",1992-03-13,0,4976000,-0.312499428571429,0.601563,0.0389618377460049,0,0.601563,0,-1,0.313899337899407
"1992-03-16",1992-03-16,-0.0389618377460049,739200,-0.339285714285714,0.578125,0,0,0.601563,63,-1.08571627102404,0.0226336571033116
"1992-03-17",1992-03-17,0.0135143783783783,1865600,-0.330356571428572,0.585938,0.0133341752881704,0.578125,0.585938,63,-0.97368252631579,0.121260662333219
"1992-03-18",1992-03-18,0.0866661660448718,3753600,-0.272321142857143,0.636719,0.0920248963828628,0,0.636719,0,6.90143142669679,0.726960611917082
"1992-03-19",1992-03-19,0.0674850287175346,6108800,-0.223213714285715,0.679688,0.149425913065995,0,0.679688,0,1.62375529817843,1.19879544437948
"1992-03-20",1992-03-20,0.0229884888360542,5392000,-0.205356571428572,0.695313,0.168539923746572,0,0.695313,0,1.12791630506641,1.36257849457535
"1992-03-23",1992-03-23,-0.0337085600297995,5219200,-0.232142857142857,0.671875,0.13953488372093,0.578125,0.695313,68,-1.1304379281751,1.11542165390945
"1992-03-24",1992-03-24,0,5760000,-0.232142857142857,0.671875,0.13953488372093,0.578125,0.695313,0,-1,1.11542165390945
"1992-03-25",1992-03-25,0.0232558139534884,3718400,-0.214285714285715,0.6875,0.159090909090909,0.578125,0.695313,0,1.14015151515151,1.28116283922241
"1992-03-26",1992-03-26,0.0113643636363636,2089600,-0.205356571428572,0.695313,0.0337085600297995,0.671875,0.695313,68,-0.958330666666666,0.765272489798644
"1992-03-27",1992-03-27,-0.0337085600297995,1456000,-0.232142857142857,0.671875,0,0,0.695313,72,-1.13043792817511,0.497278948645372
"1992-03-30",1992-03-30,0,2339200,-0.232142857142857,0.671875,0,0.671875,0.671875,72,-1,0.497278948645372
"1992-03-31",1992-03-31,0.0697674418604651,5353600,-0.178571428571429,0.71875,0.0652173913043478,0,0.71875,0,-0.769230769230769,1.02351611970287
"1992-04-01",1992-04-01,-0.0489126956521739,3868800,-0.218749714285715,0.683594,0.0171432165876237,0.671875,0.71875,75,-1.2249984,0.63255571480412
"1992-04-02",1992-04-02,-0.0514281869062632,2947200,-0.258928,0.648438,0,0.648438,0.683594,76,-1.18367240316395,0.378620157201412
"1992-04-03",1992-04-03,0,3414400,-0.258928,0.648438,0,0.648438,0.648438,76,-1,0.378620157201412
"1992-04-06",1992-04-06,0.018071118595764,2742400,-0.245536,0.660156,0.0177503499172923,0,0.660156,0,-0.948279058271025,0.516581474922194
"1992-04-07",1992-04-07,0.00591829809923714,2579200,-0.241070857142857,0.664063,0.0235293940484562,0,0.664063,0,1.32557353280873,0.561963456039173
"1992-04-08",1992-04-08,0,3123200,-0.241070857142857,0.664063,0.0235293940484562,0,0.664063,0,-1,0.561963456039173
"1992-04-09",1992-04-09,-0.0117654499648376,4313600,-0.25,0.65625,0.011904,0.648438,0.664063,81,-1.03703949520473,0.470906390526518
"1992-04-10",1992-04-10,0.0238095238095238,592000,-0.232142857142857,0.671875,0.0232558139534884,0.65625,0.671875,81,1.95361340335084,0.600302732856052
"1992-04-13",1992-04-13,0.0232558139534884,2115200,-0.214285714285715,0.6875,0.0454545454545454,0,0.6875,0,1.95454545454545,0.777751166374772
"1992-04-14",1992-04-14,0.0227272727272727,1955200,-0.196428571428572,0.703125,0.0666666666666667,0,0.703125,0,1.46666666666667,0.950828893896675
"1992-04-15",1992-04-15,0.0333340444444444,6112000,-0.169642285714286,0.726563,0.0967748151227078,0,0.726563,0,1.45162222684062,1.20287252997303
"1992-04-16",1992-04-16,-0.0161293652443077,2646400,-0.183035428571429,0.714844,0.0819675341752887,0.65625,0.726563,86,-1.07894931856612,1.07794401177532
"1992-04-20",1992-04-20,0.00546412923658863,3318400,-0.178571428571429,0.71875,0.0869565217391305,0.65625,0.726563,0,1.0608654098728,1.11982096146503
"1992-04-21",1992-04-21,0.0108702608695652,1952000,-0.169642285714286,0.726563,0.0161293652443076,0.714844,0.726563,86,-0.9499968,0.845611354661675
"1992-04-22",1992-04-22,0.0322573541454768,2198400,-0.142857142857143,0.75,0.0468746666666666,0,0.75,0,2.90616933503999,1.1004725299725
"1992-04-23",1992-04-23,-0.0312493333333334,1555200,-0.169642285714286,0.726563,0.0161293652443076,0.714844,0.75,90,-1.187496,0.845611354661675
"1992-04-24",1992-04-24,-0.0215053615446974,2112000,-0.187499428571429,0.710938,0,0.710938,0.726563,91,-1.10526351246657,0.695050351562786
"1992-04-27",1992-04-27,-0.0109897065566898,1984000,-0.196428571428572,0.703125,0,0.703125,0.710938,92,-1.04762224037254,0.65549404582606
"1992-04-28",1992-04-28,-0.0555548444444445,1923200,-0.241070857142857,0.664063,0,0.664063,0.703125,93,-1.22726981818182,0.457727705791755
"1992-04-29",1992-04-29,0.0235293940484562,563200,-0.223213714285715,0.679688,0.0229884888360542,0.664063,0.679688,93,-0.92592575034252,0.638674782248635
"1992-04-30",1992-04-30,-0.034483468885724,3433600,-0.25,0.65625,0,0,0.679688,95,-1.12000286720734,0.418171400055029
"1992-05-01",1992-05-01,0.0119055238095237,1120000,-0.241070857142857,0.664063,0.0117654499648376,0.65625,0.664063,95,-0.964283428571429,0.509848916459472
"1992-05-04",1992-05-04,0,3014400,-0.241070857142857,0.664063,0.0117654499648376,0,0.664063,0,-1,0.509848916459472
"1992-05-05",1992-05-05,0.0117639440836186,300800,-0.232142857142857,0.671875,0.0232558139534884,0,0.671875,0,1.97661917079168,0.600302732856053
"1992-05-06",1992-05-06,0,1779200,-0.232142857142857,0.671875,0.0232558139534884,0,0.671875,0,-1,0.600302732856053
"1992-05-07",1992-05-07,-0.0116271627906977,412800,-0.241070857142857,0.664063,0.0117654499648376,0.65625,0.671875,100,-1.03845907692308,0.509848916459472
"1992-05-08",1992-05-08,0,179200,-0.241070857142857,0.664063,0.0117654499648376,0.65625,0.671875,0,-1,0.509848916459472
"1992-05-11",1992-05-11,0,1318400,-0.241070857142857,0.664063,0.0117654499648376,0.65625,0.671875,0,-1,0.509848916459472
"1992-05-12",1992-05-12,-0.0588242380617501,1654400,-0.285714285714286,0.625,0,0.625,0.664063,103,-1.18518799451969,0.259956302874342
"1992-05-13",1992-05-13,-0.0374992000000001,3331200,-0.312499428571429,0.601563,0,0.601563,0.625,104,-1.093748,0.141297511430382
"1992-05-14",1992-05-14,0,6102400,-0.312499428571429,0.601563,0,0.601563,0.601563,104,-1,0.141297511430382
"1992-05-15",1992-05-15,-0.0259740043852431,1612800,-0.330356571428572,0.585938,0,0,0.601563,106,-1.05714296163284,0.0621899628400378
"1992-05-18",1992-05-18,-0.00666794097669036,2275200,-0.334821714285715,0.582031,0,0.582031,0.585938,107,-1.01351613148736,0.0424092785301197
"1992-05-19",1992-05-19,-0.00671098274834152,1500800,-0.339285714285714,0.578125,0,0.578125,0.582031,108,-1.01333246862296,0.0226336571033116
"1992-05-20",1992-05-20,-0.0405396756756757,7673600,-0.366070857142857,0.554688,0,0.554688,0.578125,109,-1.07894568421053,-0.0960251343406487
"1992-05-21",1992-05-21,0.0140835929387332,4457600,-0.357142857142857,0.5625,0.0138880000000001,0.554688,0.5625,109,-0.975611279002972,0.00505026406303963
"1992-05-22",1992-05-22,0.0138897777777777,1846400,-0.348213714285714,0.570313,0.0273972362544778,0,0.570313,0,1.97272726486733,0.104452793351259
