"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1993-04-29",1993-04-29,0.0205479452054795,2118800,0,9.3125,0,0,0,0,1,1.15114292627959
"1993-04-30",1993-04-30,-0.0134228187919463,536800,-0.0134228187919464,9.1875,0,9.1875,9.3125,2,0,1.09097842624764
"1993-05-03",1993-05-03,0,509600,-0.0134228187919464,9.1875,0,9.1875,9.1875,2,-1,1.09097842624764
"1993-05-04",1993-05-04,-0.0136054421768707,787400,-0.0268456375838926,9.0625,0,0,9.1875,4,-1.99999999999998,1.03081392621569
"1993-05-05",1993-05-05,-0.0206896551724138,747200,-0.0469798657718121,8.875,0,8.875,9.0625,5,-1.75,0.940567176167771
"1993-05-06",1993-05-06,-0.00704225352112676,392800,-0.0536912751677853,8.8125,0,8.8125,8.875,6,-1.14285714285714,0.910484926151797
"1993-05-07",1993-05-07,0.00709219858156028,180000,-0.0469798657718121,8.875,0.00704225352112675,8.8125,8.875,6,-0.875,0.972132354001433
"1993-05-10",1993-05-10,0,269600,-0.0469798657718121,8.875,0.00704225352112675,0,8.875,0,-1,0.972132354001433
"1993-05-11",1993-05-11,0.00704225352112676,109400,-0.0402684563758391,8.9375,0.013986013986014,0,8.9375,0,1.98601398601398,1.03333831083242
"1993-05-12",1993-05-12,-0.013986013986014,110800,-0.0536912751677854,8.8125,0,0,8.9375,10,-1.33333333333333,0.910484926151796
"1993-05-13",1993-05-13,-0.00709219858156028,171000,-0.0604026845637585,8.75,0,8.75,8.8125,11,-1.125,0.880402676135823
"1993-05-14",1993-05-14,0,166800,-0.0604026845637585,8.75,0,8.75,8.75,11,-1,0.880402676135823
"1993-05-17",1993-05-17,-0.0142857142857143,132000,-0.0738255033557048,8.625,0,0,8.75,13,-1.22222222222222,0.820238176103875
"1993-05-18",1993-05-18,-0.0434782608695652,534400,-0.114093959731544,8.25,0,8.25,8.625,14,-1.54545454545454,0.639744676008033
"1993-05-19",1993-05-19,0.0227272727272727,203600,-0.0939597315436242,8.4375,0.0222222222222223,8.25,8.4375,14,-0.823529411764706,0.829597098331067
"1993-05-20",1993-05-20,-0.037037037037037,1189000,-0.12751677852349,8.125,0,0,8.4375,16,-1.35714285714286,0.579580175976086
"1993-05-21",1993-05-21,0.00769230769230769,475600,-0.120805369127517,8.1875,0.00763358778625955,8.125,8.1875,16,-0.947368421052633,0.643878114941525
"1993-05-24",1993-05-24,-0.00763358778625954,719200,-0.12751677852349,8.125,0,0,8.1875,18,-1.05555555555556,0.579580175976085
"1993-05-25",1993-05-25,-0.0230769230769231,326600,-0.147651006711409,7.9375,0,7.9375,8.125,19,-1.15789473684211,0.489333425928164
"1993-05-26",1993-05-26,0.0393700787401575,209200,-0.114093959731544,8.25,0.0378787878787878,7.9375,8.25,19,-0.772727272727274,0.809527071931521
"1993-05-27",1993-05-27,0.0303030303030303,307800,-0.0872483221476511,8.5,0.0661764705882353,0,8.5,0,1.74705882352941,1.05669350895002
"1993-05-28",1993-05-28,0.0220588235294118,986400,-0.0671140939597318,8.6875,0.0863309352517986,0,8.6875,0,1.30455635491607,1.23727771409511
"1993-06-01",1993-06-01,-0.0215827338129496,116800,-0.0872483221476512,8.5,0.0661764705882353,7.9375,8.6875,23,-1.3,1.05669350895002
"1993-06-02",1993-06-02,0.0220588235294118,205200,-0.0671140939597318,8.6875,0.0215827338129496,8.5,8.6875,23,-0.76923076923077,0.947059748113663
"1993-06-03",1993-06-03,-0.0215827338129496,92000,-0.0872483221476512,8.5,0,0,8.6875,25,-1.3,0.760073676071927
"1993-06-04",1993-06-04,0.00735294117647059,118200,-0.0805369127516782,8.5625,0.00729927007299269,8.5,8.5625,25,-0.923076923076925,0.822873117711113
"1993-06-07",1993-06-07,0.0072992700729927,60000,-0.0738255033557049,8.625,0.0144927536231884,0,8.625,0,1.98550724637681,0.885198397152861
"1993-06-08",1993-06-08,-0.0072463768115942,298200,-0.0805369127516781,8.5625,0.00729927007299269,8.5,8.625,28,-1.09090909090909,0.822873117711113
"1993-06-09",1993-06-09,-0.0145985401459854,27400,-0.0939597315436244,8.4375,0,8.4375,8.5625,29,-1.16666666666667,0.729991426055953
"1993-06-10",1993-06-10,0.0148148148148148,153600,-0.0805369127516781,8.5625,0.0145985401459854,8.4375,8.5625,29,-0.857142857142858,0.855590309334326
"1993-06-11",1993-06-11,0.0291970802919708,84200,-0.0536912751677855,8.8125,0.0425531914893617,0,8.8125,0,2.91489361702128,1.10121919221052
"1993-06-14",1993-06-14,0.0141843971631206,434000,-0.0402684563758391,8.9375,0.0559440559440559,0,8.9375,0,1.31468531468532,1.22140496477843
"1993-06-15",1993-06-15,-0.00699300699300699,169600,-0.0469798657718122,8.875,0.0492957746478874,8.4375,8.9375,33,-1.16666666666667,1.16152342100341
"1993-06-16",1993-06-16,0.00704225352112676,288200,-0.0402684563758391,8.9375,0.00699300699300698,8.875,8.9375,33,-0.857142857142858,1.00199386850808
