"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1992-06-29",1992-06-29,0.0697658496508284,58732800,0,0.359375,0,0,0,0,1,0.743356981731254
"1992-06-30",1992-06-30,-0.0326093913043478,34777600,-0.0326093913043477,0.347656,0,0.347656,0.359375,2,0,0.551250206171732
"1992-07-01",1992-07-01,0.0224733644752283,18316800,-0.0108688695652176,0.355469,0.0219794131133797,0.347656,0.355469,2,-0.333304889495698,0.808810846718501
"1992-07-02",1992-07-02,0,13996800,-0.0108688695652176,0.355469,0.0219794131133797,0,0.355469,0,-1,0.808810846718501
"1992-07-06",1992-07-06,0,5753600,-0.0108688695652176,0.355469,0.0219794131133797,0,0.355469,0,-1,0.808810846718501
"1992-07-07",1992-07-07,0,10662400,-0.0108688695652176,0.355469,0.0219794131133797,0,0.355469,0,-1,0.808810846718501
"1992-07-08",1992-07-08,-0.0219794131133797,15500800,-0.0326093913043479,0.347656,0,0,0.355469,7,-3.000256016385,0.551250206171731
"1992-07-09",1992-07-09,0.0337086085095611,3923200,-2.22044604925031e-16,0.359375,0.0326093913043478,0.347656,0.359375,7,-6.80922262095169e-15,0.935463757290775
"1992-07-10",1992-07-10,0.0108688695652174,11040000,0,0.363281,0.04301078228699,0,0.363281,0,1.3189691854584,0.996739899012038
"1992-07-13",1992-07-13,0.0215067674885281,5996800,0,0.371094,0.0631591995559075,0,0.371094,0,1.46845037912766,1.11543722267669
"1992-07-14",1992-07-14,0,17062400,0,0.371094,0.0631591995559075,0,0.371094,0,0,1.11543722267669
"1992-07-15",1992-07-15,0.0315795997779539,4992000,0,0.382813,0.091838573925128,0,0.382813,0,1.45408071303744,1.28439168379234
"1992-07-16",1992-07-16,0.0663248113308586,17062400,0,0.408203,0.148325710492084,0,0.408203,0,1.61506983561185,1.61716580904936
"1992-07-17",1992-07-17,0.0526331261651679,15667200,0,0.429688,0.190910614213103,0,0.429688,0,1.28710399282593,1.86803981233893
"1992-07-20",1992-07-20,0.00909031669490413,19744000,0,0.433594,0.198199237074314,0,0.433594,0,1.03817819606968,1.91097817396207
"1992-07-21",1992-07-21,0.00900842723838434,7782400,0,0.4375,0.205357714285714,0,0.4375,0,1.0361175820708,1.95314982820007
"1992-07-22",1992-07-22,-0.00892800000000005,10892800,-0.00892800000000005,0.433594,0.198199237074314,0.347656,0.4375,17,0,1.85838199771984
"1992-07-23",1992-07-23,0.0180168544767687,10387200,0,0.441406,0.0176979923245267,0.433594,0.441406,17,0,0.847618487492286
"1992-07-24",1992-07-24,0.00885126165027207,7052800,0,0.445313,0.0263163213290428,0,0.445313,0,1.48696647882327,0.898390345829549
