"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1987-09-23",1987-09-23,0,23109300,0,0.36214,0,0,0,0,1,1.38288177264269
"1987-09-24",1987-09-24,0.0227260175622686,13159800,0,0.37037,0.0222210222210221,0.36214,0.37037,1,0,1.46415253031004
"1987-09-25",1987-09-25,0.00740880740880747,12757500,0,0.373114,0.0294119223615302,0,0.373114,0,1.32360798117133,1.49045239612704
"1987-09-28",1987-09-28,-0.0220602818441548,7698900,-0.0220602818441549,0.364883,0.00751747820534254,0.36214,0.373114,4,0,1.32969319029136
"1987-09-29",1987-09-29,-0.0225551752205502,17860500,-0.0441178835422955,0.356653,0,0.356653,0.364883,5,-1.99987850807922,1.22152583741618
"1987-09-30",1987-09-30,-0.0230784544080661,16738500,-0.0661781653864503,0.348422,0,0.348422,0.356653,6,-1.50003037482534,1.14084296864457
"1987-10-01",1987-10-01,0.0314962889829,10754100,-0.0367662430249202,0.359396,0.0305345635455041,0.348422,0.359396,6,-0.555564555321564,1.360090142816
"1987-10-02",1987-10-02,0,1548300,-0.0367662430249202,0.359396,0.0305345635455041,0,0.359396,0,-1,1.360090142816
"1987-10-05",1987-10-05,-0.0228995314360761,3835200,-0.0588238447230607,0.351166,0.00781396832267356,0.348422,0.359396,9,-1.599941682461,1.19631918959216
"1987-10-06",1987-10-06,0,2253000,-0.0588238447230607,0.351166,0.00781396832267356,0.348422,0.359396,0,-1,1.19631918959216
"1987-10-07",1987-10-07,-0.0156250889892528,3183300,-0.0735298059038257,0.345679,0,0.345679,0.351166,11,-1.25,1.11395521393184
"1987-10-08",1987-10-08,-0.0158731077097539,3993300,-0.0882357670845909,0.340192,0,0.340192,0.345679,12,-1.2,1.06016990218967
"1987-10-09",1987-10-09,-0.0241922208635124,1787400,-0.110293368782731,0.331962,0,0.331962,0.340192,13,-1.24998481258733,0.979496835734763
"1987-10-12",1987-10-12,-0.0413240069646524,5248800,-0.147059611807651,0.318244,0,0.318244,0.331962,14,-1.33334953343701,0.845028655220985
"1987-10-13",1987-10-13,-0.00861917271024764,2490600,-0.154411252325027,0.315501,0,0.315501,0.318244,15,-1.0499908875524,0.81814090050825
"1987-10-14",1987-10-14,-0.0521741610961614,6933600,-0.198529135867322,0.29904,0,0.29904,0.315501,16,-1.28571676531338,0.656784965281737
"1987-10-15",1987-10-15,0,5050200,-0.198529135867322,0.29904,0,0.29904,0.29904,16,-1,0.656784965281737
"1987-10-16",1987-10-16,-0.055046147672552,6250500,-0.242647019409617,0.282579,0,0,0.29904,18,-1.22222372222372,0.495429030055225
"1987-10-19",1987-10-19,-0.0485457164191253,12394200,-0.279413262434537,0.268861,0,0.268861,0.282579,19,-1.15152151101784,0.360960849541447
"1987-10-20",1987-10-20,-0.0306106129189433,10299000,-0.301470864132678,0.260631,0,0.260631,0.268861,20,-1.078942572396,0.280287783086541
"1987-10-21",1987-10-21,-0.0526299634348946,10290900,-0.338234427011584,0.246914,0,0.246914,0.260631,21,-1.12194731648338,0.145829404889464
"1987-10-22",1987-10-22,-0.133333873332415,5776500,-0.426470194096174,0.213992,0,0.213992,0.246914,22,-1.26087163232964,-0.176882465563562
"1987-10-23",1987-10-23,-0.0769234363901453,5177100,-0.47058807763847,0.197531,0,0.197531,0.213992,23,-1.10344892598132,-0.338238400790074
"1987-10-26",1987-10-26,-0.124998101563805,5649600,-0.536763562878906,0.17284,0,0.17284,0.197531,24,-1.14062295324718,-0.580267402471493
