"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1973-02-22",1973-02-22,-0.00925922222222218,36000,-0.0092592222222222,8.916667,0,0,0,0,1,1.14460397043903
"1973-02-23",1973-02-23,-0.0560747642588873,64800,-0.0648147777777778,8.416667,0,8.416667,8.916667,2,-7.00002400009602,0.805857533553156
"1973-02-26",1973-02-26,-0.00495053445740462,42600,-0.0694444444444444,8.375,0,8.375,8.416667,3,-1.07142918367382,0.777628437981709
"1973-02-27",1973-02-27,-0.0248755820895522,70200,-0.0925925555555556,8.166667,0,8.166667,8.375,4,-1.3333328,0.636484315110221
"1973-02-28",1973-02-28,0.0459183654727198,115800,-0.0509258888888888,8.541667,0.0439024373111244,8.166667,8.541667,4,-0.549999819999927,1.1582364385501
"1973-03-01",1973-03-01,0.00975605815586111,96600,-0.0416666666666666,8.625,0.0531400579710144,0,8.625,0,1.2104124787976,1.27101975170926
"1973-03-02",1973-03-02,0.0289855072463768,81000,-0.013888888888889,8.875,0.0798121690140845,0,8.875,0,1.50192100011668,1.60302445659335
"1973-03-05",1973-03-05,-0.00938963380281686,163800,-0.0231481111111111,8.791667,0.0710900446980077,8.166667,8.875,8,-1.666664,1.49338434932869
"1973-03-06",1973-03-06,-0.00947874845578213,278400,-0.0324074444444445,8.708333,0.0622008827636701,8.166667,8.875,0,-1.40000384000615,1.38272506340695
"1973-03-07",1973-03-07,0.0191387949909587,177000,-0.013888888888889,8.875,0.0187793802816901,8.708333,8.875,8,-0.428570938776071,1.23088094169983
"1973-03-08",1973-03-08,0.00469487323943666,85200,-0.0092592222222222,8.916667,0.0233645598742221,0,8.916667,0,1.24416032498168,1.28706787576142
"1973-03-09",1973-03-09,-0.00467293440475015,145800,-0.0138888888888888,8.875,0.0187793802816901,8.708333,8.916667,12,-1.500006000024,1.23088094169983
"1973-03-12",1973-03-12,-0.00469487323943666,39000,-0.0185185555555556,8.833333,0.0141509439302243,8.708333,8.916667,0,-1.33333600000001,1.17443025232497
"1973-03-13",1973-03-13,0,90600,-0.0185185555555556,8.833333,0.0141509439302243,8.708333,8.916667,0,-1,1.17443025232497
"1973-03-14",1973-03-14,0.00471701904592529,101400,-0.0138888888888887,8.875,0.0187793802816901,8.708333,8.916667,0,1.32707615649442,1.23088094169983
"1973-03-15",1973-03-15,0.00469487323943666,32400,-0.00925922222222197,8.916667,0.00934586880950028,8.833333,8.916667,12,-0.66666399999999,1.20158980609781
"1973-03-16",1973-03-16,0.00934575665997167,45600,0,9,0.0185185555555556,0,9,0,1.98146966676133,1.31397718888196
"1973-03-19",1973-03-19,-0.00925922222222218,31200,-0.0092592222222222,8.916667,0.00934586880950028,8.833333,9,18,0,1.20158980609781
"1973-03-20",1973-03-20,0,33000,-0.0092592222222222,8.916667,0.00934586880950028,8.833333,9,0,-1,1.20158980609781
"1973-03-21",1973-03-21,-0.00934586880950031,54600,-0.0185185555555556,8.833333,0,8.833333,8.916667,20,-2.00001200004801,1.08814577929613
"1973-03-22",1973-03-22,-0.0283018878604486,57000,-0.0462963333333334,8.583333,0,8.583333,8.833333,21,-2.499997000006,0.918772560853197
"1973-03-23",1973-03-23,0.00485440795551103,108600,-0.0416666666666666,8.625,0.00483095652173915,8.583333,8.625,21,-0.899999280000574,0.976458103977459
"1973-03-26",1973-03-26,-0.00966179710144924,100200,-0.0509258888888888,8.541667,0,0,8.625,23,-1.22222133333333,0.890544142774624
"1973-03-27",1973-03-27,0.00975605815586111,81600,-0.0416666666666666,8.625,0.00966179710144921,8.541667,8.625,23,-0.818182413223574,1.00591384458119
"1973-03-28",1973-03-28,0.0193237101449276,60600,-0.023148111111111,8.791667,0.0284360178792031,0,8.791667,0,2.94313962305604,1.23330415646201
"1973-03-29",1973-03-29,0.023696643651312,58200,0,9,0.0509258888888888,0,9,0,1.79089382716044,1.51157882540347
"1973-03-30",1973-03-30,0,44400,0,9,0.0509258888888888,0,9,0,0,1.51157882540347
"1973-04-02",1973-04-02,-0.0185185555555556,69000,-0.0185185555555557,8.833333,0.0330187936988223,8.541667,9,28,0,1.28947575617955
"1973-04-03",1973-04-03,0.0141509439302243,54600,-0.00462966666666675,8.958333,0.0465115552190345,8.541667,9,0,1.40863883893776,1.45643361339803
"1973-04-04",1973-04-04,0.00465120017306795,196800,-2.22044604925031e-16,9,0.0185185555555556,8.833333,9,28,-4.79612509737981e-14,1.31397718888196
"1973-04-05",1973-04-05,-0.00925922222222218,68400,-0.00925922222222231,8.916667,0.00934586880950028,8.833333,9,31,-41699829749741,1.2015898060978
"1973-04-06",1973-04-06,0.0186915133199433,43800,0,9.083333,0.0183485511320568,8.916667,9.083333,31,1.96327933828957,1.31294059781309
"1973-04-09",1973-04-09,0.00458719282888785,46800,0,9.125,0.0228310136986301,0,9.125,0,1.24429517809403,1.34027212582531
"1973-04-10",1973-04-10,0.0091323835616438,49800,0,9.208333,0.0316741368931813,0,9.208333,0,1.38732941564841,1.39419250234106
"1973-04-11",1973-04-11,0.0180995843655959,55200,0,9.375,0.0488888533333333,0,9.375,0,1.54349441306664,1.49915813175089
"1973-04-12",1973-04-12,-0.00444448000000004,136200,-0.00444448000000008,9.333333,0.0446427873086709,8.916667,9.375,36,0,1.44616808474285
"1973-04-13",1973-04-13,0.03571435841837,115200,0,9.666667,0.034482826397144,9.333333,9.666667,36,0,1.41131830645321
"1973-04-16",1973-04-16,0.0215516889120107,229200,0,9.875,0.0548523544303798,0,9.875,0,1.59071515190306,1.53552019721471
"1973-04-17",1973-04-17,-0.0295358987341772,108600,-0.0295358987341774,9.583333,0.0260869574291116,9.333333,9.875,39,0,1.1800317856829
"1973-04-18",1973-04-18,-0.00869561769376058,598800,-0.0379746835443039,9.5,0.0175438947368421,9.333333,9.875,0,-1.28571281632821,1.07648605968573
"1973-04-19",1973-04-19,0.00877189473684207,43800,-0.0295358987341774,9.583333,0.0260869574291116,9.333333,9.875,0,1.48695359955216,1.1800317856829
"1973-04-23",1973-04-23,-0.0130434787145558,52200,-0.0421941265822786,9.458333,0.0132158594965942,9.333333,9.875,0,-1.42857093877607,1.0243683590858
"1973-04-24",1973-04-24,-0.0572686540006573,118800,-0.0970463797468355,8.916667,0,8.916667,9.583333,43,-2.29999736000211,0.609327407754601
"1973-04-25",1973-04-25,-0.018691625469472,252600,-0.113924050632911,8.75,0,8.75,8.916667,44,-1.17391345179598,0.50641689199397
"1973-04-26",1973-04-26,-0.00952377142857139,105600,-0.122362835443038,8.666667,0,8.666667,8.75,45,-1.07407377777778,0.454961942844584
"1973-04-27",1973-04-27,-0.0480769596893477,123000,-0.164556962025317,8.25,0,8.25,8.666667,46,-1.34482795719392,0.197685962173935
"1973-04-30",1973-04-30,0.0202020606060606,102600,-0.147679291139241,8.416667,0.0198020190177418,8.25,8.416667,46,-0.897435692307692,0.42133801887188
"1973-05-01",1973-05-01,0.0346533847662025,81600,-0.118143493670886,8.708333,0.0526315426844609,0,8.708333,0,2.65788769505297,0.801606564627366
"1973-05-02",1973-05-02,0.0239235224468335,100800,-0.0970463797468356,8.916667,0.0747663897283593,0,8.916667,0,1.42056238359955,1.06521067390204
"1973-05-03",1973-05-03,0.0186915133199433,52800,-0.0801688101265823,9.083333,0.091743085935526,0,9.083333,0,1.2270632067276,1.2716348885057
"1973-05-04",1973-05-04,-0.00458708273714058,84600,-0.0843881518987342,9.041667,0.0875576373250641,8.25,9.083333,51,-1.0526307146818,1.2203872181978
"1973-05-07",1973-05-07,-0.0230415475376389,42000,-0.105485265822785,8.833333,0.0660377006051962,8.25,9.083333,0,-1.25000090000036,0.960532485185986
"1973-05-08",1973-05-08,0,46800,-0.105485265822785,8.833333,0.0660377006051962,8.25,9.083333,0,-1,0.960532485185986
"1973-05-09",1973-05-09,0.0188679629761496,148800,-0.0886075949367089,9,0.0833333333333334,8.25,9.083333,0,1.26190543537454,1.16890201223279
"1973-05-10",1973-05-10,0,64800,-0.0886075949367089,9,0.0833333333333334,8.25,9.083333,0,-1,1.16890201223279
"1973-05-11",1973-05-11,-0.0138888888888889,37200,-0.10126582278481,8.875,0.0704225352112676,8.25,9.083333,0,-1.14285714285714,1.01299651627614
"1973-05-14",1973-05-14,-0.0422535211267606,81000,-0.139240506329114,8.5,0.0294117647058824,8.25,9.083333,0,-1.375,0.531387776023533
"1973-05-15",1973-05-15,0.0294117647058824,71400,-0.113924050632911,8.75,0.0571428571428572,8.25,9.083333,0,1.94285714285714,0.854841798505152
"1973-05-16",1973-05-16,0,47400,-0.113924050632911,8.75,0.0571428571428572,8.25,9.083333,0,-1,0.854841798505152
"1973-05-17",1973-05-17,-0.0047619428571429,48600,-0.118143493670886,8.708333,0.0526315426844609,8.25,9.083333,0,-1.03703733333333,0.801606564627367
"1973-05-18",1973-05-18,0,60600,-0.118143493670886,8.708333,0.0526315426844609,8.25,9.083333,0,-1,0.801606564627367
"1973-05-21",1973-05-21,0,60000,-0.118143493670886,8.708333,0.0526315426844609,8.25,9.083333,0,-1,0.801606564627367
"1973-05-22",1973-05-22,-0.00478461262333438,131400,-0.122362835443038,8.666667,0.0480769596893478,8.25,9.083333,0,-1.0357137040818,0.748108121083885
"1973-05-23",1973-05-23,-0.00480773058431809,89400,-0.126582278481013,8.625,0.0434782608695652,8.25,9.083333,0,-1.03448304399532,0.694340066667035
"1973-05-24",1973-05-24,-0.00483095652173917,27000,-0.130801721518987,8.583333,0.0388349141295112,8.25,9.083333,0,-1.0333336,0.640299774419871
"1973-05-25",1973-05-25,0.00970881591102206,179400,-0.122362835443038,8.666667,0.0480769596893478,8.25,9.083333,0,1.23798290190665,0.748108121083885
"1973-05-29",1973-05-29,-0.0144230763683432,79800,-0.135021063291139,8.541667,0.0341463791552633,8.25,9.083333,0,-1.10344830439953,0.585984567274767
"1973-05-30",1973-05-30,-0.00487808761451369,100200,-0.139240506329114,8.5,0.0294117647058824,8.25,9.083333,0,-1.03125025781256,0.531387776023533
"1973-05-31",1973-05-31,0,94800,-0.139240506329114,8.5,0.0294117647058824,8.25,9.083333,0,-1,0.531387776023533
"1973-06-01",1973-06-01,-0.00490200000000004,60000,-0.143459949367089,8.458333,0.0246305034337144,8.25,9.083333,0,-1.03030327272727,0.476506558762098
"1973-06-04",1973-06-04,-0.0443349771166493,157200,-0.181434632911392,8.083333,0,8.083333,9.041667,71,-1.26470582006922,0.0947754464133051
"1973-06-05",1973-06-05,0.0309278363269211,103200,-0.15611817721519,8.333333,0.0300000012,8.083333,8.333333,71,-0.860465142239043,0.432063994558616
"1973-06-06",1973-06-06,0.0150000006,199200,-0.143459949367089,8.458333,0.0443349771166494,0,8.458333,0,1.47783251144168,0.5966533232766
"1973-06-07",1973-06-07,0.0246306216603201,75000,-0.122362835443038,8.666667,0.0673077666420091,0,8.666667,0,1.51816400998508,0.865366733089658
"1973-06-08",1973-06-08,0.0480768443047367,168000,-0.0801688101265823,9.083333,0.11009174715933,0,9.083333,0,1.63564700853732,1.38351467350711
"1973-06-11",1973-06-11,-0.00917427556602842,28800,-0.0886075949367089,9,0.101851888888889,8.083333,9.083333,76,-1.10526269252097,1.28181771702571
"1973-06-12",1973-06-12,0.00925922222222218,81600,-0.0801688101265825,9.083333,0.00917427556602846,9,9.083333,76,-0.904762285714288,0.768176862915394
"1973-06-13",1973-06-13,-0.0137614683949163,46800,-0.0928270379746838,8.958333,0,0,9.083333,78,-1.15789467036014,0.635054573598363
"1973-06-14",1973-06-14,0,68400,-0.0928270379746838,8.958333,0,8.958333,8.958333,78,-1,0.635054573598363
"1973-06-15",1973-06-15,-0.0139534888912926,59400,-0.105485265822785,8.833333,0,0,8.958333,80,-1.13636358677688,0.557871841143354
"1973-06-18",1973-06-18,-0.0235848688145233,73200,-0.126582278481013,8.625,0,8.625,8.833333,81,-1.19999961600012,0.429234159538961
"1973-06-19",1973-06-19,0.0144927536231884,37200,-0.113924050632912,8.75,0.0142857142857142,8.625,8.75,81,-0.9,0.593523118621765
"1973-06-20",1973-06-20,0.0190476571428572,112200,-0.0970463797468355,8.916667,0.0327103165341938,0,8.916667,0,2.28972215739357,0.80877646491121
"1973-06-21",1973-06-21,0.0140186910647218,115800,-0.0843881518987344,9.041667,0.0460829844762034,0,9.041667,0,1.4088211108575,0.967498182472464
"1973-06-22",1973-06-22,0.0230414369385645,132600,-0.0632911392405066,9.25,0.0675675675675675,0,9.25,0,1.46621509729819,1.22713673154006
"1973-06-25",1973-06-25,-0.0225224864864864,67800,-0.0843881518987342,9.041667,0.0460829844762034,8.625,9.25,86,-1.3333328,0.967498182472465
"1973-06-26",1973-06-26,0.0276497685659071,75000,-0.0590716962025317,9.291667,0.0269058286311811,9.041667,9.291667,86,-0.699999879999953,1.00493216956457
