"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1980-03-18",1980-03-18,0,8100,0,2,0,0,0,0,1,1.20350938121669
"1980-03-19",1980-03-19,0,3000,0,2,0,2,2,1,0,1.20350938121669
"1980-03-20",1980-03-20,0,9900,0,2,0,0,2,0,0,1.20350938121669
"1980-03-21",1980-03-21,-0.0555555,9900,-0.0555555,1.888889,0,0,2,4,0,0.909906344779491
"1980-03-24",1980-03-24,-0.0294119982698824,24300,-0.0833334999999999,1.833333,0,1.833333,1.888889,5,-1.5000045000045,0.763103505345907
"1980-03-25",1980-03-25,0,21000,-0.0833334999999999,1.833333,0,1.833333,1.833333,5,-1,0.763103505345907
"1980-03-26",1980-03-26,0,900,-0.0833334999999999,1.833333,0,0,1.833333,0,-1,0.763103505345907
"1980-03-27",1980-03-27,-0.0606060110192748,22800,-0.138889,1.722222,0,0,1.833333,8,-1.66666466667067,0.46950046890871
"1980-03-28",1980-03-28,0.03225832674301,6600,-0.111111,1.777778,0.0312502460937193,1.722222,1.777778,8,-0.799998560001151,0.78145648206093
"1980-03-31",1980-03-31,0,7200,-0.111111,1.777778,0.0312502460937193,0,1.777778,0,-1,0.78145648206093
"1980-04-01",1980-04-01,0,1800,-0.111111,1.777778,0.0312502460937193,0,1.777778,0,-1,0.78145648206093
"1980-04-02",1980-04-02,0,5700,-0.111111,1.777778,0.0312502460937193,0,1.777778,0,-1,0.78145648206093
"1980-04-03",1980-04-03,0,6300,-0.111111,1.777778,0.0312502460937193,0,1.777778,0,-1,0.78145648206093
"1980-04-07",1980-04-07,-0.0312502460937193,5700,-0.138889,1.722222,0,0,1.777778,14,-1.25000225000225,0.46950046890871
"1980-04-08",1980-04-08,-0.0322577460977737,18300,-0.1666665,1.666667,0,1.666667,1.722222,15,-1.19999784000173,0.322700271905097
"1980-04-09",1980-04-09,0,14400,-0.1666665,1.666667,0,1.666667,1.666667,15,-1,0.322700271905097
"1980-04-10",1980-04-10,0.0666665866666828,13500,-0.111111,1.777778,0.0624999296875088,0,1.777778,0,-0.666666666666666,0.946606683046219
"1980-04-11",1980-04-11,0.0624999296875088,16500,-0.0555554999999999,1.888889,0.117646934256063,0,1.888889,0,1.88235306574394,1.53165391477899
"1980-04-14",1980-04-14,-0.0588234671280313,10200,-0.111111,1.777778,0.0624999296875088,1.666667,1.888889,19,-2,0.946606683046219
"1980-04-15",1980-04-15,-0.0624999296875089,4800,-0.1666665,1.666667,0,1.666667,1.777778,20,-1.5,0.322700271905097
"1980-04-16",1980-04-16,0,6300,-0.1666665,1.666667,0,1.666667,1.666667,20,-1,0.322700271905097
"1980-04-17",1980-04-17,0,0,-0.1666665,1.666667,0,0,1.666667,0,-1,0.322700271905097
"1980-04-18",1980-04-18,0,1200,-0.1666665,1.666667,0,0,1.666667,0,-1,0.322700271905097
"1980-04-21",1980-04-21,-0.0333335933332813,14400,-0.1944445,1.611111,0,0,1.666667,24,-1.16666816666817,0.175897432471513
"1980-04-22",1980-04-22,0.0689654530321002,13500,-0.138889,1.722222,0.0645160728407835,1.611111,1.722222,24,-0.714286081632548,0.810458877798153
"1980-04-23",1980-04-23,0.0967743995837936,21900,-0.0555554999999999,1.888889,0.147058932525945,0,1.888889,0,2.27941543944973,1.6870922062123
"1980-04-24",1980-04-24,-0.0294119982698824,20100,-0.0833334999999998,1.833333,0.12121202203855,1.611111,1.888889,27,-1.5000045000045,1.40369206495226
"1980-04-25",1980-04-25,-0.0303027327823151,5400,-0.111111,1.777778,0.0937501757812281,1.611111,1.888889,0,-1.33332933334133,1.11175985676485
"1980-04-28",1980-04-28,0,4500,-0.111111,1.777778,0.0937501757812281,1.611111,1.888889,0,-1,1.11175985676485
"1980-04-29",1980-04-29,0,12900,-0.111111,1.777778,0.0937501757812281,1.611111,1.888889,0,-1,1.11175985676485
"1980-04-30",1980-04-30,0,9900,-0.111111,1.777778,0.0937501757812281,1.611111,1.888889,0,-1,1.11175985676485
"1980-05-01",1980-05-01,0,20700,-0.111111,1.777778,0.0937501757812281,1.611111,1.888889,0,-1,1.11175985676485
"1980-05-02",1980-05-02,0,6600,-0.111111,1.777778,0.0937501757812281,1.611111,1.888889,0,-1,1.11175985676485
"1980-05-05",1980-05-05,-0.0312502460937193,23700,-0.138889,1.722222,0.0645160728407835,1.611111,1.888889,0,-1.25000225000225,0.810458877798153
"1980-05-06",1980-05-06,0.03225832674301,47700,-0.111111,1.777778,0.0937501757812281,1.611111,1.888889,0,1.45312899023768,1.11175985676486
"1980-05-07",1980-05-07,0.0312496835937896,32400,-0.0833334999999996,1.833333,0.12121202203855,1.611111,1.888889,0,1.29292581084227,1.40369206495226
"1980-05-08",1980-05-08,0,52500,-0.0833334999999996,1.833333,0.12121202203855,1.611111,1.888889,0,-1,1.40369206495226
"1980-05-09",1980-05-09,-0.0303027327823151,32700,-0.111111,1.777778,0.0937501757812281,1.611111,1.888889,0,-1.33332933334133,1.11175985676486
"1980-05-12",1980-05-12,0,19800,-0.111111,1.777778,0.0937501757812281,1.611111,1.888889,0,-1,1.11175985676486
"1980-05-13",1980-05-13,0.0312496835937896,36000,-0.0833334999999996,1.833333,0.12121202203855,1.611111,1.888889,0,1.29292581084227,1.40369206495226
"1980-05-14",1980-05-14,0.0909092892562343,17100,0,2,0.138889,1.722222,2,27,1.14583518750169,1.93751829352467
"1980-05-15",1980-05-15,0.0277780000000001,10800,0,2.055556,0.162162451424335,0,2.055556,0,1.16756871620024,2.06051522463965
"1980-05-16",1980-05-16,0.081080739225786,36900,0,2.222222,0.225000022500002,0,2.222222,0,1.38749766375472,2.39260298679018
"1980-05-19",1980-05-19,-0.0249997524999753,1200,-0.0249997524999751,2.166667,0.205128429980242,1.722222,2.222222,44,0,2.15546421300873
"1980-05-20",1980-05-20,-0.0256412268244265,4800,-0.0499999549999952,2.111111,0.184210588642663,1.722222,2.222222,0,-2.00001800018,1.91279378257474
"1980-05-21",1980-05-21,0,9000,-0.0499999549999952,2.111111,0.184210588642663,1.722222,2.222222,0,-1,1.91279378257474
