"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1984-10-18",1984-10-18,0.0270322629747251,5324800,0,0.148438,0,0,0,0,1,0.752137010000816
"1984-10-19",1984-10-19,-0.0263207534458831,3043200,-0.0263207534458831,0.144531,0,0.144531,0.148438,2,0,0.620432258364085
"1984-10-22",1984-10-22,0,2326400,-0.0263207534458831,0.144531,0,0.144531,0.144531,2,-1,0.620432258364085
"1984-10-23",1984-10-23,-0.0270253440438383,787200,-0.0526347700723534,0.140625,0,0,0.144531,4,-1.99974404914256,0.488761216671464
"1984-10-24",1984-10-24,0.027776,230400,-0.026320753445883,0.144531,0.0270253440438383,0.140625,0.144531,4,-0.500063995904261,0.755662666281898
"1984-10-25",1984-10-25,-0.0270253440438383,1587200,-0.0526347700723533,0.140625,0,0,0.144531,6,-1.99974404914257,0.488761216671465
"1984-10-26",1984-10-26,0,758400,-0.0526347700723533,0.140625,0,0.140625,0.140625,6,-1,0.488761216671465
"1984-10-29",1984-10-29,0,614400,-0.0526347700723533,0.140625,0,0,0.140625,0,-1,0.488761216671465
"1984-10-30",1984-10-30,0,192000,-0.0526347700723533,0.140625,0,0,0.140625,0,-1,0.488761216671465
"1984-10-31",1984-10-31,0.027776,297600,-0.026320753445883,0.144531,0.0270253440438383,0,0.144531,0,-0.500063995904262,0.755662666281898
"1984-11-01",1984-11-01,-0.0270253440438383,352000,-0.0526347700723532,0.140625,0,0,0.144531,11,-1.99974404914256,0.488761216671466
"1984-11-02",1984-11-02,0,1638400,-0.0526347700723532,0.140625,0,0.140625,0.140625,11,-1,0.488761216671466
"1984-11-05",1984-11-05,-0.027776,534400,-0.0789487866988234,0.136719,0,0,0.140625,13,-1.49993600409574,0.357090174978844
"1984-11-06",1984-11-06,0,544000,-0.0789487866988234,0.136719,0,0.136719,0.136719,13,-1,0.357090174978844
"1984-11-07",1984-11-07,0,76800,-0.0789487866988234,0.136719,0,0,0.136719,0,-1,0.357090174978844
"1984-11-08",1984-11-08,0,44800,-0.0789487866988234,0.136719,0,0,0.136719,0,-1,0.357090174978844
"1984-11-09",1984-11-09,0,896000,-0.0789487866988234,0.136719,0,0,0.136719,0,-1,0.357090174978844
"1984-11-12",1984-11-12,0,300800,-0.0789487866988234,0.136719,0,0,0.136719,0,-1,0.357090174978844
"1984-11-13",1984-11-13,0,464000,-0.0789487866988234,0.136719,0,0,0.136719,0,-1,0.357090174978844
"1984-11-14",1984-11-14,-0.0285695477585414,1523200,-0.105262803325294,0.132813,0,0,0.136719,20,-1.33330488949569,0.225419133286222
"1984-11-15",1984-11-15,0,156800,-0.105262803325294,0.132813,0,0.132813,0.132813,20,-1,0.225419133286222
"1984-11-16",1984-11-16,-0.0588270726510205,579200,-0.157897573397647,0.125,0,0,0.132813,22,-1.500032,-0.0379566600431297
"1984-11-19",1984-11-19,0,358400,-0.157897573397647,0.125,0,0.125,0.125,22,-1,-0.0379566600431297
"1984-11-20",1984-11-20,-0.0312480000000001,179200,-0.184211590024118,0.121094,0,0,0.125,24,-1.16665244474785,-0.169627701735751
"1984-11-21",1984-11-21,0,905600,-0.184211590024118,0.121094,0,0.121094,0.121094,24,-1,-0.169627701735751
"1984-11-23",1984-11-23,0,25600,-0.184211590024118,0.121094,0,0,0.121094,0,-1,-0.169627701735751
"1984-11-26",1984-11-26,0.0322559334071053,166400,-0.157897573397647,0.125,0.0312480000000001,0,0.125,0,-0.857153306026916,0.118403228651026
"1984-11-27",1984-11-27,0.0312479999999999,147200,-0.131583556771177,0.128906,0.0606022993499139,0,0.128906,0,1.93939770065008,0.396958390256839
"1984-11-28",1984-11-28,0,492800,-0.131583556771177,0.128906,0.0606022993499139,0,0.128906,0,-1,0.396958390256839
"1984-11-29",1984-11-29,0,262400,-0.131583556771177,0.128906,0.0606022993499139,0,0.128906,0,-1,0.396958390256839
"1984-11-30",1984-11-30,0,556800,-0.131583556771177,0.128906,0.0606022993499139,0,0.128906,0,-1,0.396958390256839
