"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1978-11-01",1978-11-01,0.0555555555555556,27600,0,1.1875,0,0,0,0,1,1.56981198943767
"1978-11-02",1978-11-02,0.105263157894737,23000,0,1.3125,0.0952380952380952,1.1875,1.3125,1,0,1.9060592543355
"1978-11-03",1978-11-03,0,7400,0,1.3125,0.0952380952380952,0,1.3125,0,0,1.9060592543355
"1978-11-06",1978-11-06,0.19047619047619,10800,0,1.5625,0.24,0,1.5625,0,2.52,2.4171550969802
"1978-11-07",1978-11-07,-0.04,1800,-0.04,1.5,0.208333333333333,1.1875,1.5625,5,0,2.16412903014459
"1978-11-08",1978-11-08,0.0416666666666667,800,0,1.5625,0.04,1.5,1.5625,5,0,1.71103584069476
"1978-11-09",1978-11-09,0,5000,0,1.5625,0.04,0,1.5625,0,0,1.71103584069476
"1978-11-10",1978-11-10,0,2000,0,1.5625,0.04,0,1.5625,0,0,1.71103584069476
"1978-11-13",1978-11-13,-0.04,10000,-0.04,1.5,0,0,1.5625,9,0,1.42858813818058
"1978-11-14",1978-11-14,-0.0833333333333333,1800,-0.12,1.375,0,1.375,1.5,10,-3,1.1461404356664
"1978-11-15",1978-11-15,-0.136363636363636,16000,-0.24,1.1875,0,1.1875,1.375,11,-2,0.722468881895128
"1978-11-16",1978-11-16,0,8400,-0.24,1.1875,0,1.1875,1.1875,11,-1,0.722468881895128
"1978-11-17",1978-11-17,-0.0526315789473684,15600,-0.28,1.125,0,0,1.1875,13,-1.16666666666667,0.581245030638039
"1978-11-20",1978-11-20,0.166666666666667,64200,-0.16,1.3125,0.142857142857143,1.125,1.3125,13,-0.571428571428571,1.50928748175606
"1978-11-21",1978-11-21,-0.0952380952380952,15400,-0.24,1.1875,0.0526315789473685,1.125,1.3125,15,-1.5,0.908289738812352
"1978-11-22",1978-11-22,0,3800,-0.24,1.1875,0.0526315789473685,1.125,1.3125,0,-1,0.908289738812352
"1978-11-24",1978-11-24,-0.0526315789473684,2400,-0.28,1.125,0,1.125,1.1875,17,-1.16666666666667,0.581245030638039
"1978-11-27",1978-11-27,0,1000,-0.28,1.125,0,1.125,1.125,17,-1,0.581245030638039
"1978-11-28",1978-11-28,0,4600,-0.28,1.125,0,0,1.125,0,-1,0.581245030638039
"1978-11-29",1978-11-29,-0.0555555555555556,12600,-0.32,1.0625,0,0,1.125,20,-1.14285714285714,0.44002117938095
"1978-11-30",1978-11-30,0,5600,-0.32,1.0625,0,1.0625,1.0625,20,-1,0.44002117938095
"1978-12-01",1978-12-01,0,3800,-0.32,1.0625,0,0,1.0625,0,-1,0.44002117938095
"1978-12-04",1978-12-04,0,3000,-0.32,1.0625,0,0,1.0625,0,-1,0.44002117938095
"1978-12-05",1978-12-05,0,3000,-0.32,1.0625,0,0,1.0625,0,-1,0.44002117938095
"1978-12-06",1978-12-06,-0.0588235294117647,20000,-0.36,1,0,0,1.0625,25,-1.125,0.29879732812386
"1978-12-07",1978-12-07,0,7200,-0.36,1,0,1,1,25,-1,0.29879732812386
"1978-12-08",1978-12-08,0,3200,-0.36,1,0,0,1,0,-1,0.29879732812386
"1978-12-11",1978-12-11,0,600,-0.36,1,0,0,1,0,-1,0.29879732812386
"1978-12-12",1978-12-12,0,5800,-0.36,1,0,0,1,0,-1,0.29879732812386
"1978-12-13",1978-12-13,-0.0625,43200,-0.4,0.9375,0,0,1,30,-1.11111111111111,0.15757347686677
"1978-12-14",1978-12-14,-0.0666666666666667,22600,-0.44,0.875,0,0.875,0.9375,31,-1.1,0.0163496256096806
"1978-12-15",1978-12-15,-0.142857142857143,39600,-0.52,0.75,0,0.75,0.875,32,-1.18181818181818,-0.266098076904499
"1978-12-18",1978-12-18,-0.0833333333333333,17600,-0.56,0.6875,0,0.6875,0.75,33,-1.07692307692308,-0.407321928161588
"1978-12-19",1978-12-19,0.0909090909090909,8000,-0.52,0.75,0.0833333333333334,0.6875,0.75,33,-0.928571428571429,0.0281182798811046
"1978-12-20",1978-12-20,0,0,-0.52,0.75,0.0833333333333334,0,0.75,0,-1,0.0281182798811046
"1978-12-21",1978-12-21,0.0833333333333333,8800,-0.48,0.8125,0.153846153846154,0,0.8125,0,1.84615384615385,0.418294433033705
"1978-12-22",1978-12-22,0.230769230769231,7800,-0.36,1,0.3125,0,1,0,2.03125,1.40210866606987
"1978-12-26",1978-12-26,0,5200,-0.36,1,0.3125,0,1,0,-1,1.40210866606987
"1978-12-27",1978-12-27,-0.0625,7400,-0.4,0.9375,0.266666666666667,0.6875,1,39,-1.11111111111111,1.0990658185807
"1978-12-28",1978-12-28,0,2400,-0.4,0.9375,0.266666666666667,0.6875,1,0,-1,1.0990658185807
"1978-12-29",1978-12-29,0,10200,-0.4,0.9375,0.266666666666667,0.6875,1,0,-1,1.0990658185807
"1979-01-02",1979-01-02,0,2600,-0.4,0.9375,0.266666666666667,0.6875,1,0,-1,1.0990658185807
"1979-01-03",1979-01-03,0,2800,-0.4,0.9375,0.266666666666667,0.6875,1,0,-1,1.0990658185807
"1979-01-04",1979-01-04,0.0666666666666667,11400,-0.36,1,0.0625,0.9375,1,39,-0.9,0.519459595713062
"1979-01-05",1979-01-05,-0.0625,7800,-0.4,0.9375,0,0,1,45,-1.11111111111111,0.15757347686677
"1979-01-08",1979-01-08,0,30200,-0.4,0.9375,0,0.9375,0.9375,45,-1,0.15757347686677
"1979-01-09",1979-01-09,0,16400,-0.4,0.9375,0,0,0.9375,0,-1,0.15757347686677
"1979-01-10",1979-01-10,0,13600,-0.4,0.9375,0,0,0.9375,0,-1,0.15757347686677
"1979-01-11",1979-01-11,0,23200,-0.4,0.9375,0,0,0.9375,0,-1,0.15757347686677
"1979-01-12",1979-01-12,0.2,43400,-0.28,1.125,0.166666666666667,0,1.125,0,-0.7,1.16967774420925
"1979-01-15",1979-01-15,0,12600,-0.28,1.125,0.166666666666667,0,1.125,0,-1,1.16967774420925
"1979-01-16",1979-01-16,-0.0555555555555556,14200,-0.32,1.0625,0.117647058823529,0.9375,1.125,52,-1.14285714285714,0.855385447784155
"1979-01-17",1979-01-17,-0.0588235294117647,6000,-0.36,1,0.0625,0.9375,1.125,0,-1.125,0.519459595713062
"1979-01-18",1979-01-18,0,3000,-0.36,1,0.0625,0.9375,1.125,0,-1,0.519459595713062
"1979-01-19",1979-01-19,0.0625,13800,-0.32,1.0625,0.117647058823529,0.9375,1.125,0,1.88235294117647,0.855385447784154
"1979-01-22",1979-01-22,0.0588235294117647,13600,-0.28,1.125,0.111111111111111,1,1.125,52,-0.875,0.973533506352177
"1979-01-23",1979-01-23,0.111111111111111,24000,-0.2,1.25,0.2,0,1.25,0,1.8,1.56981198943767
"1979-01-24",1979-01-24,0.1,52800,-0.12,1.375,0.272727272727273,0,1.375,0,1.36363636363636,2.1090303306011
"1979-01-25",1979-01-25,0.136363636363636,24000,0,1.5625,0.36,0,1.5625,0,1.32,2.84082665075147
"1979-01-26",1979-01-26,-0.08,53800,-0.0800000000000001,1.4375,0.304347826086957,1,1.5625,60,0,2.36189358996656
"1979-01-29",1979-01-29,0.0434782608695652,41000,-0.04,1.5,0.333333333333333,1,1.5625,0,1.0952380952381,2.60545356532299
"1979-01-30",1979-01-30,-0.0416666666666667,18400,-0.0800000000000001,1.4375,0.304347826086957,1,1.5625,0,-2,2.36189358996656
"1979-01-31",1979-01-31,0,12800,-0.0800000000000001,1.4375,0.304347826086957,1,1.5625,0,-1,2.36189358996656
"1979-02-01",1979-02-01,0,15400,-0.0800000000000001,1.4375,0.304347826086957,1,1.5625,0,-1,2.36189358996656
"1979-02-02",1979-02-02,0,35400,-0.0800000000000001,1.4375,0.304347826086957,1,1.5625,0,-1,2.36189358996656
"1979-02-05",1979-02-05,-0.0869565217391304,51000,-0.16,1.3125,0.238095238095238,1,1.5625,0,-2,1.84553474665389
