"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"2002-10-28",2002-10-28,0,5505900,0,13.01,0,0,0,0,1,1.32156035593796
"2002-10-29",2002-10-29,-0.0284396617986164,2235800,-0.0284396617986163,12.64,0,12.64,13.01,2,0,1.1986067297352
"2002-10-30",2002-10-30,-0.0110759493670887,905800,-0.0392006149116064,12.5,0,12.5,12.64,3,-1.37837837837838,1.15208373603685
"2002-10-31",2002-10-31,0.00879999999999995,298900,-0.0307455803228286,12.61,0.00872323552735921,12.5,12.61,3,-0.784313725490197,1.22635081479559
"2002-11-01",2002-11-01,0,268800,-0.0307455803228286,12.61,0.00872323552735921,0,12.61,0,-1,1.22635081479559
"2002-11-04",2002-11-04,0.0237906423473434,1307600,-0.00768639508070701,12.91,0.0317583268783889,0,12.91,0,3.6406591085135,1.42563090801375
"2002-11-05",2002-11-05,0.00852052672347013,2384700,0,13.02,0.0399385560675883,0,13.02,0,1.25757746056723,1.49422732816094
"2002-11-06",2002-11-06,-0.00153609831029183,204300,-0.00153609831029178,13,0.0384615384615384,12.5,13.02,8,0,1.48120067788968
"2002-11-07",2002-11-07,0.0038461538461539,724200,0,13.05,0.00383141762452111,13,13.05,8,0,1.33812478253937
"2002-11-08",2002-11-08,-0.00919540229885065,106400,-0.00919540229885052,12.93,0,0,13.05,10,0,1.28180573209458
"2002-11-11",2002-11-11,-0.017014694508894,110500,-0.0260536398467432,12.71,0,12.71,12.93,11,-2.83333333333335,1.20892225504839
"2002-11-12",2002-11-12,-0.0590086546026751,540700,-0.0835249042145593,11.96,0,11.96,12.71,12,-3.20588235294118,0.960455856027266
"2002-11-13",2002-11-13,-0.0719063545150503,685600,-0.149425287356322,11.1,0,11.1,11.96,13,-1.78899082568808,0.675547718483045
"2002-11-14",2002-11-14,-0.000900900900900882,462800,-0.150191570881226,11.09,0,11.09,11.1,14,-1.0051282051282,0.672234833162764
"2002-11-15",2002-11-15,0.0414788097385032,460700,-0.114942528735632,11.55,0.0398268398268399,11.09,11.55,14,-0.765306122448979,0.996811545581007
"2002-11-18",2002-11-18,0.0545454545454545,325400,-0.0666666666666665,12.18,0.0894909688013136,0,12.18,0,2.24700149925037,1.42023701154921
"2002-11-19",2002-11-19,0.0344827586206896,211400,-0.0344827586206895,12.6,0.11984126984127,0,12.6,0,1.33914373088685,1.69059211715077
"2002-11-20",2002-11-20,-0.015079365079365,92700,-0.0490421455938695,12.41,0.106365834004835,11.09,12.6,18,-1.42222222222222,1.56938873756058
"2002-11-21",2002-11-21,0.0354552780016116,91300,-0.0153256704980841,12.85,0.0342412451361868,12.41,12.85,18,-0.312499999999997,1.40333834999192
"2002-11-22",2002-11-22,-0.0155642023346303,55300,-0.0306513409961684,12.65,0.0189723320158103,12.41,12.85,20,-2.00000000000001,1.27106831722253
"2002-11-25",2002-11-25,0.0221343873517786,111000,-0.00919540229885052,12.93,0.0216550657385923,12.65,12.93,20,1.14140242330497,1.37542741005521
"2002-11-26",2002-11-26,-0.0146945088940448,59300,-0.0237547892720305,12.74,0.00706436420722134,12.65,12.93,22,-2.58333333333333,1.24940238517462
"2002-11-27",2002-11-27,-0.0188383045525903,94300,-0.0421455938697316,12.5,0,12.5,12.74,23,-1.7741935483871,1.13935166332247
"2002-11-29",2002-11-29,0.0256,35400,-0.0176245210727968,12.82,0.0249609984399376,12.5,12.82,23,-0.418181818181816,1.35327826110266
"2002-12-02",2002-12-02,-0.0319812792511701,93600,-0.0490421455938694,12.41,0,0,12.82,25,-2.78260869565218,1.10953569543994
"2002-12-03",2002-12-03,-0.00322320709105567,31100,-0.0521072796934865,12.37,0,12.37,12.41,26,-1.0625,1.09628415415881
"2002-12-04",2002-12-04,0.0185933710590138,42300,-0.0344827586206894,12.6,0.0182539682539683,12.37,12.6,26,-0.661764705882349,1.25139817754772
"2002-12-05",2002-12-05,0.0539682539682539,366100,0,13.28,0.0685240963855421,0,13.28,0,3.7539287585123,1.61781163320456
"2002-12-06",2002-12-06,-0.00753012048192768,129300,-0.00753012048192769,13.18,0.0614567526555387,12.37,13.28,29,0,1.5547021922087
"2002-12-09",2002-12-09,-0.0136570561456752,106900,-0.0210843373493976,13,0.0484615384615386,12.37,13.28,0,-2.80000000000001,1.43992062955359
"2002-12-10",2002-12-10,0,48300,-0.0210843373493976,13,0.0484615384615386,12.37,13.28,0,-1,1.43992062955359
"2002-12-11",2002-12-11,0.0192307692307692,189700,-0.00225903614457845,13.25,0.0664150943396227,12.37,13.28,0,1.37047020065888,1.59892722667692
"2002-12-12",2002-12-12,0.0369811320754717,361400,0,13.74,0.0538573508005823,13,13.74,29,0,1.55440266698571
"2002-12-13",2002-12-13,-0.0101892285298399,615500,-0.0101892285298401,13.6,0.0441176470588235,13,13.74,34,0,1.46824360832694
"2002-12-16",2002-12-16,0.00588235294117648,170900,-0.00436681222707447,13.68,0.0497076023391813,13,13.74,0,1.12670565302144,1.51758288949191
"2002-12-17",2002-12-17,-0.0146198830409356,95100,-0.0189228529839884,13.48,0.0356083086053413,13,13.74,0,-4.33333333333312,1.39369684223016
"2002-12-18",2002-12-18,-0.0118694362017804,110800,-0.0305676855895197,13.32,0.024024024024024,13,13.74,0,-1.61538461538461,1.29327004349267
"2002-12-19",2002-12-19,-0.0427927927927928,233700,-0.0720524017467249,12.75,0,12.75,13.68,38,-2.35714285714285,1.01005510196869
"2002-12-20",2002-12-20,0.0258823529411765,134900,-0.0480349344978166,13.08,0.0252293577981652,12.75,13.08,38,-0.666666666666667,1.22296465628714
"2002-12-23",2002-12-23,0.0282874617737002,65300,-0.0211062590975255,13.45,0.0520446096654275,0,13.45,0,2.06285907401149,1.45531660163428
"2002-12-24",2002-12-24,0.00446096654275097,52300,-0.016739446870451,13.51,0.0562546262028127,0,13.51,0,1.08089246061119,1.49239693702568
"2002-12-26",2002-12-26,-0.0192450037009622,16300,-0.0356622998544396,13.25,0.0377358490566038,12.75,13.51,42,-2.13043478260872,1.33052496301808
"2002-12-27",2002-12-27,-0.0188679245283019,42500,-0.0538573508005822,13,0.0192307692307693,12.75,13.51,0,-1.51020408163265,1.17185872456268
"2002-12-30",2002-12-30,0.00769230769230766,26700,-0.046579330422125,13.1,0.0267175572519084,12.75,13.51,0,1.38931297709923,1.23569164725263
"2002-12-31",2002-12-31,0.000763358778625938,72000,-0.0458515283842794,13.11,0.0274599542334095,12.75,13.51,0,1.02778685845047,1.24204778123018
"2003-01-02",2003-01-02,0.0297482837528605,89700,-0.0174672489082969,13.5,0.0555555555555556,12.75,13.51,0,2.02314814814816,1.48622811645371
"2003-01-03",2003-01-03,-0.00740740740740738,73200,-0.0247452692867539,13.4,0.0485074626865671,12.75,13.51,0,-1.41666666666667,1.42429181124594
"2003-01-06",2003-01-06,-0.00820895522388069,90700,-0.0327510917030568,13.29,0.0406320541760722,12.75,13.51,0,-1.32352941176471,1.3556322419149
"2003-01-07",2003-01-07,0.00150489089541018,99300,-0.0312954876273651,13.31,0.0420736288504884,12.75,13.51,0,1.03547875448702,1.36815765925656
"2003-01-08",2003-01-08,-0.0217881292261458,159100,-0.0524017467248906,13.02,0.0207373271889401,12.75,13.51,0,-1.67441860465117,1.18466508513203
"2003-01-09",2003-01-09,-0.00153609831029183,125900,-0.053857350800582,13,0.0192307692307693,12.75,13.51,0,-1.02777777777778,1.17185872456268
"2003-01-10",2003-01-10,0,70500,-0.053857350800582,13,0.0192307692307693,12.75,13.51,0,-1,1.17185872456268
"2003-01-13",2003-01-13,0.0253846153846154,194700,-0.0298398835516738,13.33,0.0435108777194299,12.75,13.51,0,2.26256564141035,1.38066437477704
"2003-01-14",2003-01-14,0.0090022505626406,131200,-0.0211062590975253,13.45,0.0520446096654275,12.75,13.51,0,1.19612870144853,1.45531660163428
"2003-01-15",2003-01-15,0.0163568773234201,80300,-0.00509461426491964,13.67,0.0490124359912216,13,13.67,42,-0.241379310344815,1.511430948437
"2003-01-16",2003-01-16,0.0175566934893928,95500,0,13.91,0.0654205607476636,0,13.91,0,1.3347747245083,1.60439406996388
"2003-01-17",2003-01-17,-0.0309130122214234,71300,-0.0309130122214234,13.48,0.0356083086053413,13,13.91,57,0,1.34185960283434
"2003-01-21",2003-01-21,0.0178041543026706,107700,-0.0136592379583034,13.72,0.0524781341107872,13,13.91,0,1.47376093294461,1.48938668527106
"2003-01-22",2003-01-22,0.0393586005830903,121500,0,14.26,0.0546984572230014,13.48,14.26,57,1.04230949041608,1.55803903528682
"2003-01-23",2003-01-23,-0.000701262272089747,185500,-0.000701262272089664,14.25,0.0540350877192982,13.48,14.26,60,0,1.55213930179303
"2003-01-24",2003-01-24,-0.0175438596491228,130500,-0.0182328190743337,14,0.0371428571428571,13.48,14.26,0,-26.0000000000035,1.40331441365571
"2003-01-27",2003-01-27,0.00928571428571434,74000,-0.00911640953716675,14.13,0.046001415428167,13.48,14.26,0,1.23849964614296,1.48102586783197
"2003-01-28",2003-01-28,0.00920028308563333,65700,0,14.26,0.0182328190743338,14,14.26,60,0,1.40038658238758
"2003-01-29",2003-01-29,-0.0161290322580645,102800,-0.0161290322580645,14.03,0.00213827512473264,14,14.26,64,0,1.2610739009637
"2003-01-30",2003-01-30,-0.0185317177476835,62600,-0.0343618513323982,13.77,0,13.77,14.03,65,-2.13043478260869,1.17300323685984
"2003-01-31",2003-01-31,-0.00145243282498181,184000,-0.0357643758765778,13.75,0,13.75,13.77,66,-1.04081632653061,1.1669396809791
"2003-02-03",2003-02-03,-0.00799999999999996,120100,-0.0434782608695652,13.64,0,13.64,13.75,67,-1.21568627450981,1.13359012363503
