"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"1991-08-16",1991-08-16,-0.0136984950271911,2114500,-0.0136984950271911,4,0,0,0,0,1,1.053025306877
"1991-08-19",1991-08-19,-0.0555555,1482700,-0.068492968286708,3.777778,0,3.777778,4,2,-5.00003600036,0.761592612504958
"1991-08-20",1991-08-20,-0.0147059991349413,1048500,-0.0821917098892754,3.722222,0,3.722222,3.777778,3,-1.20000216000605,0.68873378318773
"1991-08-21",1991-08-21,0.0746269298284735,1281100,-0.0136984950271912,4,0.0694445,3.722222,4,3,-0.166665166665168,1.42237638446591
"1991-08-22",1991-08-22,0.02777775,790600,0,4.111111,0.0945946241782332,0,4.111111,0,1.36216149843736,1.62899864204375
"1991-08-23",1991-08-23,0,800100,0,4.111111,0.0945946241782332,0,4.111111,0,0,1.62899864204375
"1991-08-26",1991-08-26,-0.0270270007304595,526000,-0.0270270007304595,4,0.0694445,3.722222,4.111111,7,0,1.35148671078185
"1991-08-27",1991-08-27,0,168700,-0.0270270007304595,4,0.0694445,3.722222,4.111111,0,-1,1.35148671078185
"1991-08-28",1991-08-28,0,1263100,-0.0270270007304595,4,0.0694445,3.722222,4.111111,0,-1,1.35148671078185
"1991-08-29",1991-08-29,0.01388875,1110600,-0.0135136219868547,4.055555,0.0821917098892754,3.722222,4.111111,0,1.18355967555782,1.49115762366442
"1991-08-30",1991-08-30,0.0136987416025674,50800,0,4.111111,0.0270270007304595,4,4.111111,7,0,1.26963001629863
"1991-09-03",1991-09-03,-0.0135136219868547,342400,-0.0135136219868548,4.055555,0.0136984950271911,4,4.111111,12,0,1.12686609997515
"1991-09-04",1991-09-04,0,565200,-0.0135136219868548,4.055555,0.0136984950271911,4,4.111111,0,-1,1.12686609997515
"1991-09-05",1991-09-05,0,734400,-0.0135136219868548,4.055555,0.0136984950271911,4,4.111111,0,-1,1.12686609997515
"1991-09-06",1991-09-06,-0.0342463608556659,510300,-0.0472971904674918,3.916667,0,3.916667,4.055555,15,-3.49996400028797,0.874325562959819
"1991-09-09",1991-09-09,0.00709199939642557,25600,-0.0405406227173143,3.944444,0.00704205713149941,3.916667,3.944444,15,-0.857146530620642,0.947715636605572
"1991-09-10",1991-09-10,-0.0281689890894635,476100,-0.0675676234477738,3.833333,0,0,3.944444,17,-1.66666466667066,0.766514199000674
"1991-09-11",1991-09-11,0.0217393062382005,246600,-0.0472971904674918,3.916667,0.0212767641466584,3.833333,3.916667,17,-0.699997840001729,0.987489251447364
"1991-09-12",1991-09-12,0.00709199939642557,746100,-0.0405406227173143,3.944444,0.0281689890894635,0,3.944444,0,1.32393200842468,1.06008241993358
"1991-09-13",1991-09-13,-0.0281689890894635,165600,-0.0675676234477737,3.833333,0,0,3.944444,20,-1.66666466667066,0.766514199000674
"1991-09-16",1991-09-16,0.0362319161940796,230800,-0.0337838117238869,3.972222,0.0349650648931504,3.833333,3.972222,20,-0.500000000000001,1.13216549840566
"1991-09-17",1991-09-17,0,437800,-0.0337838117238869,3.972222,0.0349650648931504,0,3.972222,0,-1,1.13216549840566
"1991-09-18",1991-09-18,-0.0139858749083007,199300,-0.0472971904674918,3.916667,0.0212767641466584,3.833333,3.972222,23,-1.39999568000346,0.987489251447364
"1991-09-19",1991-09-19,0.00709199939642557,216400,-0.0405406227173143,3.944444,0.0281689890894635,3.833333,3.972222,0,1.32393200842468,1.06008241993358
"1991-09-20",1991-09-20,0.0281689890894636,127800,-0.0135136219868548,4.055555,0.0342463608556659,3.916667,4.055555,23,1.21574688913759,1.23615303250256
"1991-09-23",1991-09-23,0.0273974832051348,137700,0,4.166667,0.0599999952000004,0,4.166667,0,1.75201083270936,1.44500187495782
"1991-09-24",1991-09-24,-0.0266668778666498,78300,-0.02666687786665,4.055555,0.0342463608556659,3.916667,4.166667,27,0,1.16619545151335
"1991-09-25",1991-09-25,0,49000,-0.02666687786665,4.055555,0.0342463608556659,3.916667,4.166667,0,-1,1.16619545151335
"1991-09-26",1991-09-26,0,39100,-0.02666687786665,4.055555,0.0342463608556659,3.916667,4.166667,0,-1,1.16619545151335
"1991-09-27",1991-09-27,0,37300,-0.02666687786665,4.055555,0.0342463608556659,3.916667,4.166667,0,-1,1.16619545151335
"1991-09-30",1991-09-30,-0.0342463608556659,287500,-0.0599999952000007,3.916667,0,3.916667,4.055555,31,-2.24998200014399,0.806763774533758
"1991-10-01",1991-10-01,-0.00709225471555281,99900,-0.0666667146666632,3.888889,0,3.888889,3.916667,32,-1.111112,0.771305818626598
"1991-10-02",1991-10-02,0.0142855710204123,20200,-0.0533335157333191,3.944444,0.0140843677841541,3.888889,3.944444,32,-0.800002159998274,0.917130294459439
"1991-10-03",1991-10-03,-0.0140843677841541,307800,-0.0666667146666632,3.888889,0,0,3.944444,34,-1.24999662501181,0.771305818626598
"1991-10-04",1991-10-04,-0.0571427983673486,124200,-0.119999990400001,3.666667,0,3.666667,3.888889,35,-1.79999856000115,0.487644724321726
"1991-10-07",1991-10-07,0.0151513622589671,514800,-0.106666791466657,3.722222,0.0149252247716553,3.666667,3.722222,35,-0.888889999999999,0.637941425232604
"1991-10-08",1991-10-08,-0.0149252247716552,103000,-0.119999990400001,3.666667,0,0,3.722222,37,-1.12499859375176,0.487644724321726
"1991-10-09",1991-10-09,0,410800,-0.119999990400001,3.666667,0,3.666667,3.666667,37,-1,0.487644724321726
"1991-10-10",1991-10-10,0.0151513622589671,310900,-0.106666791466657,3.722222,0.0149252247716553,0,3.722222,0,-0.888889999999999,0.637941425232605
"1991-10-11",1991-10-11,-0.0149252247716552,13900,-0.119999990400001,3.666667,0,0,3.722222,40,-1.12499859375176,0.487644724321727
"1991-10-14",1991-10-14,0,22900,-0.119999990400001,3.666667,0,3.666667,3.666667,40,-1,0.487644724321727
"1991-10-15",1991-10-15,0,142600,-0.119999990400001,3.666667,0,0,3.666667,0,-1,0.487644724321727
"1991-10-16",1991-10-16,0.0151513622589671,255600,-0.106666791466657,3.722222,0.0149252247716553,0,3.722222,0,-0.88889,0.637941425232605
"1991-10-17",1991-10-17,-0.0149252247716552,517500,-0.119999990400001,3.666667,0,0,3.722222,44,-1.12499859375176,0.487644724321727
"1991-10-18",1991-10-18,-0.0151516349862149,44100,-0.133333429333326,3.611111,0,3.611111,3.666667,45,-1.111112,0.416728812507409
"1991-10-21",1991-10-21,0.0461539398816597,109800,-0.0933333525333319,3.777778,0.0441177326989569,3.611111,3.777778,45,-0.699999640000288,0.864122106185899
"1991-10-22",1991-10-22,0.0220587339965451,103000,-0.0733334341333254,3.861111,0.0647482033021066,0,3.861111,0,1.46762309259917,1.08022097594768
"1991-10-23",1991-10-23,-0.0287769504684015,60300,-0.100000071999994,3.75,0.0370370666666666,3.611111,3.861111,48,-1.36363547107568,0.791004556947754
